;ENSCAFT00000049128_90_90;ENST00000315660_90_90;ENST00000372382_90_90;ENST00000372383_90_90;ENST00000372384_90_90;ENST00000372390_90_90;ENST00000372397_90_90;ENST00000480691_90_90;ENST00000486554_90_90;ENST00000502650_90_90;ENST00000502961_90_90;ENST00000503515_90_90;ENST00000505965_90_90;ENST00000506081_90_90;ENST00000506724_90_90;ENST00000510887_90_90;ENST00000514426_90_90;ENST00000514897_90_90;ENSMUST00000055738_90_90;ENSMUST00000112996_90_90;ENSMUST00000123898_90_90
ENSCAFT00000049128_90_90;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000315660_90_90;0.0;1.0;0.381;1.0;1.0;0.15;0.381;0.737;0.05;0.632;0.368;0.208;0.474;1.0;0.526;0.684;0.579;0.8;0.304;0.714;0.304
ENST00000372382_90_90;0.0;0.381;1.0;0.381;0.381;0.273;0.667;0.143;0.091;0.048;0.0;0.333;0.0;0.381;0.0;0.095;0.615;0.227;0.5;0.35;0.615
ENST00000372383_90_90;0.0;1.0;0.381;1.0;1.0;0.15;0.381;0.737;0.05;0.632;0.368;0.208;0.474;1.0;0.526;0.684;0.579;0.8;0.304;0.714;0.304
ENST00000372384_90_90;0.0;1.0;0.381;1.0;1.0;0.15;0.381;0.737;0.05;0.632;0.368;0.208;0.474;1.0;0.526;0.684;0.579;0.8;0.304;0.714;0.304
ENST00000372390_90_90;0.0;0.15;0.273;0.15;0.15;1.0;0.273;0.0;0.5;0.0;0.0;0.0;0.0;0.15;0.0;0.0;0.25;0.0;0.25;0.167;0.25
ENST00000372397_90_90;0.0;0.381;0.667;0.381;0.381;0.273;1.0;0.143;0.091;0.048;0.0;0.538;0.0;0.381;0.0;0.095;0.615;0.227;0.615;0.35;0.5
ENST00000480691_90_90;0.0;0.737;0.143;0.737;0.737;0.0;0.143;1.0;0.0;0.857;0.5;0.143;0.643;0.737;0.714;0.929;0.316;0.824;0.136;0.55;0.136
ENST00000486554_90_90;0.0;0.05;0.091;0.05;0.05;0.5;0.091;0.0;1.0;0.0;0.0;0.0;0.0;0.05;0.0;0.0;0.083;0.0;0.083;0.056;0.083
ENST00000502650_90_90;0.0;0.632;0.048;0.632;0.632;0.0;0.048;0.857;0.0;1.0;0.583;0.048;0.75;0.632;0.833;0.923;0.211;0.706;0.045;0.45;0.045
ENST00000502961_90_90;0.0;0.368;0.0;0.368;0.368;0.0;0.0;0.5;0.0;0.583;1.0;0.0;0.778;0.368;0.7;0.538;0.0;0.412;0.0;0.2;0.0
ENST00000503515_90_90;0.0;0.208;0.333;0.208;0.208;0.0;0.538;0.143;0.0;0.048;0.0;1.0;0.0;0.208;0.0;0.095;0.312;0.286;0.4;0.227;0.312
ENST00000505965_90_90;0.0;0.474;0.0;0.474;0.474;0.0;0.0;0.643;0.0;0.75;0.778;0.0;1.0;0.474;0.9;0.692;0.053;0.529;0.0;0.3;0.0
ENST00000506081_90_90;0.0;1.0;0.381;1.0;1.0;0.15;0.381;0.737;0.05;0.632;0.368;0.208;0.474;1.0;0.526;0.684;0.579;0.8;0.304;0.714;0.304
ENST00000506724_90_90;0.0;0.526;0.0;0.526;0.526;0.0;0.0;0.714;0.0;0.833;0.7;0.0;0.9;0.526;1.0;0.769;0.105;0.588;0.0;0.35;0.0
ENST00000510887_90_90;0.0;0.684;0.095;0.684;0.684;0.0;0.095;0.929;0.0;0.923;0.538;0.095;0.692;0.684;0.769;1.0;0.263;0.765;0.091;0.5;0.091
ENST00000514426_90_90;0.0;0.579;0.615;0.579;0.579;0.25;0.615;0.316;0.083;0.211;0.0;0.312;0.053;0.579;0.105;0.263;1.0;0.4;0.467;0.556;0.467
ENST00000514897_90_90;0.0;0.8;0.227;0.8;0.8;0.0;0.227;0.824;0.0;0.706;0.412;0.286;0.529;0.8;0.588;0.765;0.4;1.0;0.167;0.545;0.167
ENSMUST00000055738_90_90;0.0;0.304;0.5;0.304;0.304;0.25;0.615;0.136;0.083;0.045;0.0;0.4;0.0;0.304;0.0;0.091;0.467;0.167;1.0;0.474;0.692
ENSMUST00000112996_90_90;0.0;0.714;0.35;0.714;0.714;0.167;0.35;0.55;0.056;0.45;0.2;0.227;0.3;0.714;0.35;0.5;0.556;0.545;0.474;1.0;0.474
ENSMUST00000123898_90_90;0.0;0.304;0.615;0.304;0.304;0.25;0.5;0.136;0.083;0.045;0.0;0.312;0.0;0.304;0.0;0.091;0.467;0.167;0.692;0.474;1.0
