;ENSCAFT00000028719_90_90;ENST00000347662_90_90;ENST00000351691_90_90;ENST00000392745_90_90;ENST00000539721_90_90;ENST00000558700_90_90;ENST00000559734_90_90;ENST00000560371_90_90;ENST00000560463_90_90;ENSMUST00000021706_90_90;ENSMUST00000060274_90_90;ENSMUST00000117269_90_90;ENSMUST00000139162_90_90
ENSCAFT00000028719_90_90;1.0;0.917;0.917;1.0;0.75;0.583;0.25;1.0;0.333;1.0;0.917;0.917;0.333
ENST00000347662_90_90;0.917;1.0;1.0;0.923;0.75;0.5;0.333;0.923;0.333;0.909;1.0;1.0;0.4
ENST00000351691_90_90;0.917;1.0;1.0;0.923;0.75;0.5;0.333;0.923;0.333;0.909;1.0;1.0;0.4
ENST00000392745_90_90;1.0;0.923;0.923;1.0;0.692;0.571;0.308;1.0;0.308;1.0;0.909;0.909;0.364
ENST00000539721_90_90;0.75;0.75;0.75;0.692;1.0;0.286;0.182;0.692;0.444;0.727;0.8;0.8;0.5
ENST00000558700_90_90;0.583;0.5;0.5;0.571;0.286;1.0;0.3;0.571;0.083;0.636;0.545;0.545;0.222
ENST00000559734_90_90;0.25;0.333;0.333;0.308;0.182;0.3;1.0;0.308;0.0;0.273;0.3;0.3;0.0
ENST00000560371_90_90;1.0;0.923;0.923;1.0;0.692;0.571;0.308;1.0;0.308;1.0;0.909;0.909;0.364
ENST00000560463_90_90;0.333;0.333;0.333;0.308;0.444;0.083;0.0;0.308;1.0;0.273;0.3;0.3;0.75
ENSMUST00000021706_90_90;1.0;0.909;0.909;1.0;0.727;0.636;0.273;1.0;0.273;1.0;0.917;0.917;0.333
ENSMUST00000060274_90_90;0.917;1.0;1.0;0.909;0.8;0.545;0.3;0.909;0.3;0.917;1.0;1.0;0.364
ENSMUST00000117269_90_90;0.917;1.0;1.0;0.909;0.8;0.545;0.3;0.909;0.3;0.917;1.0;1.0;0.364
ENSMUST00000139162_90_90;0.333;0.4;0.4;0.364;0.5;0.222;0.0;0.364;0.75;0.333;0.364;0.364;1.0
