;ENSCAFT00000025873_90_90;ENSCAFT00000025875_90_90;ENST00000315266_90_90;ENST00000459628_90_90;ENST00000478722_90_90;ENST00000543237_90_90;ENST00000553936_90_90;ENST00000555456_90_90;ENST00000555503_90_90;ENST00000555668_90_90;ENST00000556240_90_90;ENST00000556633_90_90;ENST00000557654_90_90;ENSMUST00000052472_90_90;ENSMUST00000110388_90_90
ENSCAFT00000025873_90_90;1.0;0.562;0.803;0.383;0.758;0.915;0.033;0.361;0.138;0.07;0.027;0.094;0.07;0.904;0.776
ENSCAFT00000025875_90_90;0.562;1.0;0.62;0.319;0.689;0.562;0.0;0.239;0.175;0.0;0.046;0.0;0.0;0.585;0.714
ENST00000315266_90_90;0.803;0.62;1.0;0.416;0.928;0.879;0.093;0.357;0.149;0.138;0.033;0.173;0.138;0.841;0.823
ENST00000459628_90_90;0.383;0.319;0.416;1.0;0.481;0.439;0.121;0.373;0.0;0.188;0.0;0.188;0.188;0.391;0.468
ENST00000478722_90_90;0.758;0.689;0.928;0.481;1.0;0.827;0.085;0.333;0.142;0.126;0.03;0.158;0.126;0.791;0.889
ENST00000543237_90_90;0.915;0.562;0.879;0.439;0.827;1.0;0.079;0.361;0.138;0.117;0.027;0.146;0.117;0.904;0.776
ENST00000553936_90_90;0.033;0.0;0.093;0.121;0.085;0.079;1.0;0.0;0.0;0.41;0.0;0.407;0.41;0.058;0.056
ENST00000555456_90_90;0.361;0.239;0.357;0.373;0.333;0.361;0.0;1.0;0.0;0.0;0.0;0.045;0.0;0.349;0.295
ENST00000555503_90_90;0.138;0.175;0.149;0.0;0.142;0.138;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.142;0.14
ENST00000555668_90_90;0.07;0.0;0.138;0.188;0.126;0.117;0.41;0.0;0.0;1.0;0.0;0.798;1.0;0.099;0.096
ENST00000556240_90_90;0.027;0.046;0.033;0.0;0.03;0.027;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.03;0.029
ENST00000556633_90_90;0.094;0.0;0.173;0.188;0.158;0.146;0.407;0.045;0.0;0.798;0.0;1.0;0.798;0.127;0.123
ENST00000557654_90_90;0.07;0.0;0.138;0.188;0.126;0.117;0.41;0.0;0.0;1.0;0.0;0.798;1.0;0.099;0.096
ENSMUST00000052472_90_90;0.904;0.585;0.841;0.391;0.791;0.904;0.058;0.349;0.142;0.099;0.03;0.127;0.099;1.0;0.849
ENSMUST00000110388_90_90;0.776;0.714;0.823;0.468;0.889;0.776;0.056;0.295;0.14;0.096;0.029;0.123;0.096;0.849;1.0
