;ENSCAFT00000039734_90_90;ENST00000360057_90_90;ENST00000378098_90_90;ENST00000378099_90_90;ENST00000482940_90_90;ENST00000489798_90_90;ENST00000538212_90_90;ENST00000552881_90_90;ENST00000639328_90_90;ENSMUST00000067888_90_90;ENSMUST00000114644_90_90
ENSCAFT00000039734_90_90;1.0;0.286;0.355;0.315;0.221;0.121;0.286;0.317;0.023;0.901;0.709
ENST00000360057_90_90;0.286;1.0;0.48;0.798;0.064;0.166;0.525;0.686;0.352;0.266;0.285
ENST00000378098_90_90;0.355;0.48;1.0;0.599;0.107;0.332;0.306;0.695;0.049;0.405;0.465
ENST00000378099_90_90;0.315;0.798;0.599;1.0;0.076;0.208;0.634;0.486;0.176;0.304;0.333
ENST00000482940_90_90;0.221;0.064;0.107;0.076;1.0;0.19;0.286;0.085;0.0;0.221;0.051
ENST00000489798_90_90;0.121;0.166;0.332;0.208;0.19;1.0;0.214;0.242;0.0;0.121;0.122
ENST00000538212_90_90;0.286;0.525;0.306;0.634;0.286;0.214;1.0;0.257;0.18;0.276;0.169
ENST00000552881_90_90;0.317;0.686;0.695;0.486;0.085;0.242;0.257;1.0;0.252;0.332;0.368
ENST00000639328_90_90;0.023;0.352;0.049;0.176;0.0;0.0;0.18;0.252;1.0;0.032;0.037
ENSMUST00000067888_90_90;0.901;0.266;0.405;0.304;0.221;0.121;0.276;0.332;0.032;1.0;0.798
ENSMUST00000114644_90_90;0.709;0.285;0.465;0.333;0.051;0.122;0.169;0.368;0.037;0.798;1.0
