;transcript30_ENSSTOG00000019743;transcript9_ENSSTOG00000019743;transcript1_ENSCCNG00000000226;transcript30_ENSCCNG00000000226;transcript36_ENSCPOG00000024843;transcript37_ENSCPOG00000024843;transcript35_ENSCPOG00000024843;transcript29_ENSCPOG00000024843;transcript1_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript31_ENSSTOG00000019743;transcript1_ENSMLUG00000027828;transcript10_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript28_ENSMLUG00000027828
transcript30_ENSSTOG00000019743;1.0;0.9;0.636;0.657;0.746;0.758;0.758;0.79;0.955;1.0;0.978;0.646;0.614;0.614;0.61
transcript9_ENSSTOG00000019743;0.9;1.0;0.577;0.596;0.669;0.682;0.682;0.711;0.86;0.9;0.878;0.588;0.66;0.66;0.656
transcript1_ENSCCNG00000000226;0.636;0.577;1.0;0.961;0.749;0.766;0.766;0.745;0.659;0.636;0.623;0.655;0.58;0.58;0.571
transcript30_ENSCCNG00000000226;0.657;0.596;0.961;1.0;0.719;0.736;0.736;0.768;0.632;0.657;0.644;0.637;0.599;0.599;0.59
transcript36_ENSCPOG00000024843;0.746;0.669;0.749;0.719;1.0;0.978;0.978;0.938;0.781;0.746;0.758;0.764;0.663;0.663;0.668
transcript37_ENSCPOG00000024843;0.758;0.682;0.766;0.736;0.978;1.0;1.0;0.959;0.793;0.758;0.742;0.785;0.685;0.685;0.677
transcript35_ENSCPOG00000024843;0.758;0.682;0.766;0.736;0.978;1.0;1.0;0.959;0.793;0.758;0.742;0.785;0.685;0.685;0.677
transcript29_ENSCPOG00000024843;0.79;0.711;0.745;0.768;0.938;0.959;0.959;1.0;0.762;0.79;0.773;0.764;0.714;0.714;0.705
transcript1_ENSSTOG00000019743;0.955;0.86;0.659;0.632;0.781;0.793;0.793;0.762;1.0;0.955;0.935;0.665;0.591;0.591;0.587
transcript29_ENSSTOG00000019743;1.0;0.9;0.636;0.657;0.746;0.758;0.758;0.79;0.955;1.0;0.978;0.646;0.614;0.614;0.61
transcript31_ENSSTOG00000019743;0.978;0.878;0.623;0.644;0.758;0.742;0.742;0.773;0.935;0.978;1.0;0.629;0.596;0.596;0.601
transcript1_ENSMLUG00000027828;0.646;0.588;0.655;0.637;0.764;0.785;0.785;0.764;0.665;0.646;0.629;1.0;0.872;0.872;0.862
transcript10_ENSMLUG00000027828;0.614;0.66;0.58;0.599;0.663;0.685;0.685;0.714;0.591;0.614;0.596;0.872;1.0;1.0;0.988
transcript16_ENSMLUG00000027828;0.614;0.66;0.58;0.599;0.663;0.685;0.685;0.714;0.591;0.614;0.596;0.872;1.0;1.0;0.988
transcript28_ENSMLUG00000027828;0.61;0.656;0.571;0.59;0.668;0.677;0.677;0.705;0.587;0.61;0.601;0.862;0.988;0.988;1.0
