;ENSCAFT00000004869_90_90;ENSCAFT00000013439_90_90;ENSCAFT00000037016_90_90;ENSCAFT00000021145_90_90;ENSCAFT00000025193_90_90;ENST00000302271_90_90;ENST00000374612_90_90;ENST00000374616_90_90;ENST00000427764_90_90;ENST00000478691_90_90;ENST00000606561_90_90;ENST00000641107_90_90;ENST00000355238_90_90;ENST00000369622_90_90;ENST00000444272_90_90;ENST00000616122_90_90;ENST00000281722_90_90;ENST00000510397_90_90;ENST00000512640_90_90;ENST00000514866_90_90;ENST00000295971_90_90;ENST00000381793_90_90;ENST00000381795_90_90;ENST00000505220_90_90;ENST00000505414_90_90;ENST00000507180_90_90;ENST00000510871_90_90;ENST00000511598_90_90;ENST00000511902_90_90;ENST00000513473_90_90;ENST00000514014_90_90;ENST00000514782_90_90;ENST00000515053_90_90;ENSMUST00000069221_90_90;ENSMUST00000172508_90_90;ENSMUST00000172828_90_90;ENSMUST00000173405_90_90;ENSMUST00000173801_90_90;ENSMUST00000174269_90_90;ENSMUST00000174282_90_90;ENSMUST00000174361_90_90;ENSMUST00000174391_90_90;ENSMUST00000174688_90_90;ENSMUST00000048647_90_90;ENSMUST00000182637_90_90;ENSMUST00000182818_90_90;ENSMUST00000084219_90_90;ENSMUST00000105850_90_90;ENSMUST00000125696_90_90;ENSMUST00000131671_90_90;ENSMUST00000134524_90_90;ENSMUST00000145282_90_90;ENSMUST00000148843_90_90;ENSMUST00000156259_90_90;ENSMUST00000094756_90_90;ENSMUST00000094757_90_90;ENSMUST00000113724_90_90;ENSMUST00000113726_90_90;ENSMUST00000167950_90_90;ENSMUST00000200775_90_90;ENSMUST00000200852_90_90;ENSMUST00000201544_90_90;ENSMUST00000201561_90_90;ENSMUST00000202700_90_90
ENSCAFT00000004869_90_90;1.0;0.23;0.218;0.299;0.236;0.102;0.102;0.101;0.103;0.109;0.112;0.063;0.077;0.103;0.0;0.085;0.231;0.205;0.0;0.219;0.274;0.274;0.255;0.077;0.162;0.152;0.241;0.155;0.077;0.169;0.241;0.164;0.181;0.077;0.0;0.0;0.0;0.103;0.078;0.073;0.104;0.085;0.079;0.29;0.205;0.219;0.111;0.102;0.0;0.111;0.0;0.0;0.102;0.0;0.288;0.31;0.31;0.31;0.31;0.31;0.162;0.31;0.013;0.025
ENSCAFT00000013439_90_90;0.23;1.0;0.721;0.306;0.557;0.354;0.354;0.357;0.341;0.342;0.325;0.128;0.305;0.368;0.099;0.288;0.582;0.664;0.076;0.625;0.187;0.187;0.197;0.098;0.266;0.188;0.214;0.176;0.098;0.266;0.135;0.225;0.256;0.305;0.058;0.037;0.105;0.368;0.299;0.299;0.363;0.288;0.278;0.531;0.664;0.625;0.347;0.363;0.037;0.347;0.133;0.056;0.363;0.045;0.185;0.175;0.175;0.175;0.175;0.175;0.26;0.175;0.016;0.04
ENSCAFT00000037016_90_90;0.218;0.721;1.0;0.322;0.533;0.406;0.406;0.409;0.391;0.395;0.376;0.156;0.337;0.423;0.12;0.322;0.708;0.794;0.095;0.857;0.081;0.081;0.085;0.154;0.119;0.135;0.093;0.138;0.154;0.115;0.027;0.128;0.111;0.337;0.071;0.046;0.127;0.423;0.331;0.34;0.417;0.322;0.307;0.634;0.794;0.857;0.402;0.416;0.046;0.402;0.161;0.069;0.416;0.056;0.08;0.076;0.076;0.076;0.076;0.076;0.12;0.076;0.02;0.051
ENSCAFT00000021145_90_90;0.299;0.306;0.322;1.0;0.291;0.299;0.299;0.302;0.281;0.23;0.208;0.08;0.348;0.31;0.243;0.268;0.306;0.322;0.129;0.331;0.136;0.136;0.124;0.069;0.103;0.082;0.123;0.083;0.069;0.106;0.111;0.097;0.109;0.348;0.107;0.114;0.257;0.31;0.342;0.342;0.306;0.268;0.321;0.353;0.322;0.331;0.234;0.306;0.114;0.234;0.299;0.129;0.306;0.08;0.14;0.16;0.16;0.16;0.16;0.16;0.104;0.16;0.007;0.015
ENSCAFT00000025193_90_90;0.236;0.557;0.533;0.291;1.0;0.477;0.477;0.479;0.465;0.503;0.487;0.172;0.364;0.493;0.109;0.384;0.514;0.574;0.106;0.593;0.174;0.174;0.182;0.109;0.241;0.251;0.196;0.241;0.109;0.234;0.128;0.254;0.227;0.364;0.011;0.086;0.114;0.493;0.359;0.366;0.488;0.384;0.34;0.476;0.574;0.593;0.51;0.486;0.086;0.51;0.137;0.033;0.486;0.0;0.172;0.164;0.164;0.164;0.164;0.164;0.242;0.164;0.012;0.031
ENST00000302271_90_90;0.102;0.354;0.406;0.299;0.477;1.0;1.0;0.987;0.974;0.847;0.832;0.269;0.657;0.912;0.239;0.543;0.379;0.407;0.11;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.647;0.113;0.097;0.244;0.901;0.641;0.651;0.894;0.543;0.627;0.353;0.407;0.4;0.84;0.981;0.097;0.84;0.288;0.146;0.981;0.103;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000374612_90_90;0.102;0.354;0.406;0.299;0.477;1.0;1.0;0.987;0.974;0.847;0.832;0.269;0.657;0.912;0.239;0.543;0.379;0.407;0.11;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.647;0.113;0.097;0.244;0.901;0.641;0.651;0.894;0.543;0.627;0.353;0.407;0.4;0.84;0.981;0.097;0.84;0.288;0.146;0.981;0.103;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000374616_90_90;0.101;0.357;0.409;0.302;0.479;0.987;0.987;1.0;0.962;0.86;0.822;0.266;0.659;0.913;0.236;0.546;0.382;0.41;0.108;0.403;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.649;0.111;0.096;0.241;0.901;0.643;0.653;0.895;0.546;0.619;0.356;0.41;0.403;0.841;0.981;0.096;0.841;0.293;0.144;0.981;0.102;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000427764_90_90;0.103;0.341;0.391;0.281;0.465;0.974;0.974;0.962;1.0;0.822;0.854;0.276;0.633;0.887;0.214;0.519;0.365;0.392;0.091;0.385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.623;0.115;0.078;0.219;0.876;0.617;0.627;0.87;0.519;0.602;0.34;0.392;0.385;0.814;0.955;0.071;0.814;0.263;0.149;0.955;0.106;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000478691_90_90;0.109;0.342;0.395;0.23;0.503;0.847;0.847;0.86;0.822;1.0;0.956;0.309;0.536;0.787;0.106;0.631;0.424;0.459;0.118;0.45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.536;0.0;0.111;0.119;0.787;0.53;0.539;0.781;0.631;0.506;0.391;0.459;0.45;0.978;0.841;0.111;0.978;0.153;0.006;0.841;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000606561_90_90;0.112;0.325;0.376;0.208;0.487;0.832;0.832;0.822;0.854;0.956;1.0;0.323;0.509;0.761;0.082;0.6;0.405;0.439;0.098;0.43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.509;0.0;0.091;0.095;0.761;0.503;0.512;0.755;0.6;0.488;0.374;0.439;0.43;0.948;0.814;0.083;0.948;0.122;0.006;0.814;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000641107_90_90;0.063;0.128;0.156;0.08;0.172;0.269;0.269;0.266;0.276;0.309;0.323;1.0;0.325;0.26;0.0;0.408;0.145;0.161;0.0;0.157;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.325;0.0;0.0;0.0;0.26;0.328;0.328;0.261;0.408;0.339;0.131;0.161;0.157;0.306;0.263;0.0;0.306;0.0;0.0;0.263;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000355238_90_90;0.077;0.305;0.337;0.348;0.364;0.657;0.657;0.659;0.633;0.536;0.509;0.325;1.0;0.726;0.35;0.792;0.312;0.338;0.142;0.331;0.015;0.015;0.016;0.0;0.021;0.0;0.017;0.0;0.0;0.021;0.016;0.017;0.02;0.983;0.182;0.125;0.355;0.715;0.975;0.975;0.709;0.792;0.942;0.289;0.338;0.331;0.546;0.671;0.125;0.546;0.372;0.177;0.671;0.124;0.015;0.015;0.015;0.015;0.015;0.015;0.022;0.015;0.0;0.0
ENST00000369622_90_90;0.103;0.368;0.423;0.31;0.493;0.912;0.912;0.913;0.887;0.787;0.761;0.26;0.726;1.0;0.278;0.567;0.395;0.424;0.113;0.417;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.715;0.145;0.099;0.283;0.987;0.709;0.72;0.98;0.567;0.684;0.367;0.424;0.417;0.803;0.93;0.099;0.803;0.296;0.142;0.93;0.099;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000444272_90_90;0.0;0.099;0.12;0.243;0.109;0.239;0.239;0.236;0.214;0.106;0.082;0.0;0.35;0.278;1.0;0.142;0.104;0.115;0.311;0.112;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.339;0.512;0.357;0.911;0.27;0.342;0.342;0.272;0.142;0.353;0.094;0.115;0.112;0.108;0.241;0.357;0.108;0.76;0.478;0.241;0.349;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
