;ENSCAFT00000006937_90_90;ENST00000422453_90_90;ENST00000441626_90_90;ENST00000446936_90_90;ENST00000451728_90_90;ENST00000500450_90_90;ENST00000502976_90_90;ENST00000504813_90_90;ENST00000512338_90_90;ENSMUST00000032138_90_90;ENSMUST00000113617_90_90;ENSMUST00000113619_90_90;ENSMUST00000204653_90_90;ENSMUST00000204890_90_90
ENSCAFT00000006937_90_90;;0.782;0.913;0.81;0.827;0.61;0.679;0.713;0.626;0.906;0.858;0.748;0.858;0.795
ENST00000422453_90_90;0.782;;;;;;;;;0.843;0.885;0.754;0.885;0.813
ENST00000441626_90_90;0.913;;;;;;;;;0.906;0.858;0.748;0.858;0.795
ENST00000446936_90_90;0.81;;;;;;;;;0.795;0.748;0.828;0.748;0.791
ENST00000451728_90_90;0.827;;;;;;;;;0.897;0.843;0.724;0.843;0.776
ENST00000500450_90_90;0.61;;;;;;;;;0.646;0.67;0.752;0.67;0.714
ENST00000502976_90_90;0.679;;;;;;;;;0.724;0.754;0.853;0.754;0.805
ENST00000504813_90_90;0.713;;;;;;;;;0.766;0.802;0.67;0.802;0.729
ENST00000512338_90_90;0.626;;;;;;;;;0.546;0.506;0.489;0.506;0.533
ENSMUST00000032138_90_90;0.906;0.843;0.906;0.795;0.897;0.646;0.724;0.766;0.546;;;;;
ENSMUST00000113617_90_90;0.858;0.885;0.858;0.748;0.843;0.67;0.754;0.802;0.506;;;;;
ENSMUST00000113619_90_90;0.748;0.754;0.748;0.828;0.724;0.752;0.853;0.67;0.489;;;;;
ENSMUST00000204653_90_90;0.858;0.885;0.858;0.748;0.843;0.67;0.754;0.802;0.506;;;;;
ENSMUST00000204890_90_90;0.795;0.813;0.795;0.791;0.776;0.714;0.805;0.729;0.533;;;;;
