;ENSCAFT00000011051_90_90;ENSCAFT00000039005_90_90;ENST00000319836_90_90;ENST00000395769_90_90;ENST00000453424_90_90;ENST00000453980_90_90;ENSMUST00000079012_90_90;ENSMUST00000101032_90_90;ENSMUST00000123405_90_90;ENSMUST00000126376_90_90;ENSMUST00000129170_90_90;ENSMUST00000135901_90_90;ENSMUST00000140884_90_90;ENSMUST00000203116_90_90;ENSMUST00000203193_90_90;ENSMUST00000204657_90_90
ENSCAFT00000011051_90_90;1.0;0.451;0.993;0.993;0.504;0.299;0.791;0.791;0.421;0.0;0.0;0.797;0.148;0.158;0.848;0.451
ENSCAFT00000039005_90_90;0.451;1.0;0.449;0.449;0.815;0.063;0.451;0.451;0.819;0.0;0.0;0.404;0.053;0.098;0.487;0.24
ENST00000319836_90_90;0.993;0.449;1.0;1.0;0.508;0.306;0.792;0.792;0.422;0.0;0.0;0.797;0.151;0.157;0.849;0.452
ENST00000395769_90_90;0.993;0.449;1.0;1.0;0.508;0.306;0.792;0.792;0.422;0.0;0.0;0.797;0.151;0.157;0.849;0.452
ENST00000453424_90_90;0.504;0.815;0.508;0.508;1.0;0.155;0.422;0.422;0.889;0.0;0.0;0.405;0.081;0.08;0.431;0.241
ENST00000453980_90_90;0.299;0.063;0.306;0.306;0.155;1.0;0.168;0.168;0.09;0.0;0.0;0.249;0.406;0.0;0.159;0.255
ENSMUST00000079012_90_90;0.791;0.451;0.792;0.792;0.422;0.168;1.0;1.0;0.504;0.037;0.108;0.75;0.279;0.16;0.864;0.618
ENSMUST00000101032_90_90;0.791;0.451;0.792;0.792;0.422;0.168;1.0;1.0;0.504;0.037;0.108;0.75;0.279;0.16;0.864;0.618
ENSMUST00000123405_90_90;0.421;0.819;0.422;0.422;0.889;0.09;0.504;0.504;1.0;0.019;0.055;0.384;0.14;0.08;0.435;0.311
ENSMUST00000126376_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.037;0.037;0.019;1.0;0.344;0.0;0.134;0.0;0.0;0.06
ENSMUST00000129170_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.108;0.108;0.055;0.344;1.0;0.0;0.389;0.0;0.0;0.175
ENSMUST00000135901_90_90;0.797;0.404;0.797;0.797;0.405;0.249;0.75;0.75;0.384;0.0;0.0;1.0;0.185;0.197;0.808;0.554
ENSMUST00000140884_90_90;0.148;0.053;0.151;0.151;0.081;0.406;0.279;0.279;0.14;0.134;0.389;0.185;1.0;0.0;0.142;0.451
ENSMUST00000203116_90_90;0.158;0.098;0.157;0.157;0.08;0.0;0.16;0.16;0.08;0.0;0.0;0.197;0.0;1.0;0.185;0.258
ENSMUST00000203193_90_90;0.848;0.487;0.849;0.849;0.431;0.159;0.864;0.864;0.435;0.0;0.0;0.808;0.142;0.185;1.0;0.481
ENSMUST00000204657_90_90;0.451;0.24;0.452;0.452;0.241;0.255;0.618;0.618;0.311;0.06;0.175;0.554;0.451;0.258;0.481;1.0
