;ENSCAFT00000028733_90_90;ENST00000288381_90_90;ENST00000372068_90_90;ENST00000372072_90_90;ENST00000372073_90_90;ENSMUST00000087333_90_90;ENSMUST00000101198_90_90;ENSMUST00000112888_90_90;ENSMUST00000112889_90_90;ENSMUST00000112891_90_90;ENSMUST00000112896_90_90;ENSMUST00000133634_90_90;ENSMUST00000151914_90_90
ENSCAFT00000028733_90_90;1.0;0.869;1.0;0.498;1.0;0.998;0.498;0.277;0.498;0.447;0.998;0.998;0.237
ENST00000288381_90_90;0.869;1.0;0.869;0.46;0.869;0.866;0.46;0.319;0.46;0.35;0.866;0.866;0.209
ENST00000372068_90_90;1.0;0.869;1.0;0.498;1.0;0.998;0.498;0.277;0.498;0.447;0.998;0.998;0.236
ENST00000372072_90_90;0.498;0.46;0.498;1.0;0.498;0.498;0.995;0.554;0.995;0.759;0.498;0.498;0.452
ENST00000372073_90_90;1.0;0.869;1.0;0.498;1.0;0.998;0.498;0.277;0.498;0.447;0.998;0.998;0.236
ENSMUST00000087333_90_90;0.998;0.866;0.998;0.498;0.998;1.0;0.5;0.277;0.5;0.449;1.0;1.0;0.215
ENSMUST00000101198_90_90;0.498;0.46;0.498;0.995;0.498;0.5;1.0;0.554;1.0;0.764;0.5;0.5;0.378
ENSMUST00000112888_90_90;0.277;0.319;0.277;0.554;0.277;0.277;0.554;1.0;0.554;0.617;0.277;0.277;0.074
ENSMUST00000112889_90_90;0.498;0.46;0.498;0.995;0.498;0.5;1.0;0.554;1.0;0.764;0.5;0.5;0.378
ENSMUST00000112891_90_90;0.447;0.35;0.447;0.759;0.447;0.449;0.764;0.617;0.764;1.0;0.449;0.449;0.229
ENSMUST00000112896_90_90;0.998;0.866;0.998;0.498;0.998;1.0;0.5;0.277;0.5;0.449;1.0;1.0;0.215
ENSMUST00000133634_90_90;0.998;0.866;0.998;0.498;0.998;1.0;0.5;0.277;0.5;0.449;1.0;1.0;0.215
ENSMUST00000151914_90_90;0.237;0.209;0.236;0.452;0.236;0.215;0.378;0.074;0.378;0.229;0.215;0.215;1.0
