;ENSCAFT00000009009_90_90;ENST00000227214_90_90;ENST00000354190_90_90;ENST00000398492_90_90;ENST00000398494_90_90;ENST00000535129_90_90;ENST00000535582_90_90;ENST00000536527_90_90;ENST00000538227_90_90;ENST00000539157_90_90;ENST00000540431_90_90;ENST00000541597_90_90;ENST00000542389_90_90;ENST00000543085_90_90;ENST00000543524_90_90;ENST00000545798_90_90;ENST00000546251_90_90;ENSMUST00000079176_90_90;ENSMUST00000107043_90_90;ENSMUST00000107044_90_90;ENSMUST00000107045_90_90;ENSMUST00000107046_90_90;ENSMUST00000107047_90_90;ENSMUST00000116287_90_90;ENSMUST00000138830_90_90;ENSMUST00000139708_90_90;ENSMUST00000151123_90_90;ENSMUST00000208812_90_90
ENSCAFT00000009009_90_90;1.0;0.716;0.824;0.738;0.803;0.716;0.4;0.179;0.52;0.45;0.647;0.613;0.543;0.606;0.578;0.244;0.349;0.92;0.57;0.813;0.903;0.813;0.832;0.903;0.484;0.638;0.895;0.281
ENST00000227214_90_90;0.716;1.0;0.834;0.916;0.902;1.0;0.538;0.24;0.675;0.409;0.865;0.869;0.54;0.824;0.825;0.349;0.464;0.734;0.608;0.882;0.791;0.882;0.81;0.791;0.513;0.684;0.711;0.223
ENST00000354190_90_90;0.824;0.834;1.0;0.909;0.924;0.834;0.444;0.197;0.565;0.467;0.726;0.725;0.59;0.692;0.689;0.285;0.39;0.895;0.505;0.734;0.822;0.734;0.806;0.822;0.422;0.569;0.871;0.27
ENST00000398492_90_90;0.738;0.916;0.909;1.0;0.834;0.916;0.493;0.22;0.621;0.38;0.796;0.796;0.498;0.754;0.756;0.319;0.427;0.806;0.558;0.81;0.734;0.81;0.89;0.734;0.47;0.629;0.782;0.304
ENST00000398494_90_90;0.803;0.902;0.924;0.834;1.0;0.902;0.481;0.213;0.609;0.504;0.782;0.784;0.638;0.748;0.745;0.309;0.419;0.822;0.544;0.791;0.887;0.791;0.734;0.887;0.456;0.613;0.799;0.196
ENST00000535129_90_90;0.716;1.0;0.834;0.916;0.902;1.0;0.538;0.24;0.675;0.409;0.865;0.869;0.54;0.824;0.825;0.349;0.464;0.734;0.608;0.882;0.791;0.882;0.81;0.791;0.513;0.684;0.711;0.223
ENST00000535582_90_90;0.4;0.538;0.444;0.493;0.481;0.538;1.0;0.413;0.692;0.674;0.554;0.62;0.758;0.362;0.653;0.635;0.808;0.393;0.548;0.479;0.425;0.479;0.44;0.425;0.794;0.603;0.402;0.359
ENST00000536527_90_90;0.179;0.24;0.197;0.22;0.213;0.24;0.413;1.0;0.302;0.342;0.248;0.275;0.317;0.071;0.289;0.603;0.363;0.177;0.301;0.217;0.191;0.217;0.199;0.191;0.347;0.272;0.18;0.48
ENST00000538227_90_90;0.52;0.675;0.565;0.621;0.609;0.675;0.692;0.302;1.0;0.505;0.694;0.771;0.679;0.507;0.81;0.446;0.581;0.538;0.758;0.646;0.581;0.646;0.594;0.581;0.65;0.804;0.551;0.274
ENST00000539157_90_90;0.45;0.409;0.467;0.38;0.504;0.409;0.674;0.342;0.505;1.0;0.498;0.461;0.752;0.263;0.481;0.524;0.619;0.444;0.419;0.385;0.478;0.385;0.357;0.478;0.59;0.466;0.453;0.338
ENST00000540431_90_90;0.647;0.865;0.726;0.796;0.782;0.865;0.554;0.248;0.694;0.498;1.0;0.891;0.551;0.696;0.846;0.36;0.475;0.665;0.656;0.793;0.716;0.793;0.732;0.716;0.558;0.736;0.68;0.252
ENST00000541597_90_90;0.613;0.869;0.725;0.796;0.784;0.869;0.62;0.275;0.771;0.461;0.891;1.0;0.611;0.693;0.95;0.402;0.525;0.631;0.695;0.759;0.681;0.759;0.698;0.681;0.589;0.782;0.647;0.253
ENST00000542389_90_90;0.543;0.54;0.59;0.498;0.638;0.54;0.758;0.317;0.679;0.752;0.551;0.611;1.0;0.386;0.64;0.479;0.637;0.534;0.542;0.481;0.578;0.481;0.446;0.578;0.691;0.588;0.546;0.28
ENST00000543085_90_90;0.606;0.824;0.692;0.754;0.748;0.824;0.362;0.071;0.507;0.263;0.696;0.693;0.386;1.0;0.649;0.172;0.307;0.625;0.466;0.745;0.675;0.745;0.685;0.675;0.367;0.544;0.602;0.085
ENST00000543524_90_90;0.578;0.825;0.689;0.756;0.745;0.825;0.653;0.289;0.81;0.481;0.846;0.95;0.64;0.649;1.0;0.423;0.55;0.597;0.73;0.718;0.643;0.718;0.659;0.643;0.619;0.821;0.611;0.265
ENST00000545798_90_90;0.244;0.349;0.285;0.319;0.309;0.349;0.635;0.603;0.446;0.524;0.36;0.402;0.479;0.172;0.423;1.0;0.562;0.241;0.417;0.298;0.261;0.298;0.273;0.261;0.485;0.376;0.246;0.489
ENST00000546251_90_90;0.349;0.464;0.39;0.427;0.419;0.464;0.808;0.363;0.581;0.619;0.475;0.525;0.637;0.307;0.55;0.562;1.0;0.343;0.451;0.409;0.368;0.409;0.379;0.368;0.641;0.501;0.35;0.313
ENSMUST00000079176_90_90;0.92;0.734;0.895;0.806;0.822;0.734;0.393;0.177;0.538;0.444;0.665;0.631;0.534;0.625;0.597;0.241;0.343;1.0;0.591;0.834;0.924;0.834;0.909;0.924;0.474;0.658;0.974;0.316
ENSMUST00000107043_90_90;0.57;0.608;0.505;0.558;0.544;0.608;0.548;0.301;0.758;0.419;0.656;0.695;0.542;0.466;0.73;0.417;0.451;0.591;1.0;0.708;0.639;0.708;0.649;0.639;0.675;0.897;0.607;0.365
ENSMUST00000107044_90_90;0.813;0.882;0.734;0.81;0.791;0.882;0.479;0.217;0.646;0.385;0.793;0.759;0.481;0.745;0.718;0.298;0.409;0.834;0.708;1.0;0.902;1.0;0.916;0.902;0.574;0.79;0.808;0.268
ENSMUST00000107045_90_90;0.903;0.791;0.822;0.734;0.887;0.791;0.425;0.191;0.581;0.478;0.716;0.681;0.578;0.675;0.643;0.261;0.368;0.924;0.639;0.902;1.0;0.902;0.834;1.0;0.513;0.713;0.899;0.239
ENSMUST00000107046_90_90;0.813;0.882;0.734;0.81;0.791;0.882;0.479;0.217;0.646;0.385;0.793;0.759;0.481;0.745;0.718;0.298;0.409;0.834;0.708;1.0;0.902;1.0;0.916;0.902;0.574;0.79;0.808;0.268
ENSMUST00000107047_90_90;0.832;0.81;0.806;0.89;0.734;0.81;0.44;0.199;0.594;0.357;0.732;0.698;0.446;0.685;0.659;0.273;0.379;0.909;0.649;0.916;0.834;0.916;1.0;0.834;0.525;0.724;0.884;0.352
ENSMUST00000116287_90_90;0.903;0.791;0.822;0.734;0.887;0.791;0.425;0.191;0.581;0.478;0.716;0.681;0.578;0.675;0.643;0.261;0.368;0.924;0.639;0.902;1.0;0.902;0.834;1.0;0.513;0.713;0.899;0.239
ENSMUST00000138830_90_90;0.484;0.513;0.422;0.47;0.456;0.513;0.794;0.347;0.65;0.59;0.558;0.589;0.691;0.367;0.619;0.485;0.641;0.474;0.675;0.574;0.513;0.574;0.525;0.513;1.0;0.726;0.486;0.431
ENSMUST00000139708_90_90;0.638;0.684;0.569;0.629;0.613;0.684;0.603;0.272;0.804;0.466;0.736;0.782;0.588;0.544;0.821;0.376;0.501;0.658;0.897;0.79;0.713;0.79;0.724;0.713;0.726;1.0;0.676;0.332
ENSMUST00000151123_90_90;0.895;0.711;0.871;0.782;0.799;0.711;0.402;0.18;0.551;0.453;0.68;0.647;0.546;0.602;0.611;0.246;0.35;0.974;0.607;0.808;0.899;0.808;0.884;0.899;0.486;0.676;1.0;0.323
