;transcript16_ggor;transcript17_ggor;transcript11_ggor;transcript18_ggor;transcript12_ppan;transcript19_ppan;transcript20_ppan;transcript12_ptro;transcript12_hsap;transcript19_hsap;transcript20_hsap;transcript12_ggor;transcript19_ggor;transcript8_pabe;transcript18_hsap;transcript21_hsap
transcript16_ggor;1.0;1.0;0.608;0.552;0.522;0.504;0.536;0.508;0.492;0.476;0.484;0.588;0.558;0.814;0.421;0.776
transcript17_ggor;1.0;1.0;0.608;0.552;0.522;0.504;0.536;0.508;0.492;0.476;0.484;0.588;0.558;0.814;0.421;0.776
transcript11_ggor;0.608;0.608;1.0;0.914;0.424;0.403;0.392;0.431;0.393;0.374;0.336;0.494;0.462;0.524;0.676;0.504
transcript18_ggor;0.552;0.552;0.914;1.0;0.365;0.345;0.333;0.37;0.338;0.318;0.28;0.428;0.398;0.479;0.718;0.46
transcript12_ppan;0.522;0.522;0.424;0.365;1.0;0.972;0.954;0.98;0.936;0.91;0.857;0.873;0.869;0.569;0.36;0.568
transcript19_ppan;0.504;0.504;0.403;0.345;0.972;1.0;0.927;0.952;0.91;0.934;0.83;0.847;0.892;0.552;0.34;0.552
transcript20_ppan;0.536;0.536;0.392;0.333;0.954;0.927;1.0;0.933;0.893;0.866;0.896;0.829;0.825;0.543;0.328;0.542
transcript12_ptro;0.508;0.508;0.431;0.37;0.98;0.952;0.933;1.0;0.917;0.891;0.837;0.854;0.85;0.556;0.364;0.556
transcript12_hsap;0.492;0.492;0.393;0.338;0.936;0.91;0.893;0.917;1.0;0.973;0.918;0.821;0.817;0.54;0.397;0.604
transcript19_hsap;0.476;0.476;0.374;0.318;0.91;0.934;0.866;0.891;0.973;1.0;0.891;0.796;0.837;0.526;0.378;0.587
transcript20_hsap;0.484;0.484;0.336;0.28;0.857;0.83;0.896;0.837;0.918;0.891;1.0;0.744;0.74;0.494;0.376;0.554
transcript12_ggor;0.588;0.588;0.494;0.428;0.873;0.847;0.829;0.854;0.821;0.796;0.744;1.0;0.947;0.502;0.307;0.5
transcript19_ggor;0.558;0.558;0.462;0.398;0.869;0.892;0.825;0.85;0.817;0.837;0.74;0.947;1.0;0.5;0.284;0.498
transcript8_pabe;0.814;0.814;0.524;0.479;0.569;0.552;0.543;0.556;0.54;0.526;0.494;0.502;0.5;1.0;0.509;0.915
transcript18_hsap;0.421;0.421;0.676;0.718;0.36;0.34;0.328;0.364;0.397;0.378;0.376;0.307;0.284;0.509;1.0;0.567
transcript21_hsap;0.776;0.776;0.504;0.46;0.568;0.552;0.542;0.556;0.604;0.587;0.554;0.5;0.498;0.915;0.567;1.0
