;ENSCAFT00000023990_90_90;ENST00000220429_90_90;ENST00000359031_90_90;ENST00000380877_90_90;ENST00000396464_90_90;ENST00000429662_90_90;ENST00000543881_90_90;ENST00000558335_90_90;ENST00000558970_90_90;ENST00000560825_90_90;ENST00000561010_90_90;ENSMUST00000039978_90_90;ENSMUST00000089745_90_90;ENSMUST00000103226_90_90;ENSMUST00000103227_90_90;ENSMUST00000110424_90_90;ENSMUST00000110425_90_90;ENSMUST00000124972_90_90;ENSMUST00000137335_90_90
ENSCAFT00000023990_90_90;1.0;1.0;0.869;0.999;0.869;0.869;0.802;0.234;0.233;0.866;0.413;0.866;0.606;0.869;0.997;0.997;0.999;0.188;0.121
ENST00000220429_90_90;1.0;1.0;0.812;0.97;0.812;0.841;0.808;0.227;0.226;0.81;0.399;0.833;0.606;0.836;0.997;0.997;0.999;0.188;0.121
ENST00000359031_90_90;0.869;0.812;1.0;0.837;1.0;0.967;0.627;0.258;0.257;0.997;0.404;0.995;0.666;0.998;0.832;0.832;0.835;0.207;0.133
ENST00000380877_90_90;0.999;0.97;0.837;1.0;0.837;0.812;0.777;0.234;0.233;0.834;0.371;0.832;0.605;0.835;0.996;0.996;0.998;0.188;0.121
ENST00000396464_90_90;0.869;0.812;1.0;0.837;1.0;0.967;0.627;0.258;0.257;0.997;0.404;0.995;0.666;0.998;0.832;0.832;0.835;0.207;0.133
ENST00000429662_90_90;0.869;0.841;0.967;0.812;0.967;1.0;0.656;0.249;0.248;0.964;0.435;0.996;0.667;0.999;0.833;0.833;0.836;0.207;0.133
ENST00000543881_90_90;0.802;0.808;0.627;0.777;0.627;0.656;1.0;0.035;0.034;0.624;0.485;0.642;0.407;0.645;0.798;0.798;0.801;0.0;0.0
ENST00000558335_90_90;0.234;0.227;0.258;0.234;0.258;0.249;0.035;1.0;0.996;0.258;0.0;0.259;0.386;0.258;0.235;0.235;0.234;0.803;0.517
ENST00000558970_90_90;0.233;0.226;0.257;0.233;0.257;0.248;0.034;0.996;1.0;0.257;0.0;0.258;0.385;0.257;0.234;0.234;0.233;0.806;0.519
ENST00000560825_90_90;0.866;0.81;0.997;0.834;0.997;0.964;0.624;0.258;0.257;1.0;0.401;0.998;0.668;0.995;0.835;0.835;0.832;0.208;0.134
ENST00000561010_90_90;0.413;0.399;0.404;0.371;0.404;0.435;0.485;0.0;0.0;0.401;1.0;0.413;0.157;0.416;0.378;0.378;0.381;0.0;0.0
ENSMUST00000039978_90_90;0.866;0.833;0.995;0.832;0.995;0.996;0.642;0.259;0.258;0.998;0.413;1.0;0.668;0.997;0.836;0.836;0.834;0.207;0.134
ENSMUST00000089745_90_90;0.606;0.606;0.666;0.605;0.666;0.667;0.407;0.386;0.385;0.668;0.157;0.668;1.0;0.666;0.607;0.607;0.606;0.309;0.199
ENSMUST00000103226_90_90;0.869;0.836;0.998;0.835;0.998;0.999;0.645;0.258;0.257;0.995;0.416;0.997;0.666;1.0;0.834;0.834;0.837;0.207;0.133
ENSMUST00000103227_90_90;0.997;0.997;0.832;0.996;0.832;0.833;0.798;0.235;0.234;0.835;0.378;0.836;0.607;0.834;1.0;1.0;0.997;0.188;0.121
ENSMUST00000110424_90_90;0.997;0.997;0.832;0.996;0.832;0.833;0.798;0.235;0.234;0.835;0.378;0.836;0.607;0.834;1.0;1.0;0.997;0.188;0.121
ENSMUST00000110425_90_90;0.999;0.999;0.835;0.998;0.835;0.836;0.801;0.234;0.233;0.832;0.381;0.834;0.606;0.837;0.997;0.997;1.0;0.188;0.121
ENSMUST00000124972_90_90;0.188;0.188;0.207;0.188;0.207;0.207;0.0;0.803;0.806;0.208;0.0;0.207;0.309;0.207;0.188;0.188;0.188;1.0;0.644
ENSMUST00000137335_90_90;0.121;0.121;0.133;0.121;0.133;0.133;0.0;0.517;0.519;0.134;0.0;0.134;0.199;0.133;0.121;0.121;0.121;0.644;1.0
