;ENSCAFT00000015434_90_90;ENST00000306107_90_90;ENST00000465413_90_90;ENST00000472644_90_90;ENST00000486979_90_90;ENSMUST00000023312_90_90;ENSMUST00000164728_90_90;ENSMUST00000167115_90_90;ENSMUST00000168071_90_90;ENSMUST00000170035_90_90
ENSCAFT00000015434_90_90;1.0;1.0;0.544;0.947;0.873;0.958;0.934;0.502;0.279;0.905
ENST00000306107_90_90;1.0;1.0;0.508;0.951;0.841;0.954;0.93;0.521;0.248;0.897
ENST00000465413_90_90;0.544;0.508;1.0;0.461;0.595;0.521;0.498;0.916;0.0;0.465
ENST00000472644_90_90;0.947;0.951;0.461;1.0;0.791;0.897;0.873;0.465;0.265;0.949
ENST00000486979_90_90;0.873;0.841;0.595;0.791;1.0;0.819;0.795;0.6;0.114;0.762
ENSMUST00000023312_90_90;0.958;0.954;0.521;0.897;0.819;1.0;0.869;0.508;0.291;0.951
ENSMUST00000164728_90_90;0.934;0.93;0.498;0.873;0.795;0.869;1.0;0.403;0.31;0.822
ENSMUST00000167115_90_90;0.502;0.521;0.916;0.465;0.6;0.508;0.403;1.0;0.0;0.46
ENSMUST00000168071_90_90;0.279;0.248;0.0;0.265;0.114;0.291;0.31;0.0;1.0;0.307
ENSMUST00000170035_90_90;0.905;0.897;0.465;0.949;0.762;0.951;0.822;0.46;0.307;1.0
