;transcript7_ENSMSIG00000000513;transcript50_ENSMSIG00000000513;transcript55_ENSMSIG00000000513;transcript60_ENSMSIG00000000513;transcript64_ENSMSIG00000000513;transcript67_ENSMSIG00000000513;transcript7_MGP-SPRETEiJ-G0021131;transcript59_MGP-SPRETEiJ-G0021131;transcript61_MGP-SPRETEiJ-G0021131;transcript62_MGP-SPRETEiJ-G0021131;transcript69_MGP-SPRETEiJ-G0021131;transcript70_MGP-SPRETEiJ-G0021131;transcript71_MGP-SPRETEiJ-G0021131;transcript72_MGP-SPRETEiJ-G0021131;transcript7_ENSMUSG00000054036;transcript54_ENSMUSG00000054036;transcript50_MGP-CAROLIEiJ-G0020234;transcript59_MGP-CAROLIEiJ-G0020234;transcript60_MGP-CAROLIEiJ-G0020234;transcript61_MGP-CAROLIEiJ-G0020234;transcript50_MGP-PahariEiJ-G0020237;transcript57_MGP-PahariEiJ-G0020237
transcript7_ENSMSIG00000000513;1.0;0.976;0.988;0.929;0.905;0.965;0.986;1.0;1.0;1.0;0.971;0.986;0.971;0.971;0.958;0.972;0.971;0.926;0.897;0.912;0.976;0.976
transcript50_ENSMSIG00000000513;0.976;1.0;0.988;0.929;0.906;0.988;0.986;1.0;1.0;1.0;0.971;0.986;0.971;0.971;0.986;1.0;1.0;0.956;0.926;0.941;1.0;1.0
transcript55_ENSMSIG00000000513;0.988;0.988;1.0;0.94;0.917;0.976;0.986;1.0;1.0;1.0;0.971;0.986;0.971;0.971;0.972;0.986;0.985;0.941;0.912;0.926;0.988;0.988
transcript60_ENSMSIG00000000513;0.929;0.929;0.94;1.0;0.975;0.918;0.942;0.957;0.957;0.957;0.928;0.942;0.928;0.928;0.917;0.931;0.926;0.882;0.853;0.868;0.929;0.929
transcript64_ENSMSIG00000000513;0.905;0.906;0.917;0.975;1.0;0.894;0.913;0.928;0.928;0.928;0.899;0.913;0.899;0.899;0.915;0.903;0.897;0.853;0.879;0.838;0.906;0.906
transcript67_ENSMSIG00000000513;0.965;0.988;0.976;0.918;0.894;1.0;0.971;0.986;0.986;0.986;0.985;0.971;0.957;0.957;0.972;0.986;0.985;0.941;0.912;0.926;0.988;0.988
transcript7_MGP-SPRETEiJ-G0021131;0.986;0.986;0.986;0.942;0.913;0.971;1.0;0.989;0.989;0.989;0.967;0.978;0.967;0.989;0.976;0.988;0.986;0.942;0.913;0.928;0.989;0.989
transcript59_MGP-SPRETEiJ-G0021131;1.0;1.0;1.0;0.957;0.928;0.986;0.989;1.0;1.0;1.0;0.978;0.989;0.978;0.978;0.988;1.0;1.0;0.957;0.928;0.942;1.0;1.0
transcript61_MGP-SPRETEiJ-G0021131;1.0;1.0;1.0;0.957;0.928;0.986;0.989;1.0;1.0;1.0;0.978;0.989;0.978;0.978;0.988;1.0;1.0;0.957;0.928;0.942;1.0;1.0
transcript62_MGP-SPRETEiJ-G0021131;1.0;1.0;1.0;0.957;0.928;0.986;0.989;1.0;1.0;1.0;0.978;0.989;0.978;0.978;0.988;1.0;1.0;0.957;0.928;0.942;1.0;1.0
transcript69_MGP-SPRETEiJ-G0021131;0.971;0.971;0.971;0.928;0.899;0.985;0.967;0.978;0.978;0.978;1.0;0.967;0.957;0.957;0.964;0.976;0.971;0.928;0.899;0.913;0.978;0.978
transcript70_MGP-SPRETEiJ-G0021131;0.986;0.986;0.986;0.942;0.913;0.971;0.978;0.989;0.989;0.989;0.967;1.0;0.967;0.967;0.976;0.988;0.986;0.942;0.913;0.928;0.989;0.989
transcript71_MGP-SPRETEiJ-G0021131;0.971;0.971;0.971;0.928;0.899;0.957;0.967;0.978;0.978;0.978;0.957;0.967;1.0;0.957;0.964;0.976;0.986;0.942;0.913;0.928;0.978;0.978
transcript72_MGP-SPRETEiJ-G0021131;0.971;0.971;0.971;0.928;0.899;0.957;0.989;0.978;0.978;0.978;0.957;0.967;0.957;1.0;0.964;0.976;0.971;0.928;0.899;0.913;0.978;0.978
transcript7_ENSMUSG00000054036;0.958;0.986;0.972;0.917;0.915;0.972;0.976;0.988;0.988;0.988;0.964;0.976;0.964;0.964;1.0;0.99;0.986;0.973;0.973;0.959;0.99;0.99
transcript54_ENSMUSG00000054036;0.972;1.0;0.986;0.931;0.903;0.986;0.988;1.0;1.0;1.0;0.976;0.988;0.976;0.976;0.99;1.0;1.0;0.986;0.959;0.973;1.0;1.0
transcript50_MGP-CAROLIEiJ-G0020234;0.971;1.0;0.985;0.926;0.897;0.985;0.986;1.0;1.0;1.0;0.971;0.986;0.986;0.971;0.986;1.0;1.0;0.965;0.941;0.953;1.0;1.0
transcript59_MGP-CAROLIEiJ-G0020234;0.926;0.956;0.941;0.882;0.853;0.941;0.942;0.957;0.957;0.957;0.928;0.942;0.942;0.928;0.973;0.986;0.965;1.0;0.976;0.988;0.965;0.965
transcript60_MGP-CAROLIEiJ-G0020234;0.897;0.926;0.912;0.853;0.879;0.912;0.913;0.928;0.928;0.928;0.899;0.913;0.913;0.899;0.973;0.959;0.941;0.976;1.0;0.963;0.941;0.941
transcript61_MGP-CAROLIEiJ-G0020234;0.912;0.941;0.926;0.868;0.838;0.926;0.928;0.942;0.942;0.942;0.913;0.928;0.928;0.913;0.959;0.973;0.953;0.988;0.963;1.0;0.953;0.953
transcript50_MGP-PahariEiJ-G0020237;0.976;1.0;0.988;0.929;0.906;0.988;0.989;1.0;1.0;1.0;0.978;0.989;0.978;0.978;0.99;1.0;1.0;0.965;0.941;0.953;1.0;1.0
transcript57_MGP-PahariEiJ-G0020237;0.976;1.0;0.988;0.929;0.906;0.988;0.989;1.0;1.0;1.0;0.978;0.989;0.978;0.978;0.99;1.0;1.0;0.965;0.941;0.953;1.0;1.0
