;ENSCAFT00000017891_90_90;ENST00000265165_90_90;ENST00000379951_90_90;ENST00000438313_90_90;ENST00000504950_90_90;ENST00000506680_90_90;ENST00000510624_90_90;ENST00000512172_90_90;ENST00000515500_90_90;ENSMUST00000029611_90_90;ENSMUST00000066849_90_90;ENSMUST00000098611_90_90;ENSMUST00000106341_90_90
ENSCAFT00000017891_90_90;1.0;0.041;0.042;0.042;0.0;0.045;0.0;0.0;0.0;0.041;0.042;0.0;0.042
ENST00000265165_90_90;0.041;1.0;0.849;0.93;0.323;0.71;0.746;0.352;0.421;0.995;0.925;0.816;0.844
ENST00000379951_90_90;0.042;0.849;1.0;0.908;0.245;0.623;0.724;0.364;0.339;0.844;0.903;0.677;0.995
ENST00000438313_90_90;0.042;0.93;0.908;1.0;0.254;0.644;0.802;0.378;0.352;0.925;0.995;0.746;0.903
ENST00000504950_90_90;0.0;0.323;0.245;0.254;1.0;0.392;0.317;0.565;0.721;0.325;0.255;0.402;0.246
ENST00000506680_90_90;0.045;0.71;0.623;0.644;0.392;1.0;0.474;0.426;0.51;0.706;0.64;0.54;0.618
ENST00000510624_90_90;0.0;0.746;0.724;0.802;0.317;0.474;1.0;0.477;0.436;0.75;0.806;0.915;0.728
ENST00000512172_90_90;0.0;0.352;0.364;0.378;0.565;0.426;0.477;1.0;0.833;0.354;0.38;0.437;0.366
ENST00000515500_90_90;0.0;0.421;0.339;0.352;0.721;0.51;0.436;0.833;1.0;0.423;0.354;0.521;0.341
ENSMUST00000029611_90_90;0.041;0.995;0.844;0.925;0.325;0.706;0.75;0.354;0.423;1.0;0.929;0.82;0.848
ENSMUST00000066849_90_90;0.042;0.925;0.903;0.995;0.255;0.64;0.806;0.38;0.354;0.929;1.0;0.75;0.908
ENSMUST00000098611_90_90;0.0;0.816;0.677;0.746;0.402;0.54;0.915;0.437;0.521;0.82;0.75;1.0;0.68
ENSMUST00000106341_90_90;0.042;0.844;0.995;0.903;0.246;0.618;0.728;0.366;0.341;0.848;0.908;0.68;1.0
