;ENSCAFT00000044457_90_90;ENST00000295894_90_90;ENST00000450542_90_90;ENST00000460711_90_90;ENST00000465156_90_90;ENST00000468110_90_90;ENST00000472899_90_90;ENST00000478300_90_90;ENST00000479198_90_90;ENST00000498449_90_90;ENSMUST00000070323_90_90;ENSMUST00000112656_90_90;ENSMUST00000153954_90_90;ENSMUST00000223583_90_90
ENSCAFT00000044457_90_90;1.0;0.556;0.111;0.579;0.444;0.167;0.316;0.5;0.474;0.222;0.421;0.474;0.3;0.45
ENST00000295894_90_90;0.556;1.0;0.167;0.846;0.818;0.25;0.188;0.75;0.833;0.455;0.615;0.833;0.538;0.643
ENST00000450542_90_90;0.111;0.167;1.0;0.143;0.2;0.167;0.0;0.3;0.167;0.0;0.182;0.077;0.2;0.154
ENST00000460711_90_90;0.579;0.846;0.143;1.0;0.692;0.214;0.167;0.643;0.714;0.385;0.533;0.714;0.467;0.562
ENST00000465156_90_90;0.444;0.818;0.2;0.692;1.0;0.182;0.214;0.583;0.667;0.4;0.462;0.667;0.636;0.5
ENST00000468110_90_90;0.167;0.25;0.167;0.214;0.182;1.0;0.091;0.4;0.25;0.5;0.4;0.25;0.182;0.231
ENST00000472899_90_90;0.316;0.188;0.0;0.167;0.214;0.091;1.0;0.059;0.188;0.3;0.059;0.188;0.214;0.053
ENST00000478300_90_90;0.5;0.75;0.3;0.643;0.583;0.4;0.059;1.0;0.615;0.25;0.818;0.615;0.357;0.692
ENST00000479198_90_90;0.474;0.833;0.167;0.714;0.667;0.25;0.188;0.615;1.0;0.455;0.5;0.692;0.538;0.533
ENST00000498449_90_90;0.222;0.455;0.0;0.385;0.4;0.5;0.3;0.25;0.455;1.0;0.25;0.455;0.4;0.214
ENSMUST00000070323_90_90;0.421;0.615;0.182;0.533;0.462;0.4;0.059;0.818;0.5;0.25;1.0;0.75;0.357;0.692
ENSMUST00000112656_90_90;0.474;0.833;0.077;0.714;0.667;0.25;0.188;0.615;0.692;0.455;0.75;1.0;0.538;0.643
ENSMUST00000153954_90_90;0.3;0.538;0.2;0.467;0.636;0.182;0.214;0.357;0.538;0.4;0.357;0.538;1.0;0.5
ENSMUST00000223583_90_90;0.45;0.643;0.154;0.562;0.5;0.231;0.053;0.692;0.533;0.214;0.692;0.643;0.5;1.0
