;ENSCAFT00000007541_90_90;ENST00000260643_90_90;ENST00000406567_90_90;ENST00000430533_90_90;ENST00000441451_90_90;ENST00000444452_90_90;ENST00000456259_90_90;ENSMUST00000074840_90_90;ENSMUST00000201002_90_90;ENSMUST00000201821_90_90;ENSMUST00000202567_90_90
ENSCAFT00000007541_90_90;1.0;0.972;0.825;0.309;0.095;0.112;0.374;1.0;0.435;0.193;0.841
ENST00000260643_90_90;0.972;1.0;0.825;0.337;0.087;0.112;0.366;0.972;0.38;0.197;0.814
ENST00000406567_90_90;0.825;0.825;1.0;0.163;0.034;0.136;0.245;0.825;0.243;0.232;0.666
ENST00000430533_90_90;0.309;0.337;0.163;1.0;0.208;0.0;0.48;0.309;0.385;0.102;0.368
ENST00000441451_90_90;0.095;0.087;0.034;0.208;1.0;0.0;0.151;0.095;0.104;0.0;0.113
ENST00000444452_90_90;0.112;0.112;0.136;0.0;0.0;1.0;0.0;0.112;0.0;0.0;0.134
ENST00000456259_90_90;0.374;0.366;0.245;0.48;0.151;0.0;1.0;0.351;0.398;0.08;0.232
ENSMUST00000074840_90_90;1.0;0.972;0.825;0.309;0.095;0.112;0.351;1.0;0.386;0.193;0.841
ENSMUST00000201002_90_90;0.435;0.38;0.243;0.385;0.104;0.0;0.398;0.386;1.0;0.122;0.389
ENSMUST00000201821_90_90;0.193;0.197;0.232;0.102;0.0;0.0;0.08;0.193;0.122;1.0;0.229
ENSMUST00000202567_90_90;0.841;0.814;0.666;0.368;0.113;0.134;0.232;0.841;0.389;0.229;1.0
