;ENSCAFT00000012285_90_90;ENST00000361618_90_90;ENST00000393702_90_90;ENST00000393704_90_90;ENST00000502832_90_90;ENST00000504999_90_90;ENST00000506110_90_90;ENST00000506764_90_90;ENST00000507601_90_90;ENST00000510306_90_90;ENST00000512698_90_90;ENSMUST00000034066_90_90;ENSMUST00000160719_90_90;ENSMUST00000161421_90_90;ENSMUST00000161702_90_90
ENSCAFT00000012285_90_90;1.0;0.9;0.5;0.4;0.2;0.3;0.5;0.2;0.1;0.1;0.3;1.0;1.0;0.4;1.0
ENST00000361618_90_90;0.9;1.0;0.385;0.364;0.182;0.364;0.385;0.182;0.091;0.091;0.273;0.909;0.909;0.4;0.909
ENST00000393702_90_90;0.5;0.385;1.0;0.0;0.0;0.571;1.0;0.286;0.0;0.143;0.0;0.545;0.545;0.0;0.545
ENST00000393704_90_90;0.4;0.364;0.0;1.0;0.5;0.0;0.0;0.0;0.25;0.0;0.75;0.364;0.364;1.0;0.364
ENST00000502832_90_90;0.2;0.182;0.0;0.5;1.0;0.0;0.0;0.0;0.5;0.0;0.667;0.182;0.182;0.5;0.182
ENST00000504999_90_90;0.3;0.364;0.571;0.0;0.0;1.0;0.571;0.5;0.0;0.25;0.0;0.364;0.364;0.0;0.364
ENST00000506110_90_90;0.5;0.385;1.0;0.0;0.0;0.571;1.0;0.286;0.0;0.143;0.0;0.545;0.545;0.0;0.545
ENST00000506764_90_90;0.2;0.182;0.286;0.0;0.0;0.5;0.286;1.0;0.0;0.5;0.0;0.182;0.182;0.0;0.182
ENST00000507601_90_90;0.1;0.091;0.0;0.25;0.5;0.0;0.0;0.0;1.0;0.0;0.333;0.091;0.091;0.25;0.091
ENST00000510306_90_90;0.1;0.091;0.143;0.0;0.0;0.25;0.143;0.5;0.0;1.0;0.0;0.091;0.091;0.0;0.091
ENST00000512698_90_90;0.3;0.273;0.0;0.75;0.667;0.0;0.0;0.0;0.333;0.0;1.0;0.273;0.273;0.75;0.273
ENSMUST00000034066_90_90;1.0;0.909;0.545;0.364;0.182;0.364;0.545;0.182;0.091;0.091;0.273;1.0;1.0;0.364;1.0
ENSMUST00000160719_90_90;1.0;0.909;0.545;0.364;0.182;0.364;0.545;0.182;0.091;0.091;0.273;1.0;1.0;0.364;1.0
ENSMUST00000161421_90_90;0.4;0.4;0.0;1.0;0.5;0.0;0.0;0.0;0.25;0.0;0.75;0.364;0.364;1.0;0.364
ENSMUST00000161702_90_90;1.0;0.909;0.545;0.364;0.182;0.364;0.545;0.182;0.091;0.091;0.273;1.0;1.0;0.364;1.0
