;transcript8_ENSMPUG00000020072;transcript8_ENSECAG00000007947;transcript6_ENSMPUG00000020072;transcript13_ENSMPUG00000020072;transcript10_ENSMPUG00000020072;transcript6_ENSECAG00000007947;transcript17_ENSECAG00000007947;transcript4_ENSECAG00000007947;transcript7_ENSECAG00000007947;transcript21_ENSECAG00000007947;transcript14_ENSECAG00000007947;transcript18_ENSECAG00000007947;transcript19_ENSECAG00000007947;transcript16_ENSECAG00000007947;transcript15_ENSECAG00000007947;transcript20_ENSECAG00000007947
transcript8_ENSMPUG00000020072;1.0;0.73;0.583;0.581;0.514;0.42;0.42;0.432;0.416;0.416;0.351;0.351;0.351;0.379;0.376;0.371
transcript8_ENSECAG00000007947;0.73;1.0;0.467;0.465;0.416;0.583;0.583;0.595;0.573;0.573;0.454;0.454;0.454;0.508;0.505;0.494
transcript6_ENSMPUG00000020072;0.583;0.467;1.0;0.996;0.886;0.724;0.724;0.713;0.688;0.688;0.528;0.528;0.528;0.654;0.651;0.647
transcript13_ENSMPUG00000020072;0.581;0.465;0.996;1.0;0.883;0.722;0.722;0.711;0.685;0.685;0.529;0.529;0.529;0.652;0.649;0.645
transcript10_ENSMPUG00000020072;0.514;0.416;0.886;0.883;1.0;0.649;0.649;0.661;0.681;0.681;0.477;0.477;0.477;0.726;0.724;0.64
transcript6_ENSECAG00000007947;0.42;0.583;0.724;0.722;0.649;1.0;1.0;0.988;0.95;0.95;0.681;0.681;0.681;0.887;0.884;0.873
transcript17_ENSECAG00000007947;0.42;0.583;0.724;0.722;0.649;1.0;1.0;0.988;0.95;0.95;0.681;0.681;0.681;0.887;0.884;0.873
transcript4_ENSECAG00000007947;0.432;0.595;0.713;0.711;0.661;0.988;0.988;1.0;0.962;0.962;0.694;0.694;0.694;0.899;0.896;0.885
transcript7_ENSECAG00000007947;0.416;0.573;0.688;0.685;0.681;0.95;0.95;0.962;1.0;1.0;0.668;0.668;0.668;0.935;0.933;0.921
transcript21_ENSECAG00000007947;0.416;0.573;0.688;0.685;0.681;0.95;0.95;0.962;1.0;1.0;0.668;0.668;0.668;0.935;0.933;0.921
transcript14_ENSECAG00000007947;0.351;0.454;0.528;0.529;0.477;0.681;0.681;0.694;0.668;0.668;1.0;1.0;1.0;0.603;0.601;0.59
transcript18_ENSECAG00000007947;0.351;0.454;0.528;0.529;0.477;0.681;0.681;0.694;0.668;0.668;1.0;1.0;1.0;0.603;0.601;0.59
transcript19_ENSECAG00000007947;0.351;0.454;0.528;0.529;0.477;0.681;0.681;0.694;0.668;0.668;1.0;1.0;1.0;0.603;0.601;0.59
transcript16_ENSECAG00000007947;0.379;0.508;0.654;0.652;0.726;0.887;0.887;0.899;0.935;0.935;0.603;0.603;0.603;1.0;0.997;0.857
transcript15_ENSECAG00000007947;0.376;0.505;0.651;0.649;0.724;0.884;0.884;0.896;0.933;0.933;0.601;0.601;0.601;0.997;1.0;0.855
transcript20_ENSECAG00000007947;0.371;0.494;0.647;0.645;0.64;0.873;0.873;0.885;0.921;0.921;0.59;0.59;0.59;0.857;0.855;1.0
