;ENSCAFT00000001061_90_90;ENST00000297447_90_90;ENST00000312046_90_90;ENST00000435082_90_90;ENST00000438229_90_90;ENST00000442977_90_90;ENST00000449762_90_90;ENST00000497705_90_90;ENST00000517566_90_90;ENST00000517686_90_90;ENST00000519415_90_90;ENST00000521592_90_90;ENST00000531443_90_90;ENSMUST00000022918_90_90;ENSMUST00000090095_90_90;ENSMUST00000090096_90_90;ENSMUST00000110297_90_90;ENSMUST00000166917_90_90;ENSMUST00000170127_90_90;ENSMUST00000179393_90_90
ENSCAFT00000001061_90_90;1.0;0.213;0.663;0.028;0.02;0.778;0.18;0.451;0.827;0.105;0.485;0.087;0.796;0.736;0.704;0.704;0.876;0.18;0.693;0.704
ENST00000297447_90_90;0.213;1.0;0.18;0.089;0.0;0.213;0.861;0.0;0.209;0.0;0.175;0.329;0.177;0.263;0.221;0.221;0.217;0.861;0.184;0.221
ENST00000312046_90_90;0.663;0.18;1.0;0.129;0.101;0.794;0.186;0.571;0.782;0.131;0.586;0.09;0.807;0.654;0.675;0.675;0.624;0.186;0.759;0.675
ENST00000435082_90_90;0.028;0.089;0.129;1.0;0.342;0.028;0.099;0.0;0.027;0.0;0.0;0.0;0.028;0.035;0.037;0.037;0.028;0.099;0.108;0.037
ENST00000438229_90_90;0.02;0.0;0.101;0.342;1.0;0.039;0.0;0.054;0.038;0.169;0.0;0.0;0.039;0.0;0.0;0.0;0.021;0.0;0.059;0.0
ENST00000442977_90_90;0.778;0.213;0.794;0.028;0.039;1.0;0.18;0.55;0.939;0.126;0.564;0.087;0.906;0.681;0.65;0.65;0.736;0.18;0.624;0.65
ENST00000449762_90_90;0.18;0.861;0.186;0.099;0.0;0.18;1.0;0.0;0.177;0.0;0.183;0.376;0.183;0.221;0.231;0.231;0.183;1.0;0.191;0.231
ENST00000497705_90_90;0.451;0.0;0.571;0.0;0.054;0.55;0.0;1.0;0.541;0.194;0.395;0.0;0.558;0.418;0.432;0.432;0.411;0.0;0.425;0.432
ENST00000517566_90_90;0.827;0.209;0.782;0.027;0.038;0.939;0.177;0.541;1.0;0.123;0.554;0.086;0.966;0.674;0.643;0.643;0.783;0.177;0.618;0.643
ENST00000517686_90_90;0.105;0.0;0.131;0.0;0.169;0.126;0.0;0.194;0.123;1.0;0.0;0.0;0.128;0.072;0.075;0.075;0.108;0.0;0.112;0.075
ENST00000519415_90_90;0.485;0.175;0.586;0.0;0.0;0.564;0.183;0.395;0.554;0.0;1.0;0.146;0.574;0.52;0.539;0.539;0.444;0.183;0.461;0.539
ENST00000521592_90_90;0.087;0.329;0.09;0.0;0.0;0.087;0.376;0.0;0.086;0.0;0.146;1.0;0.089;0.103;0.107;0.107;0.088;0.376;0.091;0.107
ENST00000531443_90_90;0.796;0.177;0.807;0.028;0.039;0.906;0.183;0.558;0.966;0.128;0.574;0.089;1.0;0.643;0.664;0.664;0.753;0.183;0.635;0.664
ENSMUST00000022918_90_90;0.736;0.263;0.654;0.035;0.0;0.681;0.221;0.418;0.674;0.072;0.52;0.103;0.643;1.0;0.956;0.956;0.815;0.221;0.783;0.956
ENSMUST00000090095_90_90;0.704;0.221;0.675;0.037;0.0;0.65;0.231;0.432;0.643;0.075;0.539;0.107;0.664;0.956;1.0;1.0;0.779;0.231;0.811;1.0
ENSMUST00000090096_90_90;0.704;0.221;0.675;0.037;0.0;0.65;0.231;0.432;0.643;0.075;0.539;0.107;0.664;0.956;1.0;1.0;0.779;0.231;0.811;1.0
ENSMUST00000110297_90_90;0.876;0.217;0.624;0.028;0.021;0.736;0.183;0.411;0.783;0.108;0.444;0.088;0.753;0.815;0.779;0.779;1.0;0.183;0.76;0.779
ENSMUST00000166917_90_90;0.18;0.861;0.186;0.099;0.0;0.18;1.0;0.0;0.177;0.0;0.183;0.376;0.183;0.221;0.231;0.231;0.183;1.0;0.191;0.231
ENSMUST00000170127_90_90;0.693;0.184;0.759;0.108;0.059;0.624;0.191;0.425;0.618;0.112;0.461;0.091;0.635;0.783;0.811;0.811;0.76;0.191;1.0;0.811
ENSMUST00000179393_90_90;0.704;0.221;0.675;0.037;0.0;0.65;0.231;0.432;0.643;0.075;0.539;0.107;0.664;0.956;1.0;1.0;0.779;0.231;0.811;1.0
