;ENSCAFT00000015434_90_90;ENST00000306107_90_90;ENST00000465413_90_90;ENST00000472644_90_90;ENST00000486979_90_90;ENSMUST00000023312_90_90;ENSMUST00000164728_90_90;ENSMUST00000167115_90_90;ENSMUST00000168071_90_90;ENSMUST00000170035_90_90
ENSCAFT00000015434_90_90;1.0;0.928;0.508;0.881;0.841;0.865;0.869;0.46;0.245;0.821
ENST00000306107_90_90;0.928;1.0;0.508;0.951;0.841;0.811;0.808;0.46;0.206;0.768
ENST00000465413_90_90;0.508;0.508;1.0;0.461;0.595;0.46;0.449;0.774;0.0;0.416
ENST00000472644_90_90;0.881;0.951;0.461;1.0;0.791;0.768;0.764;0.415;0.214;0.798
ENST00000486979_90_90;0.841;0.841;0.595;0.791;1.0;0.722;0.717;0.529;0.102;0.677
ENSMUST00000023312_90_90;0.865;0.811;0.46;0.768;0.722;1.0;0.869;0.508;0.291;0.951
ENSMUST00000164728_90_90;0.869;0.808;0.449;0.764;0.717;0.869;1.0;0.403;0.31;0.822
ENSMUST00000167115_90_90;0.46;0.46;0.774;0.415;0.529;0.508;0.403;1.0;0.0;0.46
ENSMUST00000168071_90_90;0.245;0.206;0.0;0.214;0.102;0.291;0.31;0.0;1.0;0.307
ENSMUST00000170035_90_90;0.821;0.768;0.416;0.798;0.677;0.951;0.822;0.46;0.307;1.0
