;ENSCAFT00000022782_90_90;ENSCAFT00000047054_90_90;ENST00000265459_90_90;ENST00000301894_90_90;ENST00000377551_90_90;ENST00000377559_90_90;ENST00000409571_90_90;ENST00000417749_90_90;ENST00000423049_90_90;ENST00000437746_90_90;ENST00000442300_90_90;ENSMUST00000077182_90_90;ENSMUST00000113458_90_90;ENSMUST00000113459_90_90;ENSMUST00000113461_90_90;ENSMUST00000113462_90_90;ENSMUST00000137166_90_90;ENSMUST00000137821_90_90;ENSMUST00000155158_90_90
ENSCAFT00000022782_90_90;1.0;0.88;0.992;0.342;0.992;0.955;0.992;0.115;0.134;0.126;0.158;0.879;0.341;0.15;0.955;0.992;0.992;0.128;0.115
ENSCAFT00000047054_90_90;0.88;1.0;0.884;0.226;0.884;0.847;0.884;0.136;0.151;0.142;0.185;0.998;0.226;0.168;0.848;0.885;0.885;0.143;0.137
ENST00000265459_90_90;0.992;0.884;1.0;0.321;1.0;0.959;0.996;0.12;0.129;0.125;0.161;0.879;0.321;0.141;0.959;0.996;1.0;0.126;0.12
ENST00000301894_90_90;0.342;0.226;0.321;1.0;0.321;0.311;0.322;0.0;0.414;0.0;0.0;0.216;1.0;0.511;0.311;0.322;0.321;0.0;0.0
ENST00000377551_90_90;0.992;0.884;1.0;0.321;1.0;0.959;0.996;0.12;0.129;0.125;0.161;0.879;0.321;0.141;0.959;0.996;1.0;0.126;0.12
ENST00000377559_90_90;0.955;0.847;0.959;0.311;0.959;1.0;0.963;0.109;0.134;0.114;0.151;0.845;0.311;0.147;1.0;0.963;0.959;0.115;0.109
ENST00000409571_90_90;0.992;0.884;0.996;0.322;0.996;0.963;1.0;0.121;0.129;0.126;0.162;0.882;0.322;0.142;0.963;1.0;0.996;0.126;0.121
ENST00000417749_90_90;0.115;0.136;0.12;0.0;0.12;0.109;0.121;1.0;0.0;0.718;0.681;0.137;0.0;0.0;0.109;0.121;0.12;0.71;0.997
ENST00000423049_90_90;0.134;0.151;0.129;0.414;0.129;0.134;0.129;0.0;1.0;0.0;0.0;0.146;0.418;0.818;0.134;0.129;0.129;0.0;0.0
ENST00000437746_90_90;0.126;0.142;0.125;0.0;0.125;0.114;0.126;0.718;0.0;1.0;0.512;0.142;0.0;0.0;0.114;0.125;0.125;0.989;0.715
ENST00000442300_90_90;0.158;0.185;0.161;0.0;0.161;0.151;0.162;0.681;0.0;0.512;1.0;0.186;0.0;0.0;0.153;0.164;0.163;0.534;0.718
ENSMUST00000077182_90_90;0.879;0.998;0.879;0.216;0.879;0.845;0.882;0.137;0.146;0.142;0.186;1.0;0.216;0.158;0.846;0.883;0.879;0.144;0.137
ENSMUST00000113458_90_90;0.341;0.226;0.321;1.0;0.321;0.311;0.322;0.0;0.418;0.0;0.0;0.216;1.0;0.499;0.311;0.322;0.321;0.0;0.0
ENSMUST00000113459_90_90;0.15;0.168;0.141;0.511;0.141;0.147;0.142;0.0;0.818;0.0;0.0;0.158;0.499;1.0;0.145;0.14;0.14;0.0;0.0
ENSMUST00000113461_90_90;0.955;0.848;0.959;0.311;0.959;1.0;0.963;0.109;0.134;0.114;0.153;0.846;0.311;0.145;1.0;0.963;0.959;0.115;0.109
ENSMUST00000113462_90_90;0.992;0.885;0.996;0.322;0.996;0.963;1.0;0.121;0.129;0.125;0.164;0.883;0.322;0.14;0.963;1.0;0.996;0.127;0.121
ENSMUST00000137166_90_90;0.992;0.885;1.0;0.321;1.0;0.959;0.996;0.12;0.129;0.125;0.163;0.879;0.321;0.14;0.959;0.996;1.0;0.126;0.12
ENSMUST00000137821_90_90;0.128;0.143;0.126;0.0;0.126;0.115;0.126;0.71;0.0;0.989;0.534;0.144;0.0;0.0;0.115;0.127;0.126;1.0;0.713
ENSMUST00000155158_90_90;0.115;0.137;0.12;0.0;0.12;0.109;0.121;0.997;0.0;0.715;0.718;0.137;0.0;0.0;0.109;0.121;0.12;0.713;1.0
