;ENSCAFT00000023887_90_90;ENSCAFT00000023892_90_90;ENSCAFT00000043832_90_90;ENST00000292476_90_90;ENST00000412686_90_90;ENST00000430038_90_90;ENST00000436336_90_90;ENST00000440514_90_90;ENST00000441580_90_90;ENST00000451876_90_90;ENST00000452047_90_90;ENSMUST00000070487_90_90;ENSMUST00000160422_90_90;ENSMUST00000160574_90_90;ENSMUST00000160629_90_90;ENSMUST00000160762_90_90;ENSMUST00000162244_90_90
ENSCAFT00000023887_90_90;1.0;0.377;0.442;0.434;0.51;0.06;0.474;0.134;0.353;0.378;0.251;0.417;0.471;0.207;0.527;0.418;0.515
ENSCAFT00000023892_90_90;0.377;1.0;0.803;0.647;0.216;0.105;0.707;0.358;0.517;0.771;0.422;0.827;0.691;0.201;0.733;0.531;0.756
ENSCAFT00000043832_90_90;0.442;0.803;1.0;0.826;0.3;0.087;0.743;0.463;0.571;0.626;0.475;0.669;0.877;0.164;0.768;0.662;0.79
ENST00000292476_90_90;0.434;0.647;0.826;1.0;0.296;0.129;0.91;0.51;0.659;0.784;0.576;0.688;0.895;0.183;0.787;0.681;0.809
ENST00000412686_90_90;0.51;0.216;0.3;0.296;1.0;0.0;0.326;0.143;0.438;0.216;0.227;0.218;0.3;0.0;0.338;0.389;0.331
ENST00000430038_90_90;0.06;0.105;0.087;0.129;0.0;1.0;0.14;0.0;0.0;0.16;0.072;0.136;0.11;0.441;0.122;0.108;0.119
ENST00000436336_90_90;0.474;0.707;0.743;0.91;0.326;0.14;1.0;0.432;0.725;0.861;0.623;0.754;0.809;0.2;0.862;0.654;0.886
ENST00000440514_90_90;0.134;0.358;0.463;0.51;0.143;0.0;0.432;1.0;0.558;0.384;0.441;0.364;0.491;0.0;0.392;0.426;0.413
ENST00000441580_90_90;0.353;0.517;0.571;0.659;0.438;0.0;0.725;0.558;1.0;0.586;0.616;0.525;0.602;0.0;0.635;0.609;0.661
ENST00000451876_90_90;0.378;0.771;0.626;0.784;0.216;0.16;0.861;0.384;0.586;1.0;0.506;0.869;0.688;0.229;0.77;0.528;0.754
ENST00000452047_90_90;0.251;0.422;0.475;0.576;0.227;0.072;0.623;0.441;0.616;0.506;1.0;0.485;0.556;0.089;0.579;0.553;0.601
ENSMUST00000070487_90_90;0.417;0.827;0.669;0.688;0.218;0.136;0.754;0.364;0.525;0.869;0.485;1.0;0.778;0.266;0.881;0.613;0.857
ENSMUST00000160422_90_90;0.471;0.691;0.877;0.895;0.3;0.11;0.809;0.491;0.602;0.688;0.556;0.778;1.0;0.212;0.883;0.772;0.908
ENSMUST00000160574_90_90;0.207;0.201;0.164;0.183;0.0;0.441;0.2;0.0;0.0;0.229;0.089;0.266;0.212;1.0;0.238;0.128;0.232
ENSMUST00000160629_90_90;0.527;0.733;0.768;0.787;0.338;0.122;0.862;0.392;0.635;0.77;0.579;0.881;0.883;0.238;1.0;0.722;0.973
ENSMUST00000160762_90_90;0.418;0.531;0.662;0.681;0.389;0.108;0.654;0.426;0.609;0.528;0.553;0.613;0.772;0.128;0.722;1.0;0.748
ENSMUST00000162244_90_90;0.515;0.756;0.79;0.809;0.331;0.119;0.886;0.413;0.661;0.754;0.601;0.857;0.908;0.232;0.973;0.748;1.0
