;ENSCAFT00000015568_90_90;ENST00000311559_90_90;ENST00000398568_90_90;ENST00000427738_90_90;ENST00000562884_90_90;ENST00000564326_90_90;ENST00000564634_90_90;ENST00000566024_90_90;ENST00000566206_90_90;ENST00000566679_90_90;ENST00000568704_90_90;ENST00000569418_90_90;ENST00000569681_90_90;ENSMUST00000043526_90_90;ENSMUST00000098519_90_90;ENSMUST00000109626_90_90;ENSMUST00000209206_90_90;ENSMUST00000209532_90_90;ENSMUST00000209559_90_90;ENSMUST00000211554_90_90
ENSCAFT00000015568_90_90;1.0;0.958;0.958;0.958;0.171;0.958;0.059;0.108;0.885;0.284;0.821;0.958;0.171;1.0;1.0;1.0;0.859;1.0;1.0;1.0
ENST00000311559_90_90;0.958;1.0;0.96;1.0;0.108;0.96;0.056;0.054;0.815;0.275;0.826;0.96;0.164;0.914;0.958;0.914;0.778;0.958;0.914;0.914
ENST00000398568_90_90;0.958;0.96;1.0;0.96;0.112;1.0;0.059;0.057;0.844;0.284;0.863;1.0;0.171;0.954;0.914;0.954;0.813;0.914;0.954;0.954
ENST00000427738_90_90;0.958;1.0;0.96;1.0;0.108;0.96;0.056;0.054;0.815;0.275;0.826;0.96;0.164;0.914;0.958;0.914;0.778;0.958;0.914;0.914
ENST00000562884_90_90;0.171;0.108;0.112;0.108;1.0;0.112;0.0;0.516;0.119;0.0;0.128;0.112;0.0;0.183;0.171;0.183;0.208;0.171;0.183;0.183
ENST00000564326_90_90;0.958;0.96;1.0;0.96;0.112;1.0;0.059;0.057;0.844;0.284;0.863;1.0;0.171;0.954;0.914;0.954;0.813;0.914;0.954;0.954
ENST00000564634_90_90;0.059;0.056;0.059;0.056;0.0;0.059;1.0;0.0;0.064;0.222;0.067;0.059;0.35;0.063;0.059;0.063;0.072;0.059;0.063;0.063
ENST00000566024_90_90;0.108;0.054;0.057;0.054;0.516;0.057;0.0;1.0;0.059;0.0;0.064;0.057;0.0;0.115;0.107;0.115;0.13;0.107;0.115;0.115
ENST00000566206_90_90;0.885;0.815;0.844;0.815;0.119;0.844;0.064;0.059;1.0;0.303;0.712;0.844;0.182;0.877;0.842;0.877;0.736;0.842;0.877;0.877
ENST00000566679_90_90;0.284;0.275;0.284;0.275;0.0;0.284;0.222;0.0;0.303;1.0;0.334;0.284;0.607;0.296;0.284;0.296;0.348;0.284;0.296;0.296
ENST00000568704_90_90;0.821;0.826;0.863;0.826;0.128;0.863;0.067;0.064;0.712;0.334;1.0;0.863;0.199;0.813;0.778;0.813;0.95;0.778;0.813;0.813
ENST00000569418_90_90;0.958;0.96;1.0;0.96;0.112;1.0;0.059;0.057;0.844;0.284;0.863;1.0;0.171;0.954;0.914;0.954;0.813;0.914;0.954;0.954
ENST00000569681_90_90;0.171;0.164;0.171;0.164;0.0;0.171;0.35;0.0;0.182;0.607;0.199;0.171;1.0;0.178;0.17;0.178;0.208;0.17;0.178;0.178
ENSMUST00000043526_90_90;1.0;0.914;0.954;0.914;0.183;0.954;0.063;0.115;0.877;0.296;0.813;0.954;0.178;1.0;0.92;0.957;0.82;0.92;0.957;0.957
ENSMUST00000098519_90_90;1.0;0.958;0.914;0.958;0.171;0.914;0.059;0.107;0.842;0.284;0.778;0.914;0.17;0.92;1.0;0.957;0.82;1.0;0.957;0.957
ENSMUST00000109626_90_90;1.0;0.914;0.954;0.914;0.183;0.954;0.063;0.115;0.877;0.296;0.813;0.954;0.178;0.957;0.957;1.0;0.859;0.957;1.0;1.0
ENSMUST00000209206_90_90;0.859;0.778;0.813;0.778;0.208;0.813;0.072;0.13;0.736;0.348;0.95;0.813;0.208;0.82;0.82;0.859;1.0;0.82;0.859;0.859
ENSMUST00000209532_90_90;1.0;0.958;0.914;0.958;0.171;0.914;0.059;0.107;0.842;0.284;0.778;0.914;0.17;0.92;1.0;0.957;0.82;1.0;0.957;0.957
ENSMUST00000209559_90_90;1.0;0.914;0.954;0.914;0.183;0.954;0.063;0.115;0.877;0.296;0.813;0.954;0.178;0.957;0.957;1.0;0.859;0.957;1.0;1.0
ENSMUST00000211554_90_90;1.0;0.914;0.954;0.914;0.183;0.954;0.063;0.115;0.877;0.296;0.813;0.954;0.178;0.957;0.957;1.0;0.859;0.957;1.0;1.0
