;ENSCAFT00000048684_90_90;ENST00000335135_90_90;ENST00000526716_90_90;ENST00000526974_90_90;ENST00000528027_90_90;ENST00000528712_90_90;ENST00000532059_90_90;ENST00000532977_90_90;ENST00000622443_90_90;ENSMUST00000067417_90_90;ENSMUST00000118022_90_90;ENSMUST00000121312_90_90;ENSMUST00000132122_90_90;ENSMUST00000137244_90_90;ENSMUST00000156782_90_90
ENSCAFT00000048684_90_90;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.094;0.094;0.0;0.057;0.041;0.041
ENST00000335135_90_90;0.0;1.0;0.397;0.052;0.264;0.534;0.998;0.036;0.998;0.681;0.682;0.543;0.0;0.0;0.0
ENST00000526716_90_90;0.0;0.397;1.0;0.0;0.0;0.744;0.397;0.0;0.398;0.4;0.401;0.75;0.0;0.0;0.0
ENST00000526974_90_90;0.0;0.052;0.0;1.0;0.197;0.0;0.052;0.696;0.051;0.045;0.045;0.0;0.0;0.0;0.0
ENST00000528027_90_90;0.0;0.264;0.0;0.197;1.0;0.0;0.263;0.137;0.262;0.254;0.254;0.0;0.0;0.0;0.0
ENST00000528712_90_90;0.0;0.534;0.744;0.0;0.0;1.0;0.533;0.0;0.535;0.534;0.535;1.0;0.0;0.0;0.0
ENST00000532059_90_90;0.0;0.998;0.397;0.052;0.263;0.533;1.0;0.036;0.995;0.683;0.681;0.541;0.0;0.0;0.0
ENST00000532977_90_90;0.0;0.036;0.0;0.696;0.137;0.0;0.036;1.0;0.035;0.035;0.035;0.0;0.0;0.0;0.0
ENST00000622443_90_90;0.0;0.998;0.398;0.051;0.262;0.535;0.995;0.035;1.0;0.679;0.68;0.544;0.0;0.0;0.0
ENSMUST00000067417_90_90;0.094;0.681;0.4;0.045;0.254;0.534;0.683;0.035;0.679;1.0;0.998;0.534;0.035;0.026;0.026
ENSMUST00000118022_90_90;0.094;0.682;0.401;0.045;0.254;0.535;0.681;0.035;0.68;0.998;1.0;0.535;0.036;0.026;0.026
ENSMUST00000121312_90_90;0.0;0.543;0.75;0.0;0.0;1.0;0.541;0.0;0.544;0.534;0.535;1.0;0.0;0.0;0.0
ENSMUST00000132122_90_90;0.057;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.035;0.036;0.0;1.0;0.723;0.723
ENSMUST00000137244_90_90;0.041;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.026;0.026;0.0;0.723;1.0;1.0
ENSMUST00000156782_90_90;0.041;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.026;0.026;0.0;0.723;1.0;1.0
