;ENSCAFT00000028719_90_90;ENST00000347662_90_90;ENST00000351691_90_90;ENST00000392745_90_90;ENST00000539721_90_90;ENST00000558700_90_90;ENST00000559734_90_90;ENST00000560371_90_90;ENST00000560463_90_90;ENSMUST00000021706_90_90;ENSMUST00000060274_90_90;ENSMUST00000117269_90_90;ENSMUST00000139162_90_90
ENSCAFT00000028719_90_90;1.0;0.936;0.936;1.0;0.802;0.457;0.38;1.0;0.249;1.0;0.936;0.936;0.252
ENST00000347662_90_90;0.936;1.0;1.0;0.94;0.822;0.389;0.433;0.94;0.253;0.932;1.0;1.0;0.289
ENST00000351691_90_90;0.936;1.0;1.0;0.94;0.822;0.389;0.433;0.94;0.253;0.932;1.0;1.0;0.289
ENST00000392745_90_90;1.0;0.94;0.94;1.0;0.773;0.446;0.409;1.0;0.236;1.0;0.932;0.932;0.268
ENST00000539721_90_90;0.802;0.822;0.822;0.773;1.0;0.232;0.342;0.773;0.319;0.79;0.847;0.847;0.35
ENST00000558700_90_90;0.457;0.389;0.389;0.446;0.232;1.0;0.277;0.446;0.057;0.483;0.415;0.415;0.135
ENST00000559734_90_90;0.38;0.433;0.433;0.409;0.342;0.277;1.0;0.409;0.0;0.392;0.417;0.417;0.0
ENST00000560371_90_90;1.0;0.94;0.94;1.0;0.773;0.446;0.409;1.0;0.236;1.0;0.932;0.932;0.268
ENST00000560463_90_90;0.249;0.253;0.253;0.236;0.319;0.057;0.0;0.236;1.0;0.219;0.236;0.236;0.855
ENSMUST00000021706_90_90;1.0;0.932;0.932;1.0;0.79;0.483;0.392;1.0;0.219;1.0;0.936;0.936;0.252
ENSMUST00000060274_90_90;0.936;1.0;1.0;0.932;0.847;0.415;0.417;0.932;0.236;0.936;1.0;1.0;0.271
ENSMUST00000117269_90_90;0.936;1.0;1.0;0.932;0.847;0.415;0.417;0.932;0.236;0.936;1.0;1.0;0.271
ENSMUST00000139162_90_90;0.252;0.289;0.289;0.268;0.35;0.135;0.0;0.268;0.855;0.252;0.271;0.271;1.0
