;transcript7_ENSMSIG00000000513;transcript50_ENSMSIG00000000513;transcript55_ENSMSIG00000000513;transcript60_ENSMSIG00000000513;transcript64_ENSMSIG00000000513;transcript67_ENSMSIG00000000513;transcript7_MGP-SPRETEiJ-G0021131;transcript59_MGP-SPRETEiJ-G0021131;transcript61_MGP-SPRETEiJ-G0021131;transcript62_MGP-SPRETEiJ-G0021131;transcript69_MGP-SPRETEiJ-G0021131;transcript70_MGP-SPRETEiJ-G0021131;transcript71_MGP-SPRETEiJ-G0021131;transcript72_MGP-SPRETEiJ-G0021131;transcript7_ENSMUSG00000054036;transcript54_ENSMUSG00000054036;transcript50_MGP-CAROLIEiJ-G0020234;transcript59_MGP-CAROLIEiJ-G0020234;transcript60_MGP-CAROLIEiJ-G0020234;transcript61_MGP-CAROLIEiJ-G0020234;transcript50_MGP-PahariEiJ-G0020237;transcript57_MGP-PahariEiJ-G0020237
transcript7_ENSMSIG00000000513;1.0;0.957;0.969;0.923;0.887;0.951;0.711;0.727;0.727;0.727;0.714;0.698;0.71;0.706;0.677;0.682;0.715;0.682;0.651;0.676;0.78;0.78
transcript50_ENSMSIG00000000513;0.957;1.0;0.988;0.942;0.906;0.993;0.684;0.699;0.699;0.699;0.686;0.671;0.682;0.678;0.714;0.719;0.752;0.719;0.689;0.713;0.816;0.816
transcript55_ENSMSIG00000000513;0.969;0.988;1.0;0.954;0.917;0.98;0.691;0.706;0.706;0.706;0.693;0.679;0.69;0.685;0.704;0.709;0.742;0.709;0.677;0.703;0.805;0.805
transcript60_ENSMSIG00000000513;0.923;0.942;0.954;1.0;0.962;0.935;0.686;0.703;0.703;0.703;0.69;0.674;0.686;0.681;0.678;0.683;0.712;0.678;0.647;0.672;0.768;0.768
transcript64_ENSMSIG00000000513;0.887;0.906;0.917;0.962;1.0;0.899;0.655;0.671;0.671;0.671;0.657;0.643;0.654;0.65;0.656;0.652;0.68;0.647;0.668;0.64;0.738;0.738
transcript67_ENSMSIG00000000513;0.951;0.993;0.98;0.935;0.899;1.0;0.678;0.694;0.694;0.694;0.69;0.666;0.677;0.673;0.708;0.713;0.746;0.713;0.682;0.708;0.81;0.81
transcript7_MGP-SPRETEiJ-G0021131;0.711;0.684;0.691;0.686;0.655;0.678;1.0;0.982;0.982;0.982;0.968;0.952;0.964;0.994;0.799;0.805;0.734;0.702;0.671;0.697;0.845;0.845
transcript59_MGP-SPRETEiJ-G0021131;0.727;0.699;0.706;0.703;0.671;0.694;0.982;1.0;1.0;1.0;0.985;0.969;0.982;0.976;0.815;0.82;0.75;0.717;0.687;0.712;0.86;0.86
transcript61_MGP-SPRETEiJ-G0021131;0.727;0.699;0.706;0.703;0.671;0.694;0.982;1.0;1.0;1.0;0.985;0.969;0.982;0.976;0.815;0.82;0.75;0.717;0.687;0.712;0.86;0.86
transcript62_MGP-SPRETEiJ-G0021131;0.727;0.699;0.706;0.703;0.671;0.694;0.982;1.0;1.0;1.0;0.985;0.969;0.982;0.976;0.815;0.82;0.75;0.717;0.687;0.712;0.86;0.86
transcript69_MGP-SPRETEiJ-G0021131;0.714;0.686;0.693;0.69;0.657;0.69;0.968;0.985;0.985;0.985;1.0;0.954;0.967;0.962;0.802;0.807;0.736;0.704;0.674;0.698;0.848;0.848
transcript70_MGP-SPRETEiJ-G0021131;0.698;0.671;0.679;0.674;0.643;0.666;0.952;0.969;0.969;0.969;0.954;1.0;0.951;0.946;0.787;0.792;0.722;0.69;0.659;0.684;0.833;0.833
transcript71_MGP-SPRETEiJ-G0021131;0.71;0.682;0.69;0.686;0.654;0.677;0.964;0.982;0.982;0.982;0.967;0.951;1.0;0.958;0.798;0.803;0.752;0.719;0.689;0.714;0.845;0.845
transcript72_MGP-SPRETEiJ-G0021131;0.706;0.678;0.685;0.681;0.65;0.673;0.994;0.976;0.976;0.976;0.962;0.946;0.958;1.0;0.794;0.799;0.729;0.697;0.666;0.691;0.84;0.84
transcript7_ENSMUSG00000054036;0.677;0.714;0.704;0.678;0.656;0.708;0.799;0.815;0.815;0.815;0.802;0.787;0.798;0.794;1.0;0.994;0.78;0.794;0.772;0.789;0.891;0.891
transcript54_ENSMUSG00000054036;0.682;0.719;0.709;0.683;0.652;0.713;0.805;0.82;0.82;0.82;0.807;0.792;0.803;0.799;0.994;1.0;0.785;0.8;0.769;0.794;0.895;0.895
transcript50_MGP-CAROLIEiJ-G0020234;0.715;0.752;0.742;0.712;0.68;0.746;0.734;0.75;0.75;0.75;0.736;0.722;0.752;0.729;0.78;0.785;1.0;0.964;0.93;0.956;0.866;0.866
transcript59_MGP-CAROLIEiJ-G0020234;0.682;0.719;0.709;0.678;0.647;0.713;0.702;0.717;0.717;0.717;0.704;0.69;0.719;0.697;0.794;0.8;0.964;1.0;0.966;0.993;0.834;0.834
transcript60_MGP-CAROLIEiJ-G0020234;0.651;0.689;0.677;0.647;0.668;0.682;0.671;0.687;0.687;0.687;0.674;0.659;0.689;0.666;0.772;0.769;0.93;0.966;1.0;0.958;0.804;0.804
