;ENSCAFT00000002814_90_90;ENST00000280758_90_90;ENST00000357167_90_90;ENST00000415943_90_90;ENST00000420571_90_90;ENST00000490090_90_90;ENST00000494235_90_90;ENST00000550706_90_90;ENSMUST00000020231_90_90;ENSMUST00000105306_90_90;ENSMUST00000105307_90_90
ENSCAFT00000002814_90_90;1.0;0.999;0.55;0.203;0.891;0.902;0.166;0.201;0.714;0.549;1.0
ENST00000280758_90_90;0.999;1.0;0.534;0.201;0.892;0.895;0.166;0.201;0.713;0.535;0.999
ENST00000357167_90_90;0.55;0.534;1.0;0.138;0.429;0.436;0.285;0.123;0.257;0.999;0.534
ENST00000415943_90_90;0.203;0.201;0.138;1.0;0.225;0.22;0.0;0.549;0.285;0.141;0.203
ENST00000420571_90_90;0.891;0.892;0.429;0.225;1.0;0.788;0.186;0.226;0.799;0.43;0.891
ENST00000490090_90_90;0.902;0.895;0.436;0.22;0.788;1.0;0.068;0.221;0.79;0.441;0.902
ENST00000494235_90_90;0.166;0.166;0.285;0.0;0.186;0.068;1.0;0.0;0.0;0.286;0.166
ENST00000550706_90_90;0.201;0.201;0.123;0.549;0.226;0.221;0.0;1.0;0.282;0.123;0.202
ENSMUST00000020231_90_90;0.714;0.713;0.257;0.285;0.799;0.79;0.0;0.282;1.0;0.256;0.716
ENSMUST00000105306_90_90;0.549;0.535;0.999;0.141;0.43;0.441;0.286;0.123;0.256;1.0;0.532
ENSMUST00000105307_90_90;1.0;0.999;0.534;0.203;0.891;0.902;0.166;0.202;0.716;0.532;1.0
