;ENSCAFT00000027630_90_90;ENST00000258962_90_90;ENST00000581979_90_90;ENST00000582730_90_90;ENST00000583741_90_90;ENST00000584668_90_90;ENST00000584773_90_90;ENST00000585096_90_90;ENSMUST00000079866_90_90;ENSMUST00000107920_90_90;ENSMUST00000134824_90_90;ENSMUST00000139129_90_90;ENSMUST00000172186_90_90
ENSCAFT00000027630_90_90;1.0;0.862;0.654;0.654;0.212;0.446;0.914;0.267;0.697;0.957;0.447;0.904;0.268
ENST00000258962_90_90;0.862;1.0;0.654;0.654;0.169;0.537;0.817;0.248;0.615;0.783;0.324;0.958;0.159
ENST00000581979_90_90;0.654;0.654;1.0;1.0;0.211;0.225;0.626;0.31;0.944;0.59;0.402;0.615;0.198
ENST00000582730_90_90;0.654;0.654;1.0;1.0;0.211;0.225;0.626;0.31;0.944;0.59;0.402;0.615;0.198
ENST00000583741_90_90;0.212;0.169;0.211;0.211;1.0;0.0;0.163;0.524;0.273;0.206;0.0;0.215;0.0
ENST00000584668_90_90;0.446;0.537;0.225;0.225;0.0;1.0;0.411;0.0;0.225;0.411;0.323;0.537;0.166
ENST00000584773_90_90;0.914;0.817;0.626;0.626;0.163;0.411;1.0;0.337;0.59;0.961;0.486;0.783;0.309
ENST00000585096_90_90;0.267;0.248;0.31;0.31;0.524;0.0;0.337;1.0;0.264;0.297;0.118;0.212;0.152
ENSMUST00000079866_90_90;0.697;0.615;0.944;0.944;0.273;0.225;0.59;0.264;1.0;0.626;0.374;0.654;0.183
ENSMUST00000107920_90_90;0.957;0.783;0.59;0.59;0.206;0.411;0.961;0.297;0.626;1.0;0.444;0.817;0.279
ENSMUST00000134824_90_90;0.447;0.324;0.402;0.402;0.0;0.323;0.486;0.118;0.374;0.444;1.0;0.305;0.647
ENSMUST00000139129_90_90;0.904;0.958;0.615;0.615;0.215;0.537;0.783;0.212;0.654;0.817;0.305;1.0;0.149
ENSMUST00000172186_90_90;0.268;0.159;0.198;0.198;0.0;0.166;0.309;0.152;0.183;0.279;0.647;0.149;1.0
