;ENSCAFT00000007452_90_90;ENSCAFT00000018571_90_90;ENSCAFT00000021391_90_90;ENSCAFT00000021394_90_90;ENSCAFT00000021397_90_90;ENST00000227348_90_90;ENST00000533709_90_90;ENST00000252483_90_90;ENST00000252485_90_90;ENST00000585601_90_90;ENST00000591581_90_90;ENST00000592018_90_90;ENST00000331581_90_90;ENST00000452722_90_90;ENST00000536727_90_90;ENST00000537058_90_90;ENST00000540951_90_90;ENST00000542447_90_90;ENST00000542450_90_90;ENST00000543249_90_90;ENST00000543540_90_90;ENST00000545094_90_90;ENST00000545380_90_90;ENST00000612235_90_90;ENST00000616271_90_90;ENSMUST00000034519_90_90;ENSMUST00000180384_90_90;ENSMUST00000180872_90_90;ENSMUST00000188848_90_90;ENSMUST00000034581_90_90;ENSMUST00000085909_90_90;ENSMUST00000114547_90_90;ENSMUST00000114548_90_90;ENSMUST00000143026_90_90;ENSMUST00000152459_90_90;ENSMUST00000214542_90_90;ENSMUST00000075447_90_90;ENSMUST00000108450_90_90
ENSCAFT00000007452_90_90;1.0;0.588;0.568;0.573;0.613;0.656;0.172;0.988;0.653;0.052;0.351;0.1;0.541;0.541;0.536;0.541;0.0;0.536;0.219;0.326;0.159;0.347;0.538;0.571;0.576;0.538;0.552;0.146;0.552;0.541;0.546;0.546;0.541;0.541;0.546;0.0;0.987;0.647
ENSCAFT00000018571_90_90;0.588;1.0;0.808;0.865;0.876;0.999;0.448;0.486;0.902;0.155;0.393;0.0;0.801;0.765;0.794;0.79;0.0;0.758;0.249;0.423;0.209;0.457;0.761;0.714;0.871;0.982;0.999;0.448;0.997;0.758;0.79;0.765;0.783;0.647;0.801;0.0;0.485;0.899
ENSCAFT00000021391_90_90;0.568;0.808;1.0;0.807;0.861;0.794;0.364;0.503;0.798;0.12;0.472;0.0;0.939;0.952;0.892;0.976;0.095;0.903;0.246;0.352;0.176;0.375;0.899;0.728;0.886;0.795;0.812;0.37;0.809;0.905;0.978;0.954;0.929;0.819;0.941;0.096;0.503;0.791
ENSCAFT00000021394_90_90;0.573;0.865;0.807;1.0;0.882;0.793;0.339;0.501;0.825;0.076;0.458;0.0;0.873;0.811;0.813;0.834;0.0;0.751;0.269;0.397;0.192;0.423;0.754;0.733;0.914;0.783;0.801;0.344;0.798;0.745;0.828;0.805;0.769;0.663;0.866;0.0;0.503;0.822
ENSCAFT00000021397_90_90;0.613;0.876;0.861;0.882;1.0;0.804;0.349;0.549;0.843;0.134;0.528;0.0;0.845;0.9;0.797;0.878;0.0;0.85;0.278;0.41;0.198;0.436;0.853;0.84;0.966;0.794;0.811;0.355;0.813;0.842;0.871;0.893;0.822;0.754;0.838;0.0;0.551;0.84
ENST00000227348_90_90;0.656;0.999;0.794;0.793;0.804;1.0;0.427;0.531;0.86;0.155;0.366;0.0;0.783;0.748;0.777;0.772;0.0;0.742;0.244;0.429;0.209;0.457;0.742;0.676;0.801;0.983;1.0;0.427;0.997;0.742;0.772;0.748;0.766;0.651;0.783;0.0;0.531;0.86
ENST00000533709_90_90;0.172;0.448;0.364;0.339;0.349;0.427;1.0;0.135;0.386;0.346;0.231;0.0;0.373;0.337;0.367;0.362;0.0;0.33;0.0;0.0;0.0;0.0;0.33;0.245;0.376;0.411;0.427;1.0;0.425;0.33;0.362;0.337;0.356;0.236;0.373;0.0;0.136;0.385
ENST00000252483_90_90;0.988;0.486;0.503;0.501;0.549;0.531;0.135;1.0;0.519;0.049;0.336;0.099;0.483;0.493;0.487;0.485;0.0;0.497;0.221;0.316;0.16;0.35;0.499;0.553;0.512;0.448;0.46;0.118;0.461;0.502;0.489;0.498;0.493;0.526;0.487;0.0;1.0;0.514
ENST00000252485_90_90;0.653;0.902;0.798;0.825;0.843;0.86;0.386;0.519;1.0;0.117;0.438;0.0;0.764;0.737;0.753;0.76;0.0;0.727;0.256;0.364;0.186;0.406;0.73;0.718;0.816;0.85;0.866;0.39;0.863;0.727;0.76;0.737;0.75;0.669;0.764;0.0;0.514;0.999
ENST00000585601_90_90;0.052;0.155;0.12;0.076;0.134;0.155;0.346;0.049;0.117;1.0;0.118;0.0;0.12;0.123;0.121;0.12;0.0;0.125;0.0;0.0;0.0;0.0;0.125;0.084;0.13;0.159;0.156;0.346;0.156;0.125;0.12;0.123;0.122;0.077;0.12;0.0;0.05;0.119
ENST00000591581_90_90;0.351;0.393;0.472;0.458;0.528;0.366;0.231;0.336;0.438;0.118;1.0;0.0;0.471;0.486;0.477;0.473;0.0;0.492;0.556;0.197;0.403;0.245;0.494;0.58;0.513;0.354;0.371;0.234;0.372;0.492;0.473;0.486;0.479;0.529;0.471;0.0;0.342;0.45
ENST00000592018_90_90;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.099;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.101;0.0
ENST00000331581_90_90;0.541;0.801;0.939;0.873;0.845;0.783;0.373;0.483;0.764;0.12;0.471;0.0;1.0;0.938;0.941;0.962;0.083;0.879;0.235;0.329;0.168;0.362;0.875;0.692;0.873;0.783;0.799;0.384;0.797;0.878;0.96;0.937;0.901;0.776;0.999;0.085;0.483;0.758
ENST00000452722_90_90;0.541;0.765;0.952;0.811;0.9;0.748;0.337;0.493;0.737;0.123;0.486;0.0;0.938;1.0;0.879;0.976;0.088;0.937;0.25;0.35;0.179;0.386;0.933;0.736;0.884;0.747;0.763;0.346;0.765;0.935;0.974;0.998;0.912;0.826;0.937;0.091;0.493;0.731
ENST00000536727_90_90;0.536;0.794;0.892;0.813;0.797;0.777;0.367;0.487;0.753;0.121;0.477;0.0;0.941;0.879;1.0;0.902;0.088;0.935;0.25;0.349;0.178;0.385;0.931;0.734;0.814;0.777;0.793;0.377;0.79;0.933;0.901;0.878;0.958;0.824;0.939;0.091;0.486;0.75
ENST00000537058_90_90;0.541;0.79;0.976;0.834;0.878;0.772;0.362;0.485;0.76;0.12;0.473;0.0;0.962;0.976;0.902;1.0;0.086;0.914;0.244;0.342;0.174;0.376;0.91;0.718;0.908;0.772;0.788;0.372;0.786;0.912;0.999;0.974;0.937;0.806;0.96;0.089;0.485;0.754
ENST00000540951_90_90;0.0;0.0;0.095;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.083;0.088;0.088;0.086;1.0;0.094;0.0;0.0;0.0;0.0;0.09;0.0;0.0;0.0;0.0;0.0;0.0;0.094;0.086;0.088;0.092;0.1;0.083;0.825;0.0;0.0
ENST00000542447_90_90;0.536;0.758;0.903;0.751;0.85;0.742;0.33;0.497;0.727;0.125;0.492;0.0;0.879;0.937;0.935;0.914;0.094;1.0;0.267;0.372;0.191;0.411;0.996;0.784;0.822;0.741;0.757;0.339;0.758;0.998;0.912;0.935;0.973;0.88;0.878;0.097;0.497;0.723
ENST00000542450_90_90;0.219;0.249;0.246;0.269;0.278;0.244;0.0;0.221;0.256;0.0;0.556;0.0;0.235;0.25;0.25;0.244;0.0;0.267;1.0;0.239;0.714;0.303;0.268;0.32;0.269;0.25;0.246;0.0;0.247;0.267;0.244;0.25;0.26;0.286;0.235;0.0;0.221;0.257
ENST00000543249_90_90;0.326;0.423;0.352;0.397;0.41;0.429;0.0;0.316;0.364;0.0;0.197;0.0;0.329;0.35;0.349;0.342;0.0;0.372;0.239;1.0;0.275;0.789;0.373;0.44;0.374;0.434;0.426;0.0;0.428;0.384;0.352;0.36;0.374;0.41;0.338;0.0;0.329;0.383
ENST00000543540_90_90;0.159;0.209;0.176;0.192;0.198;0.209;0.0;0.16;0.186;0.0;0.403;0.0;0.168;0.179;0.178;0.174;0.0;0.191;0.714;0.275;1.0;0.352;0.192;0.228;0.192;0.214;0.21;0.0;0.211;0.191;0.174;0.179;0.186;0.204;0.168;0.0;0.16;0.186
