;transcript33_ENSMUSG00000054036;transcript33_MGP-PahariEiJ-G0020237;transcript27_ENSRNOG00000031503;transcript27_ENSMUGG00000013649;transcript34_ENSRNOG00000031503;transcript37_ENSMUGG00000013649;transcript38_ENSMUGG00000013649;transcript40_ENSMUGG00000013649;transcript45_ENSMUGG00000013649;transcript46_ENSMUGG00000013649;transcript49_ENSMUGG00000013649;transcript39_ENSMUGG00000013592
transcript33_ENSMUSG00000054036;1.0;0.927;0.745;0.93;0.745;0.192;0.985;0.93;0.985;0.951;0.971;0.93
transcript33_MGP-PahariEiJ-G0020237;0.927;1.0;0.703;0.887;0.703;0.197;0.942;0.887;0.942;0.907;0.927;0.887
transcript27_ENSRNOG00000031503;0.745;0.703;1.0;0.815;1.0;0.28;0.759;0.815;0.759;0.726;0.745;0.815
transcript27_ENSMUGG00000013649;0.93;0.887;0.815;1.0;0.815;0.247;0.944;1.0;0.944;0.911;0.93;1.0
transcript34_ENSRNOG00000031503;0.745;0.703;1.0;0.815;1.0;0.28;0.759;0.815;0.759;0.726;0.745;0.815
transcript37_ENSMUGG00000013649;0.192;0.197;0.28;0.247;0.28;1.0;0.191;0.247;0.191;0.158;0.176;0.247
transcript38_ENSMUGG00000013649;0.985;0.942;0.759;0.944;0.759;0.191;1.0;0.944;1.0;0.966;0.985;0.944
transcript40_ENSMUGG00000013649;0.93;0.887;0.815;1.0;0.815;0.247;0.944;1.0;0.944;0.911;0.93;1.0
transcript45_ENSMUGG00000013649;0.985;0.942;0.759;0.944;0.759;0.191;1.0;0.944;1.0;0.966;0.985;0.944
transcript46_ENSMUGG00000013649;0.951;0.907;0.726;0.911;0.726;0.158;0.966;0.911;0.966;1.0;0.98;0.911
transcript49_ENSMUGG00000013649;0.971;0.927;0.745;0.93;0.745;0.176;0.985;0.93;0.985;0.98;1.0;0.93
transcript39_ENSMUGG00000013592;0.93;0.887;0.815;1.0;0.815;0.247;0.944;1.0;0.944;0.911;0.93;1.0
