;transcript2_ENSHGLG00100006079;transcript8_ENSHGLG00100006079;transcript6_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript7_ENSMUNG00000007775;transcript16_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript16_ENSMUNG00000002377;transcript10_ENSMUNG00000002391;transcript2_ENSXMAG00000026005;transcript7_ENSXMAG00000026005;transcript8_ENSXMAG00000026005;transcript9_ENSXMAG00000026005;transcript10_ENSXMAG00000026005
transcript2_ENSHGLG00100006079;1.0;0.555;0.751;0.029;0.029;0.238;0.238;0.238;0.983;1.0;0.029;0.555;1.0;0.983
transcript8_ENSHGLG00100006079;0.555;1.0;0.308;0.012;0.018;0.016;0.016;0.016;0.539;0.555;0.027;0.998;0.555;0.539
transcript6_ENSPCIG00000036398;0.751;0.308;1.0;0.038;0.038;0.315;0.315;0.315;0.764;0.751;0.036;0.308;0.751;0.764
transcript7_ENSPCIG00000036398;0.029;0.012;0.038;1.0;0.579;0.122;0.122;0.122;0.03;0.029;0.324;0.012;0.029;0.03
transcript7_ENSMUNG00000007775;0.029;0.018;0.038;0.579;1.0;0.122;0.122;0.122;0.03;0.029;0.343;0.018;0.029;0.03
transcript16_ENSMUNG00000007775;0.238;0.016;0.315;0.122;0.122;1.0;1.0;1.0;0.242;0.238;0.059;0.017;0.238;0.242
transcript23_ENSMUNG00000007775;0.238;0.016;0.315;0.122;0.122;1.0;1.0;1.0;0.242;0.238;0.059;0.017;0.238;0.242
transcript16_ENSMUNG00000002377;0.238;0.016;0.315;0.122;0.122;1.0;1.0;1.0;0.242;0.238;0.059;0.017;0.238;0.242
transcript10_ENSMUNG00000002391;0.983;0.539;0.764;0.03;0.03;0.242;0.242;0.242;1.0;0.983;0.03;0.539;0.983;1.0
transcript2_ENSXMAG00000026005;1.0;0.555;0.751;0.029;0.029;0.238;0.238;0.238;0.983;1.0;0.029;0.555;1.0;0.983
transcript7_ENSXMAG00000026005;0.029;0.027;0.036;0.324;0.343;0.059;0.059;0.059;0.03;0.029;1.0;0.027;0.029;0.03
transcript8_ENSXMAG00000026005;0.555;0.998;0.308;0.012;0.018;0.017;0.017;0.017;0.539;0.555;0.027;1.0;0.555;0.539
transcript9_ENSXMAG00000026005;1.0;0.555;0.751;0.029;0.029;0.238;0.238;0.238;0.983;1.0;0.029;0.555;1.0;0.983
transcript10_ENSXMAG00000026005;0.983;0.539;0.764;0.03;0.03;0.242;0.242;0.242;1.0;0.983;0.03;0.539;0.983;1.0
