;ENSCAFT00000014468_90_90;ENST00000312055_90_90;ENST00000354558_90_90;ENST00000525896_90_90;ENST00000526496_90_90;ENST00000526876_90_90;ENST00000527333_90_90;ENST00000529230_90_90;ENSMUST00000046769_90_90;ENSMUST00000099716_90_90;ENSMUST00000111337_90_90;ENSMUST00000111338_90_90
ENSCAFT00000014468_90_90;1.0;0.97;0.97;0.093;0.074;0.089;0.077;0.999;0.989;1.0;0.97;1.0
ENST00000312055_90_90;0.97;1.0;1.0;0.096;0.077;0.06;0.063;0.97;0.96;0.97;1.0;0.97
ENST00000354558_90_90;0.97;1.0;1.0;0.096;0.077;0.06;0.063;0.97;0.96;0.97;1.0;0.97
ENST00000525896_90_90;0.093;0.096;0.096;1.0;0.0;0.0;0.0;0.093;0.083;0.093;0.096;0.093
ENST00000526496_90_90;0.074;0.077;0.077;0.0;1.0;0.0;0.0;0.074;0.075;0.074;0.077;0.074
ENST00000526876_90_90;0.089;0.06;0.06;0.0;0.0;1.0;0.765;0.089;0.09;0.089;0.06;0.089
ENST00000527333_90_90;0.077;0.063;0.063;0.0;0.0;0.765;1.0;0.077;0.078;0.077;0.063;0.077
ENST00000529230_90_90;0.999;0.97;0.97;0.093;0.074;0.089;0.077;1.0;0.989;1.0;0.97;1.0
ENSMUST00000046769_90_90;0.989;0.96;0.96;0.083;0.075;0.09;0.078;0.989;1.0;0.99;0.96;0.99
ENSMUST00000099716_90_90;1.0;0.97;0.97;0.093;0.074;0.089;0.077;1.0;0.99;1.0;0.97;1.0
ENSMUST00000111337_90_90;0.97;1.0;1.0;0.096;0.077;0.06;0.063;0.97;0.96;0.97;1.0;0.97
ENSMUST00000111338_90_90;1.0;0.97;0.97;0.093;0.074;0.089;0.077;1.0;0.99;1.0;0.97;1.0
