;ENSCAFT00000031307_90_90;ENST00000293872_90_90;ENST00000337351_90_90;ENST00000397780_90_90;ENST00000397783_90_90;ENST00000418978_90_90;ENST00000419516_90_90;ENST00000426094_90_90;ENST00000428363_90_90;ENST00000429378_90_90;ENST00000430864_90_90;ENST00000442701_90_90;ENST00000443357_90_90;ENST00000629543_90_90;ENSMUST00000025023_90_90;ENSMUST00000114976_90_90;ENSMUST00000119928_90_90;ENSMUST00000140427_90_90;ENSMUST00000148894_90_90;ENSMUST00000152107_90_90;ENSMUST00000154235_90_90;ENSMUST00000155151_90_90
ENSCAFT00000031307_90_90;1.0;0.8;0.742;0.517;0.742;0.097;0.097;0.031;0.148;0.25;0.333;0.069;0.185;0.097;0.273;0.333;0.273;0.061;0.029;0.375;0.031;0.0
ENST00000293872_90_90;0.8;1.0;0.929;0.571;0.929;0.172;0.172;0.1;0.148;0.296;0.333;0.107;0.185;0.172;0.302;0.362;0.302;0.029;0.094;0.341;0.1;0.0
ENST00000337351_90_90;0.742;0.929;1.0;0.63;1.0;0.172;0.172;0.1;0.148;0.25;0.333;0.148;0.185;0.172;0.302;0.362;0.302;0.029;0.094;0.341;0.1;0.0
ENST00000397780_90_90;0.517;0.571;0.63;1.0;0.63;0.0;0.0;0.0;0.235;0.389;0.529;0.235;0.294;0.0;0.07;0.149;0.07;0.0;0.0;0.184;0.0;0.0
ENST00000397783_90_90;0.742;0.929;1.0;0.63;1.0;0.172;0.172;0.1;0.148;0.25;0.333;0.148;0.185;0.172;0.302;0.362;0.302;0.029;0.094;0.341;0.1;0.0
ENST00000418978_90_90;0.097;0.172;0.172;0.0;0.172;1.0;1.0;0.3;0.0;0.0;0.0;0.0;0.0;1.0;0.161;0.128;0.161;0.071;0.5;0.061;0.3;0.0
ENST00000419516_90_90;0.097;0.172;0.172;0.0;0.172;1.0;1.0;0.3;0.0;0.0;0.0;0.0;0.0;1.0;0.161;0.128;0.161;0.071;0.5;0.061;0.3;0.0
ENST00000426094_90_90;0.031;0.1;0.1;0.0;0.1;0.3;0.3;1.0;0.0;0.0;0.0;0.0;0.0;0.3;0.094;0.075;0.094;0.0;0.273;0.0;0.714;0.0
ENST00000428363_90_90;0.148;0.148;0.148;0.235;0.148;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.1;0.051;0.1;0.0;0.0;0.067;0.0;0.0
ENST00000429378_90_90;0.25;0.296;0.25;0.389;0.25;0.0;0.0;0.0;0.0;1.0;0.417;0.333;0.3;0.0;0.0;0.071;0.0;0.0;0.0;0.091;0.0;0.0
ENST00000430864_90_90;0.333;0.333;0.333;0.529;0.333;0.0;0.0;0.0;0.0;0.417;1.0;0.083;0.556;0.0;0.0;0.122;0.0;0.0;0.0;0.156;0.0;0.0
ENST00000442701_90_90;0.069;0.107;0.148;0.235;0.148;0.0;0.0;0.0;0.0;0.333;0.083;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000443357_90_90;0.185;0.185;0.185;0.294;0.185;0.0;0.0;0.0;0.0;0.3;0.556;0.0;1.0;0.0;0.0;0.105;0.0;0.0;0.0;0.138;0.0;0.0
ENST00000629543_90_90;0.097;0.172;0.172;0.0;0.172;1.0;1.0;0.3;0.0;0.0;0.0;0.0;0.0;1.0;0.161;0.128;0.161;0.071;0.5;0.061;0.3;0.0
ENSMUST00000025023_90_90;0.273;0.302;0.302;0.07;0.302;0.161;0.161;0.094;0.1;0.0;0.0;0.0;0.0;0.161;1.0;0.737;1.0;0.276;0.156;0.5;0.094;0.103
ENSMUST00000114976_90_90;0.333;0.362;0.362;0.149;0.362;0.128;0.128;0.075;0.051;0.071;0.122;0.0;0.105;0.128;0.737;1.0;0.737;0.216;0.125;0.757;0.075;0.081
ENSMUST00000119928_90_90;0.273;0.302;0.302;0.07;0.302;0.161;0.161;0.094;0.1;0.0;0.0;0.0;0.0;0.161;1.0;0.737;1.0;0.276;0.156;0.5;0.094;0.103
ENSMUST00000140427_90_90;0.061;0.029;0.029;0.0;0.029;0.071;0.071;0.0;0.0;0.0;0.0;0.0;0.0;0.071;0.276;0.216;0.276;1.0;0.0;0.161;0.0;0.1
ENSMUST00000148894_90_90;0.029;0.094;0.094;0.0;0.094;0.5;0.5;0.273;0.0;0.0;0.0;0.0;0.0;0.5;0.156;0.125;0.156;0.0;1.0;0.0;0.273;0.1
ENSMUST00000152107_90_90;0.375;0.341;0.341;0.184;0.341;0.061;0.061;0.0;0.067;0.091;0.156;0.0;0.138;0.061;0.5;0.757;0.5;0.161;0.0;1.0;0.0;0.0
ENSMUST00000154235_90_90;0.031;0.1;0.1;0.0;0.1;0.3;0.3;0.714;0.0;0.0;0.0;0.0;0.0;0.3;0.094;0.075;0.094;0.0;0.273;0.0;1.0;0.0
ENSMUST00000155151_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.103;0.081;0.103;0.1;0.1;0.0;0.0;1.0
