;ENSCAFT00000031036_90_90;ENSCAFT00000043222_90_90;ENST00000164247_90_90;ENST00000341524_90_90;ENST00000352527_90_90;ENST00000378083_90_90;ENST00000378092_90_90;ENST00000378097_90_90;ENST00000378111_90_90;ENST00000389632_90_90;ENST00000428161_90_90;ENST00000445501_90_90;ENST00000458166_90_90;ENST00000462676_90_90;ENST00000472700_90_90;ENST00000602612_90_90;ENSMUST00000030768_90_90;ENSMUST00000105648_90_90;ENSMUST00000159186_90_90;ENSMUST00000159840_90_90;ENSMUST00000160884_90_90;ENSMUST00000161236_90_90;ENSMUST00000162017_90_90
ENSCAFT00000031036_90_90;;;0.655;0.655;0.688;0.567;0.688;0.655;0.238;0.469;0.551;0.13;0.559;0.066;0.218;0.58;0.787;0.744;0.74;0.787;0.744;0.327;0.1
ENSCAFT00000043222_90_90;;;0.587;0.587;0.615;0.631;0.615;0.587;0.15;0.39;0.468;0.035;0.628;0.077;0.184;0.508;0.705;0.669;0.666;0.705;0.669;0.236;0.0
ENST00000164247_90_90;0.655;0.587;;;;;;;;;;;;;;;0.831;0.887;0.84;0.831;0.887;0.462;0.218
ENST00000341524_90_90;0.655;0.587;;;;;;;;;;;;;;;0.831;0.887;0.84;0.831;0.887;0.462;0.218
ENST00000352527_90_90;0.688;0.615;;;;;;;;;;;;;;;0.877;0.831;0.787;0.877;0.831;0.403;0.187
ENST00000378083_90_90;0.567;0.631;;;;;;;;;;;;;;;0.584;0.558;0.608;0.584;0.558;0.193;0.0
ENST00000378092_90_90;0.688;0.615;;;;;;;;;;;;;;;0.877;0.831;0.787;0.877;0.831;0.403;0.187
ENST00000378097_90_90;0.655;0.587;;;;;;;;;;;;;;;0.831;0.887;0.84;0.831;0.887;0.462;0.218
ENST00000378111_90_90;0.238;0.15;;;;;;;;;;;;;;;0.33;0.386;0.362;0.33;0.386;0.68;0.395
ENST00000389632_90_90;0.469;0.39;;;;;;;;;;;;;;;0.626;0.685;0.647;0.626;0.685;0.631;0.297
ENST00000428161_90_90;0.551;0.468;;;;;;;;;;;;;;;0.729;0.685;0.647;0.729;0.685;0.508;0.232
ENST00000445501_90_90;0.13;0.035;;;;;;;;;;;;;;;0.218;0.279;0.26;0.218;0.279;0.526;0.768
ENST00000458166_90_90;0.559;0.628;;;;;;;;;;;;;;;0.623;0.591;0.563;0.623;0.591;0.15;0.0
ENST00000462676_90_90;0.066;0.077;;;;;;;;;;;;;;;0.064;0.06;0.056;0.064;0.06;0.102;0.0
ENST00000472700_90_90;0.218;0.184;;;;;;;;;;;;;;;0.244;0.299;0.281;0.244;0.299;0.522;0.186
ENST00000602612_90_90;0.58;0.508;;;;;;;;;;;;;;;0.734;0.787;0.746;0.734;0.787;0.449;0.215
ENSMUST00000030768_90_90;0.787;0.705;0.831;0.831;0.877;0.584;0.877;0.831;0.33;0.626;0.729;0.218;0.623;0.064;0.244;0.734;;;;;;;
ENSMUST00000105648_90_90;0.744;0.669;0.887;0.887;0.831;0.558;0.831;0.887;0.386;0.685;0.685;0.279;0.591;0.06;0.299;0.787;;;;;;;
ENSMUST00000159186_90_90;0.74;0.666;0.84;0.84;0.787;0.608;0.787;0.84;0.362;0.647;0.647;0.26;0.563;0.056;0.281;0.746;;;;;;;
ENSMUST00000159840_90_90;0.787;0.705;0.831;0.831;0.877;0.584;0.877;0.831;0.33;0.626;0.729;0.218;0.623;0.064;0.244;0.734;;;;;;;
ENSMUST00000160884_90_90;0.744;0.669;0.887;0.887;0.831;0.558;0.831;0.887;0.386;0.685;0.685;0.279;0.591;0.06;0.299;0.787;;;;;;;
ENSMUST00000161236_90_90;0.327;0.236;0.462;0.462;0.403;0.193;0.403;0.462;0.68;0.631;0.508;0.526;0.15;0.102;0.522;0.449;;;;;;;
ENSMUST00000162017_90_90;0.1;0.0;0.218;0.218;0.187;0.0;0.187;0.218;0.395;0.297;0.232;0.768;0.0;0.0;0.186;0.215;;;;;;;
