;ENSCAFT00000002730_90_90;ENST00000339582_90_90;ENST00000341617_90_90;ENST00000358373_90_90;ENST00000412160_90_90;ENST00000444921_90_90;ENST00000457830_90_90;ENST00000465844_90_90;ENST00000472701_90_90;ENSMUST00000090512_90_90;ENSMUST00000115323_90_90;ENSMUST00000115324_90_90;ENSMUST00000131897_90_90;ENSMUST00000132755_90_90
ENSCAFT00000002730_90_90;1.0;0.806;0.475;0.767;0.05;0.321;0.304;0.099;0.767;0.885;0.881;0.881;0.354;0.05
ENST00000339582_90_90;0.806;1.0;0.522;0.817;0.05;0.367;0.354;0.061;0.817;0.772;0.717;0.717;0.304;0.05
ENST00000341617_90_90;0.475;0.522;1.0;0.541;0.071;0.0;0.543;0.09;0.541;0.489;0.489;0.489;0.474;0.071
ENST00000358373_90_90;0.767;0.817;0.541;1.0;0.053;0.243;0.37;0.063;1.0;0.732;0.855;0.855;0.315;0.053
ENST00000412160_90_90;0.05;0.05;0.071;0.053;1.0;0.0;0.135;0.0;0.053;0.053;0.053;0.053;0.135;1.0
ENST00000444921_90_90;0.321;0.367;0.0;0.243;0.0;1.0;0.0;0.0;0.243;0.285;0.243;0.243;0.0;0.0
ENST00000457830_90_90;0.304;0.354;0.543;0.37;0.135;0.0;1.0;0.15;0.37;0.315;0.315;0.315;0.831;0.135
ENST00000465844_90_90;0.099;0.061;0.09;0.063;0.0;0.0;0.15;1.0;0.063;0.105;0.105;0.105;0.246;0.0
ENST00000472701_90_90;0.767;0.817;0.541;1.0;0.053;0.243;0.37;0.063;1.0;0.732;0.855;0.855;0.315;0.053
ENSMUST00000090512_90_90;0.885;0.772;0.489;0.732;0.053;0.285;0.315;0.105;0.732;1.0;0.84;0.84;0.37;0.053
ENSMUST00000115323_90_90;0.881;0.717;0.489;0.855;0.053;0.243;0.315;0.105;0.855;0.84;1.0;1.0;0.37;0.053
ENSMUST00000115324_90_90;0.881;0.717;0.489;0.855;0.053;0.243;0.315;0.105;0.855;0.84;1.0;1.0;0.37;0.053
ENSMUST00000131897_90_90;0.354;0.304;0.474;0.315;0.135;0.0;0.831;0.246;0.315;0.37;0.37;0.37;1.0;0.135
ENSMUST00000132755_90_90;0.05;0.05;0.071;0.053;1.0;0.0;0.135;0.0;0.053;0.053;0.053;0.053;0.135;1.0
