;ENSCAFT00000027630_90_90;ENST00000258962_90_90;ENST00000581979_90_90;ENST00000582730_90_90;ENST00000583741_90_90;ENST00000584668_90_90;ENST00000584773_90_90;ENST00000585096_90_90;ENSMUST00000079866_90_90;ENSMUST00000107920_90_90;ENSMUST00000134824_90_90;ENSMUST00000139129_90_90;ENSMUST00000172186_90_90
ENSCAFT00000027630_90_90;1.0;0.75;0.583;0.583;0.167;0.333;0.833;0.25;0.667;0.917;0.5;0.833;0.333
ENST00000258962_90_90;0.75;1.0;0.615;0.615;0.077;0.5;0.667;0.214;0.538;0.6;0.286;0.917;0.143
ENST00000581979_90_90;0.583;0.615;1.0;1.0;0.1;0.154;0.571;0.273;0.889;0.5;0.364;0.538;0.182
ENST00000582730_90_90;0.583;0.615;1.0;1.0;0.1;0.154;0.571;0.273;0.889;0.5;0.364;0.538;0.182
ENST00000583741_90_90;0.167;0.077;0.1;0.1;1.0;0.0;0.071;0.167;0.222;0.154;0.0;0.167;0.0
ENST00000584668_90_90;0.333;0.5;0.154;0.154;0.0;1.0;0.267;0.0;0.154;0.267;0.182;0.5;0.1
ENST00000584773_90_90;0.833;0.667;0.571;0.571;0.071;0.267;1.0;0.385;0.5;0.923;0.583;0.6;0.417
ENST00000585096_90_90;0.25;0.214;0.273;0.273;0.167;0.0;0.385;1.0;0.182;0.308;0.222;0.143;0.286
ENSMUST00000079866_90_90;0.667;0.538;0.889;0.889;0.222;0.154;0.5;0.182;1.0;0.571;0.308;0.615;0.154
ENSMUST00000107920_90_90;0.917;0.6;0.5;0.5;0.154;0.267;0.923;0.308;0.571;1.0;0.5;0.667;0.357
ENSMUST00000134824_90_90;0.5;0.286;0.364;0.364;0.0;0.182;0.583;0.222;0.308;0.5;1.0;0.25;0.75
ENSMUST00000139129_90_90;0.833;0.917;0.538;0.538;0.167;0.5;0.6;0.143;0.615;0.667;0.25;1.0;0.125
ENSMUST00000172186_90_90;0.333;0.143;0.182;0.182;0.0;0.1;0.417;0.286;0.154;0.357;0.75;0.125;1.0
