;ENSCAFT00000003676_90_90;ENST00000242066_90_90;ENST00000399357_90_90;ENST00000403527_90_90;ENST00000403685_90_90;ENST00000405192_90_90;ENST00000405218_90_90;ENST00000405358_90_90;ENST00000420159_90_90;ENST00000421381_90_90;ENST00000430479_90_90;ENST00000431887_90_90;ENST00000433547_90_90;ENST00000438956_90_90;ENST00000443137_90_90;ENST00000443608_90_90;ENSMUST00000095767_90_90;ENSMUST00000159334_90_90;ENSMUST00000160244_90_90;ENSMUST00000160701_90_90;ENSMUST00000160856_90_90;ENSMUST00000160996_90_90;ENSMUST00000161164_90_90;ENSMUST00000161513_90_90;ENSMUST00000161980_90_90;ENSMUST00000162563_90_90
ENSCAFT00000003676_90_90;1.0;0.889;0.667;0.778;0.889;0.833;0.944;0.889;0.722;0.389;0.944;0.278;0.111;0.667;0.889;0.389;1.0;0.833;0.889;0.722;0.944;0.5;0.111;0.444;0.778;1.0
ENST00000242066_90_90;0.889;1.0;0.632;0.737;1.0;0.833;0.944;0.762;0.778;0.333;0.944;0.222;0.118;0.722;0.75;0.316;0.889;0.684;0.778;0.579;0.941;0.562;0.125;0.368;0.722;0.889
ENST00000399357_90_90;0.667;0.632;1.0;0.875;0.632;0.579;0.684;0.619;0.812;0.167;0.684;0.118;0.0;0.75;0.524;0.571;0.632;0.812;0.526;0.929;0.579;0.222;0.0;0.211;0.75;0.632
ENST00000403527_90_90;0.778;0.737;0.875;1.0;0.737;0.684;0.789;0.714;0.938;0.211;0.789;0.105;0.0;0.875;0.619;0.5;0.737;0.938;0.632;0.812;0.684;0.333;0.0;0.316;0.875;0.737
ENST00000403685_90_90;0.889;1.0;0.632;0.737;1.0;0.833;0.944;0.762;0.778;0.333;0.944;0.222;0.118;0.722;0.75;0.316;0.889;0.684;0.778;0.579;0.941;0.562;0.125;0.368;0.722;0.889
ENST00000405192_90_90;0.833;0.833;0.579;0.684;0.833;1.0;0.889;0.714;0.632;0.438;0.889;0.312;0.125;0.579;0.7;0.333;0.833;0.632;0.938;0.526;0.778;0.6;0.133;0.471;0.579;0.833
ENST00000405218_90_90;0.944;0.944;0.684;0.789;0.944;0.889;1.0;0.81;0.737;0.389;1.0;0.278;0.111;0.684;0.8;0.368;0.944;0.737;0.833;0.632;0.889;0.529;0.118;0.421;0.684;0.944
ENST00000405358_90_90;0.889;0.762;0.619;0.714;0.762;0.714;0.81;1.0;0.667;0.286;0.81;0.19;0.048;0.619;0.652;0.333;0.8;0.7;0.7;0.6;0.75;0.421;0.053;0.556;0.65;0.8
ENST00000420159_90_90;0.722;0.778;0.812;0.938;0.778;0.632;0.737;0.667;1.0;0.158;0.737;0.053;0.0;0.933;0.571;0.438;0.684;0.875;0.579;0.75;0.722;0.353;0.0;0.263;0.933;0.684
ENST00000421381_90_90;0.389;0.333;0.167;0.211;0.333;0.438;0.389;0.286;0.158;1.0;0.389;0.714;0.286;0.167;0.389;0.25;0.389;0.211;0.438;0.167;0.333;0.6;0.286;0.545;0.158;0.389
ENST00000430479_90_90;0.944;0.944;0.684;0.789;0.944;0.889;1.0;0.81;0.737;0.389;1.0;0.278;0.111;0.684;0.8;0.368;0.944;0.737;0.833;0.632;0.889;0.529;0.118;0.421;0.684;0.944
ENST00000431887_90_90;0.278;0.222;0.118;0.105;0.222;0.312;0.278;0.19;0.053;0.714;0.278;1.0;0.4;0.056;0.278;0.182;0.278;0.105;0.312;0.118;0.222;0.4;0.4;0.364;0.053;0.278
