;ENSCAFT00000002501_90_90;ENST00000307972_90_90;ENST00000373057_90_90;ENST00000373060_90_90;ENST00000373063_90_90;ENST00000409208_90_90;ENST00000451305_90_90;ENSMUST00000097311_90_90;ENSMUST00000113262_90_90;ENSMUST00000113263_90_90;ENSMUST00000113265_90_90
ENSCAFT00000002501_90_90;;0.931;0.901;0.931;0.936;0.968;0.064;0.82;0.845;0.794;0.82
ENST00000307972_90_90;0.931;;;;;;;0.828;0.795;0.802;0.77
ENST00000373057_90_90;0.901;;;;;;;0.802;0.769;0.82;0.746
ENST00000373060_90_90;0.931;;;;;;;0.828;0.795;0.802;0.77
ENST00000373063_90_90;0.936;;;;;;;0.77;0.793;0.746;0.81
ENST00000409208_90_90;0.968;;;;;;;0.795;0.82;0.769;0.793
ENST00000451305_90_90;0.064;;;;;;;0.059;0.06;0.06;0.062
ENSMUST00000097311_90_90;0.82;0.828;0.802;0.828;0.77;0.795;0.059;;;;
ENSMUST00000113262_90_90;0.845;0.795;0.769;0.795;0.793;0.82;0.06;;;;
ENSMUST00000113263_90_90;0.794;0.802;0.82;0.802;0.746;0.769;0.06;;;;
ENSMUST00000113265_90_90;0.82;0.77;0.746;0.77;0.81;0.793;0.062;;;;
