;ENSCAFT00000022782_90_90;ENSCAFT00000047054_90_90;ENST00000265459_90_90;ENST00000301894_90_90;ENST00000377551_90_90;ENST00000377559_90_90;ENST00000409571_90_90;ENST00000417749_90_90;ENST00000423049_90_90;ENST00000437746_90_90;ENST00000442300_90_90;ENSMUST00000077182_90_90;ENSMUST00000113458_90_90;ENSMUST00000113459_90_90;ENSMUST00000113461_90_90;ENSMUST00000113462_90_90;ENSMUST00000137166_90_90;ENSMUST00000137821_90_90;ENSMUST00000155158_90_90
ENSCAFT00000022782_90_90;1.0;0.871;0.843;0.282;0.843;0.791;0.855;0.158;0.098;0.166;0.191;0.792;0.271;0.116;0.801;0.867;0.853;0.207;0.178
ENSCAFT00000047054_90_90;0.871;1.0;0.76;0.18;0.76;0.708;0.772;0.198;0.107;0.182;0.234;0.907;0.185;0.127;0.743;0.81;0.796;0.225;0.223
ENST00000265459_90_90;0.843;0.76;1.0;0.293;1.0;0.913;0.982;0.194;0.113;0.179;0.206;0.772;0.281;0.129;0.811;0.875;0.892;0.176;0.173
ENST00000301894_90_90;0.282;0.18;0.293;1.0;0.293;0.284;0.297;0.0;0.361;0.0;0.0;0.202;0.918;0.497;0.268;0.281;0.277;0.0;0.0
ENST00000377551_90_90;0.843;0.76;1.0;0.293;1.0;0.913;0.982;0.194;0.113;0.179;0.206;0.772;0.281;0.129;0.811;0.875;0.892;0.176;0.173
ENST00000377559_90_90;0.791;0.708;0.913;0.284;0.913;1.0;0.93;0.184;0.122;0.168;0.196;0.718;0.272;0.139;0.877;0.824;0.811;0.165;0.162
ENST00000409571_90_90;0.855;0.772;0.982;0.297;0.982;0.93;1.0;0.199;0.115;0.183;0.21;0.783;0.286;0.131;0.824;0.889;0.875;0.179;0.176
ENST00000417749_90_90;0.158;0.198;0.194;0.0;0.194;0.184;0.199;1.0;0.0;0.693;0.659;0.203;0.0;0.0;0.166;0.181;0.176;0.582;0.886
ENST00000423049_90_90;0.098;0.107;0.113;0.361;0.113;0.122;0.115;0.0;1.0;0.0;0.0;0.131;0.391;0.641;0.124;0.116;0.115;0.0;0.0
ENST00000437746_90_90;0.166;0.182;0.179;0.0;0.179;0.168;0.183;0.693;0.0;1.0;0.465;0.186;0.0;0.0;0.149;0.166;0.163;0.827;0.607
ENST00000442300_90_90;0.191;0.234;0.206;0.0;0.206;0.196;0.21;0.659;0.0;0.465;1.0;0.239;0.0;0.0;0.201;0.215;0.21;0.447;0.659
ENSMUST00000077182_90_90;0.792;0.907;0.772;0.202;0.772;0.718;0.783;0.203;0.131;0.186;0.239;1.0;0.208;0.148;0.816;0.888;0.871;0.232;0.229
ENSMUST00000113458_90_90;0.271;0.185;0.281;0.918;0.281;0.272;0.286;0.0;0.391;0.0;0.0;0.208;1.0;0.541;0.276;0.29;0.285;0.0;0.0
ENSMUST00000113459_90_90;0.116;0.127;0.129;0.497;0.129;0.139;0.131;0.0;0.641;0.0;0.0;0.148;0.541;1.0;0.142;0.133;0.131;0.0;0.0
ENSMUST00000113461_90_90;0.801;0.743;0.811;0.268;0.811;0.877;0.824;0.166;0.124;0.149;0.201;0.816;0.276;0.142;1.0;0.928;0.91;0.192;0.189
ENSMUST00000113462_90_90;0.867;0.81;0.875;0.281;0.875;0.824;0.889;0.181;0.116;0.166;0.215;0.888;0.29;0.133;0.928;1.0;0.981;0.206;0.203
ENSMUST00000137166_90_90;0.853;0.796;0.892;0.277;0.892;0.811;0.875;0.176;0.115;0.163;0.21;0.871;0.285;0.131;0.91;0.981;1.0;0.201;0.198
ENSMUST00000137821_90_90;0.207;0.225;0.176;0.0;0.176;0.165;0.179;0.582;0.0;0.827;0.447;0.232;0.0;0.0;0.192;0.206;0.201;1.0;0.656
ENSMUST00000155158_90_90;0.178;0.223;0.173;0.0;0.173;0.162;0.176;0.886;0.0;0.607;0.659;0.229;0.0;0.0;0.189;0.203;0.198;0.656;1.0
