;ENSCAFT00000017682_90_90;ENST00000329008_90_90;ENST00000395275_90_90;ENST00000395276_90_90;ENST00000405452_90_90;ENST00000431984_90_90;ENST00000446128_90_90;ENSMUST00000086029_90_90;ENSMUST00000111287_90_90;ENSMUST00000111288_90_90;ENSMUST00000141131_90_90;ENSMUST00000202728_90_90
ENSCAFT00000017682_90_90;1.0;0.839;0.99;0.839;0.359;0.839;0.479;0.728;0.839;0.839;0.269;0.117
ENST00000329008_90_90;0.839;1.0;0.839;1.0;0.427;1.0;0.571;0.839;1.0;1.0;0.321;0.132
ENST00000395275_90_90;0.99;0.839;1.0;0.839;0.359;0.839;0.479;0.736;0.839;0.839;0.269;0.122
ENST00000395276_90_90;0.839;1.0;0.839;1.0;0.427;1.0;0.571;0.839;1.0;1.0;0.321;0.132
ENST00000405452_90_90;0.359;0.427;0.359;0.427;1.0;0.427;0.0;0.359;0.427;0.427;0.0;0.0
ENST00000431984_90_90;0.839;1.0;0.839;1.0;0.427;1.0;0.571;0.839;1.0;1.0;0.321;0.132
ENST00000446128_90_90;0.479;0.571;0.479;0.571;0.0;0.571;1.0;0.479;0.571;0.571;0.563;0.206
ENSMUST00000086029_90_90;0.728;0.839;0.736;0.839;0.359;0.839;0.479;1.0;0.839;0.839;0.269;0.292
ENSMUST00000111287_90_90;0.839;1.0;0.839;1.0;0.427;1.0;0.571;0.839;1.0;1.0;0.321;0.132
ENSMUST00000111288_90_90;0.839;1.0;0.839;1.0;0.427;1.0;0.571;0.839;1.0;1.0;0.321;0.132
ENSMUST00000141131_90_90;0.269;0.321;0.269;0.321;0.0;0.321;0.563;0.269;0.321;0.321;1.0;0.306
ENSMUST00000202728_90_90;0.117;0.132;0.122;0.132;0.0;0.132;0.206;0.292;0.132;0.132;0.306;1.0
