;transcript24_ENSAPOG00000023408;transcript7_ENSAPOG00000023408;transcript20_ENSAPOG00000016134;transcript23_ENSAPOG00000023408;transcript22_ENSAPOG00000023408;transcript12_ENSAPOG00000023408;transcript12_ENSAPOG00000016134;transcript10_ENSAPOG00000016134;transcript17_ENSAPOG00000016134;transcript8_ENSAPOG00000016134;transcript10_ENSHGLG00100003156;transcript17_ENSHGLG00100003156;transcript17_ENSHGLG00000019563;transcript20_ENSHGLG00100003156;transcript13_ENSHGLG00000019563;transcript25_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript0_ENSHGLG00100006079;transcript13_ENSHGLG00100006079;transcript20_ENSHGLG00100006079;transcript21_ENSHGLG00100006079;transcript22_ENSHGLG00100006079;transcript0_ENSXMAG00000026005;transcript0_ENSPNYG00000024266;transcript22_ENSMUNG00000002391;transcript0_ENSMUNG00000002391;transcript21_ENSMUNG00000002391
transcript24_ENSAPOG00000023408;1.0;0.962;0.703;0.544;0.591;0.681;0.681;0.412;0.412;0.548;0.412;0.412;0.412;0.389;0.389;0.389;0.197;0.29;0.47;0.355;0.355;0.355;0.523;0.518;0.518;0.591;0.544;0.396
transcript7_ENSAPOG00000023408;0.962;1.0;0.728;0.569;0.625;0.706;0.706;0.433;0.433;0.568;0.433;0.433;0.433;0.408;0.408;0.408;0.193;0.309;0.488;0.374;0.374;0.374;0.556;0.536;0.536;0.625;0.564;0.416
transcript20_ENSAPOG00000016134;0.703;0.728;1.0;0.775;0.582;0.964;0.964;0.615;0.635;0.763;0.635;0.635;0.635;0.593;0.593;0.593;0.378;0.496;0.665;0.559;0.559;0.559;0.535;0.715;0.715;0.582;0.759;0.607
transcript23_ENSAPOG00000023408;0.544;0.569;0.775;1.0;0.48;0.811;0.811;0.583;0.605;0.644;0.605;0.605;0.605;0.56;0.56;0.56;0.338;0.456;0.585;0.524;0.524;0.524;0.43;0.605;0.605;0.48;0.64;0.575
transcript22_ENSAPOG00000023408;0.591;0.625;0.582;0.48;1.0;0.562;0.562;0.629;0.629;0.448;0.629;0.629;0.629;0.587;0.587;0.587;0.3;0.471;0.397;0.548;0.548;0.548;0.912;0.42;0.42;1.0;0.445;0.6
transcript12_ENSAPOG00000023408;0.681;0.706;0.964;0.811;0.562;1.0;1.0;0.645;0.665;0.79;0.665;0.665;0.665;0.621;0.621;0.621;0.405;0.523;0.69;0.587;0.587;0.587;0.518;0.74;0.74;0.562;0.786;0.635
transcript12_ENSAPOG00000016134;0.681;0.706;0.964;0.811;0.562;1.0;1.0;0.645;0.665;0.79;0.665;0.665;0.665;0.621;0.621;0.621;0.405;0.523;0.69;0.587;0.587;0.587;0.518;0.74;0.74;0.562;0.786;0.635
transcript10_ENSAPOG00000016134;0.412;0.433;0.615;0.583;0.629;0.645;0.645;1.0;0.972;0.701;0.972;0.972;0.972;0.899;0.899;0.899;0.614;0.785;0.637;0.861;0.861;0.861;0.586;0.653;0.653;0.629;0.698;0.922
transcript17_ENSAPOG00000016134;0.412;0.433;0.635;0.605;0.629;0.665;0.665;0.972;1.0;0.72;1.0;1.0;1.0;0.922;0.922;0.922;0.636;0.806;0.653;0.884;0.884;0.884;0.586;0.669;0.669;0.629;0.716;0.948
transcript8_ENSAPOG00000016134;0.548;0.568;0.763;0.644;0.448;0.79;0.79;0.701;0.72;1.0;0.72;0.72;0.72;0.676;0.676;0.676;0.476;0.589;0.883;0.647;0.647;0.647;0.415;0.932;0.932;0.448;0.927;0.691
transcript10_ENSHGLG00100003156;0.412;0.433;0.635;0.605;0.629;0.665;0.665;0.972;1.0;0.72;1.0;1.0;1.0;0.922;0.922;0.922;0.636;0.806;0.653;0.884;0.884;0.884;0.586;0.669;0.669;0.629;0.716;0.948
transcript17_ENSHGLG00100003156;0.412;0.433;0.635;0.605;0.629;0.665;0.665;0.972;1.0;0.72;1.0;1.0;1.0;0.922;0.922;0.922;0.636;0.806;0.653;0.884;0.884;0.884;0.586;0.669;0.669;0.629;0.716;0.948
transcript17_ENSHGLG00000019563;0.412;0.433;0.635;0.605;0.629;0.665;0.665;0.972;1.0;0.72;1.0;1.0;1.0;0.922;0.922;0.922;0.636;0.806;0.653;0.884;0.884;0.884;0.586;0.669;0.669;0.629;0.716;0.948
transcript20_ENSHGLG00100003156;0.389;0.408;0.593;0.56;0.587;0.621;0.621;0.899;0.922;0.676;0.922;0.922;0.922;1.0;1.0;1.0;0.713;0.883;0.712;0.962;0.962;0.962;0.548;0.728;0.728;0.587;0.74;0.973
transcript13_ENSHGLG00000019563;0.389;0.408;0.593;0.56;0.587;0.621;0.621;0.899;0.922;0.676;0.922;0.922;0.922;1.0;1.0;1.0;0.713;0.883;0.712;0.962;0.962;0.962;0.548;0.728;0.728;0.587;0.74;0.973
transcript25_ENSHGLG00000019563;0.389;0.408;0.593;0.56;0.587;0.621;0.621;0.899;0.922;0.676;0.922;0.922;0.922;1.0;1.0;1.0;0.713;0.883;0.712;0.962;0.962;0.962;0.548;0.728;0.728;0.587;0.74;0.973
transcript26_ENSHGLG00000019563;0.197;0.193;0.378;0.338;0.3;0.405;0.405;0.614;0.636;0.476;0.636;0.636;0.636;0.713;0.713;0.713;1.0;0.597;0.511;0.675;0.675;0.675;0.262;0.527;0.527;0.3;0.536;0.687
transcript27_ENSHGLG00000019563;0.29;0.309;0.496;0.456;0.471;0.523;0.523;0.785;0.806;0.589;0.806;0.806;0.806;0.883;0.883;0.883;0.597;1.0;0.674;0.918;0.918;0.918;0.483;0.641;0.641;0.471;0.648;0.857
transcript0_ENSHGLG00100006079;0.47;0.488;0.665;0.585;0.397;0.69;0.69;0.637;0.653;0.883;0.653;0.653;0.653;0.712;0.712;0.712;0.511;0.674;1.0;0.736;0.736;0.736;0.407;0.951;0.951;0.397;0.889;0.692
transcript13_ENSHGLG00100006079;0.355;0.374;0.559;0.524;0.548;0.587;0.587;0.861;0.884;0.647;0.884;0.884;0.884;0.962;0.962;0.962;0.675;0.918;0.736;1.0;1.0;1.0;0.564;0.698;0.698;0.548;0.708;0.935
transcript20_ENSHGLG00100006079;0.355;0.374;0.559;0.524;0.548;0.587;0.587;0.861;0.884;0.647;0.884;0.884;0.884;0.962;0.962;0.962;0.675;0.918;0.736;1.0;1.0;1.0;0.564;0.698;0.698;0.548;0.708;0.935
transcript21_ENSHGLG00100006079;0.355;0.374;0.559;0.524;0.548;0.587;0.587;0.861;0.884;0.647;0.884;0.884;0.884;0.962;0.962;0.962;0.675;0.918;0.736;1.0;1.0;1.0;0.564;0.698;0.698;0.548;0.708;0.935
transcript22_ENSHGLG00100006079;0.523;0.556;0.535;0.43;0.912;0.518;0.518;0.586;0.586;0.415;0.586;0.586;0.586;0.548;0.548;0.548;0.262;0.483;0.407;0.564;0.564;0.564;1.0;0.392;0.392;0.912;0.412;0.559
transcript0_ENSXMAG00000026005;0.518;0.536;0.715;0.605;0.42;0.74;0.74;0.653;0.669;0.932;0.669;0.669;0.669;0.728;0.728;0.728;0.527;0.641;0.951;0.698;0.698;0.698;0.392;1.0;1.0;0.42;0.938;0.707
transcript0_ENSPNYG00000024266;0.518;0.536;0.715;0.605;0.42;0.74;0.74;0.653;0.669;0.932;0.669;0.669;0.669;0.728;0.728;0.728;0.527;0.641;0.951;0.698;0.698;0.698;0.392;1.0;1.0;0.42;0.938;0.707
transcript22_ENSMUNG00000002391;0.591;0.625;0.582;0.48;1.0;0.562;0.562;0.629;0.629;0.448;0.629;0.629;0.629;0.587;0.587;0.587;0.3;0.471;0.397;0.548;0.548;0.548;0.912;0.42;0.42;1.0;0.445;0.6
transcript0_ENSMUNG00000002391;0.544;0.564;0.759;0.64;0.445;0.786;0.786;0.698;0.716;0.927;0.716;0.716;0.716;0.74;0.74;0.74;0.536;0.648;0.889;0.708;0.708;0.708;0.412;0.938;0.938;0.445;1.0;0.757
