;ENSCAFT00000017891_90_90;ENST00000265165_90_90;ENST00000379951_90_90;ENST00000438313_90_90;ENST00000504950_90_90;ENST00000506680_90_90;ENST00000510624_90_90;ENST00000512172_90_90;ENST00000515500_90_90;ENSMUST00000029611_90_90;ENSMUST00000066849_90_90;ENSMUST00000098611_90_90;ENSMUST00000106341_90_90
ENSCAFT00000017891_90_90;;0.092;0.098;0.098;0.0;0.1;0.0;0.0;0.0;0.098;0.105;0.0;0.105
ENST00000265165_90_90;0.092;;;;;;;;;0.959;0.885;0.73;0.779
ENST00000379951_90_90;0.098;;;;;;;;;0.779;0.836;0.572;0.956
ENST00000438313_90_90;0.098;;;;;;;;;0.885;0.956;0.658;0.836
ENST00000504950_90_90;0.0;;;;;;;;;0.317;0.243;0.451;0.238
ENST00000506680_90_90;0.1;;;;;;;;;0.71;0.641;0.504;0.631
ENST00000510624_90_90;0.0;;;;;;;;;0.682;0.737;0.907;0.633
ENST00000512172_90_90;0.0;;;;;;;;;0.284;0.305;0.4;0.298
ENST00000515500_90_90;0.0;;;;;;;;;0.354;0.284;0.488;0.278
ENSMUST00000029611_90_90;0.098;0.959;0.779;0.885;0.317;0.71;0.682;0.284;0.354;;;;
ENSMUST00000066849_90_90;0.105;0.885;0.836;0.956;0.243;0.641;0.737;0.305;0.284;;;;
ENSMUST00000098611_90_90;0.0;0.73;0.572;0.658;0.451;0.504;0.907;0.4;0.488;;;;
ENSMUST00000106341_90_90;0.105;0.779;0.956;0.836;0.238;0.631;0.633;0.298;0.278;;;;
