;ENSCAFT00000003109_90_90;ENSCAFT00000045366_90_90;ENST00000340022_90_90;ENST00000394503_90_90;ENST00000394505_90_90;ENST00000394507_90_90;ENST00000412043_90_90;ENST00000413688_90_90;ENST00000422347_90_90;ENST00000425073_90_90;ENST00000425919_90_90;ENST00000430102_90_90;ENST00000433016_90_90;ENST00000440209_90_90;ENST00000444960_90_90;ENST00000445516_90_90;ENST00000452773_90_90;ENST00000454017_90_90;ENST00000458177_90_90;ENST00000458493_90_90;ENSMUST00000080085_90_90;ENSMUST00000171023_90_90;ENSMUST00000198079_90_90;ENSMUST00000200386_90_90;ENSMUST00000200577_90_90
ENSCAFT00000003109_90_90;1.0;0.917;0.875;0.955;0.875;0.875;0.875;0.318;0.091;0.045;0.182;0.364;0.5;0.409;0.136;0.167;0.227;0.5;0.636;0.273;0.913;0.826;0.429;0.905;0.727
ENSCAFT00000045366_90_90;0.917;1.0;0.958;0.875;0.958;0.958;0.958;0.292;0.083;0.042;0.167;0.333;0.458;0.375;0.125;0.25;0.208;0.458;0.583;0.25;1.0;0.913;0.391;0.826;0.739
ENST00000340022_90_90;0.875;0.958;1.0;0.917;1.0;1.0;1.0;0.292;0.083;0.042;0.167;0.333;0.5;0.375;0.125;0.25;0.208;0.385;0.625;0.25;0.957;0.87;0.409;0.783;0.696
ENST00000394503_90_90;0.955;0.875;0.917;1.0;0.917;0.917;0.917;0.318;0.091;0.045;0.182;0.364;0.545;0.409;0.136;0.167;0.227;0.417;0.682;0.273;0.87;0.783;0.45;0.857;0.682
ENST00000394505_90_90;0.875;0.958;1.0;0.917;1.0;1.0;1.0;0.292;0.083;0.042;0.167;0.333;0.5;0.375;0.125;0.25;0.208;0.385;0.625;0.25;0.957;0.87;0.409;0.783;0.696
ENST00000394507_90_90;0.875;0.958;1.0;0.917;1.0;1.0;1.0;0.292;0.083;0.042;0.167;0.333;0.5;0.375;0.125;0.25;0.208;0.385;0.625;0.25;0.957;0.87;0.409;0.783;0.696
ENST00000412043_90_90;0.875;0.958;1.0;0.917;1.0;1.0;1.0;0.292;0.083;0.042;0.167;0.333;0.5;0.375;0.125;0.25;0.208;0.385;0.625;0.25;0.957;0.87;0.409;0.783;0.696
ENST00000413688_90_90;0.318;0.292;0.292;0.318;0.292;0.292;0.292;1.0;0.286;0.143;0.571;0.875;0.583;0.778;0.429;0.0;0.714;0.583;0.467;0.857;0.304;0.333;0.778;0.368;0.412
ENST00000422347_90_90;0.091;0.083;0.083;0.091;0.083;0.083;0.083;0.286;1.0;0.5;0.5;0.25;0.167;0.222;0.667;0.0;0.4;0.167;0.133;0.333;0.087;0.095;0.222;0.105;0.118
ENST00000425073_90_90;0.045;0.042;0.042;0.045;0.042;0.042;0.042;0.143;0.5;1.0;0.25;0.125;0.083;0.111;0.333;0.0;0.2;0.083;0.067;0.167;0.043;0.048;0.111;0.053;0.059
ENST00000425919_90_90;0.182;0.167;0.167;0.182;0.167;0.167;0.167;0.571;0.5;0.25;1.0;0.5;0.333;0.444;0.75;0.0;0.8;0.333;0.267;0.667;0.174;0.19;0.444;0.211;0.235
ENST00000430102_90_90;0.364;0.333;0.333;0.364;0.333;0.333;0.333;0.875;0.25;0.125;0.5;1.0;0.667;0.889;0.375;0.0;0.625;0.667;0.533;0.75;0.348;0.381;0.889;0.421;0.471
ENST00000433016_90_90;0.5;0.458;0.5;0.545;0.5;0.5;0.5;0.583;0.167;0.083;0.333;0.667;1.0;0.75;0.25;0.0;0.417;0.714;0.8;0.5;0.478;0.524;0.818;0.579;0.647
ENST00000440209_90_90;0.409;0.375;0.375;0.409;0.375;0.375;0.375;0.778;0.222;0.111;0.444;0.889;0.75;1.0;0.333;0.0;0.556;0.75;0.6;0.667;0.391;0.429;1.0;0.474;0.529
ENST00000444960_90_90;0.136;0.125;0.125;0.136;0.125;0.125;0.125;0.429;0.667;0.333;0.75;0.375;0.25;0.333;1.0;0.0;0.6;0.25;0.2;0.5;0.13;0.143;0.333;0.158;0.176
ENST00000445516_90_90;0.167;0.25;0.25;0.167;0.25;0.25;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.05;0.0;0.217;0.238;0.0;0.143;0.158
ENST00000452773_90_90;0.227;0.208;0.208;0.227;0.208;0.208;0.208;0.714;0.4;0.2;0.8;0.625;0.417;0.556;0.6;0.0;1.0;0.417;0.333;0.833;0.217;0.238;0.556;0.263;0.294
ENST00000454017_90_90;0.5;0.458;0.385;0.417;0.385;0.385;0.385;0.583;0.167;0.083;0.333;0.667;0.714;0.75;0.25;0.0;0.417;1.0;0.588;0.5;0.478;0.524;0.818;0.579;0.647
ENST00000458177_90_90;0.636;0.583;0.625;0.682;0.625;0.625;0.625;0.467;0.133;0.067;0.267;0.533;0.8;0.6;0.2;0.05;0.333;0.588;1.0;0.4;0.609;0.667;0.643;0.737;0.824
ENST00000458493_90_90;0.273;0.25;0.25;0.273;0.25;0.25;0.25;0.857;0.333;0.167;0.667;0.75;0.5;0.667;0.5;0.0;0.833;0.5;0.4;1.0;0.261;0.286;0.667;0.316;0.353
ENSMUST00000080085_90_90;0.913;1.0;0.957;0.87;0.957;0.957;0.957;0.304;0.087;0.043;0.174;0.348;0.478;0.391;0.13;0.217;0.217;0.478;0.609;0.261;1.0;0.917;0.36;0.8;0.708
ENSMUST00000171023_90_90;0.826;0.913;0.87;0.783;0.87;0.87;0.87;0.333;0.095;0.048;0.19;0.381;0.524;0.429;0.143;0.238;0.238;0.524;0.667;0.286;0.917;1.0;0.391;0.792;0.773
ENSMUST00000198079_90_90;0.429;0.391;0.409;0.45;0.409;0.409;0.409;0.778;0.222;0.111;0.444;0.889;0.818;1.0;0.333;0.0;0.556;0.818;0.643;0.667;0.36;0.391;1.0;0.409;0.5
ENSMUST00000200386_90_90;0.905;0.826;0.783;0.857;0.783;0.783;0.783;0.368;0.105;0.053;0.211;0.421;0.579;0.474;0.158;0.143;0.263;0.579;0.737;0.316;0.8;0.792;0.409;1.0;0.727
ENSMUST00000200577_90_90;0.727;0.739;0.696;0.682;0.696;0.696;0.696;0.412;0.118;0.059;0.235;0.471;0.647;0.529;0.176;0.158;0.294;0.647;0.824;0.353;0.708;0.773;0.5;0.727;1.0
