;ENSCAFT00000021165_90_90;ENSCAFT00000021175_90_90;ENSCAFT00000022869_90_90;ENSCAFT00000049479_90_90;ENST00000346964_90_90;ENST00000357674_90_90;ENST00000392380_90_90;ENST00000392381_90_90;ENST00000392382_90_90;ENST00000412364_90_90;ENST00000419227_90_90;ENST00000419354_90_90;ENST00000419553_90_90;ENST00000422288_90_90;ENST00000434148_90_90;ENST00000436682_90_90;ENST00000443183_90_90;ENST00000447466_90_90;ENST00000448528_90_90;ENST00000450955_90_90;ENST00000452595_90_90;ENST00000453607_90_90;ENST00000456699_90_90;ENST00000378154_90_90;ENST00000378158_90_90;ENST00000378163_90_90;ENST00000378166_90_90;ENST00000378168_90_90;ENST00000378179_90_90;ENST00000421587_90_90;ENST00000442742_90_90;ENSMUST00000023454_90_90;ENSMUST00000064477_90_90;ENSMUST00000100001_90_90;ENSMUST00000115196_90_90;ENSMUST00000115201_90_90;ENSMUST00000115205_90_90;ENSMUST00000130920_90_90;ENSMUST00000131136_90_90;ENSMUST00000132176_90_90;ENSMUST00000033321_90_90;ENSMUST00000115435_90_90;ENSMUST00000115436_90_90;ENSMUST00000115438_90_90;ENSMUST00000124710_90_90;ENSMUST00000128012_90_90;ENSMUST00000128095_90_90;ENSMUST00000139735_90_90;ENSMUST00000156096_90_90
ENSCAFT00000021165_90_90;1.0;0.858;0.235;0.232;0.385;0.367;0.207;0.454;0.373;0.103;0.294;0.394;0.161;0.366;0.036;0.129;0.317;0.195;0.394;0.365;0.32;0.12;0.18;0.225;0.324;0.327;0.319;0.209;0.267;0.333;0.326;0.308;0.323;0.329;0.315;0.329;0.329;0.038;0.196;0.356;0.396;0.051;0.381;0.393;0.046;0.087;0.135;0.191;0.382
ENSCAFT00000021175_90_90;0.858;1.0;0.258;0.255;0.354;0.336;0.197;0.41;0.341;0.098;0.273;0.361;0.153;0.335;0.034;0.123;0.289;0.18;0.361;0.335;0.292;0.114;0.171;0.215;0.369;0.387;0.379;0.26;0.309;0.372;0.365;0.289;0.303;0.309;0.295;0.308;0.309;0.033;0.178;0.33;0.431;0.049;0.419;0.44;0.044;0.083;0.129;0.223;0.42
ENSCAFT00000022869_90_90;0.235;0.258;1.0;0.957;0.309;0.292;0.057;0.236;0.283;0.01;0.141;0.298;0.014;0.277;0.0;0.015;0.358;0.183;0.298;0.294;0.354;0.088;0.032;0.016;0.146;0.156;0.152;0.21;0.191;0.152;0.147;0.33;0.357;0.346;0.415;0.349;0.346;0.058;0.221;0.234;0.152;0.096;0.16;0.159;0.0;0.0;0.151;0.153;0.161
ENSCAFT00000049479_90_90;0.232;0.255;0.957;1.0;0.291;0.274;0.059;0.232;0.265;0.011;0.144;0.28;0.014;0.259;0.0;0.015;0.339;0.187;0.28;0.276;0.334;0.09;0.032;0.017;0.148;0.158;0.154;0.214;0.194;0.154;0.149;0.31;0.337;0.326;0.394;0.329;0.326;0.06;0.215;0.229;0.154;0.099;0.162;0.161;0.0;0.0;0.155;0.156;0.163
ENST00000346964_90_90;0.385;0.354;0.309;0.291;1.0;0.951;0.259;0.788;0.922;0.118;0.426;0.964;0.18;0.886;0.039;0.144;0.641;0.292;0.964;0.957;0.648;0.146;0.223;0.055;0.132;0.129;0.13;0.125;0.148;0.132;0.133;0.575;0.641;0.611;0.591;0.61;0.611;0.058;0.335;0.424;0.173;0.104;0.165;0.171;0.0;0.011;0.132;0.059;0.165
ENST00000357674_90_90;0.367;0.336;0.292;0.274;0.951;1.0;0.218;0.75;0.969;0.124;0.448;0.928;0.19;0.931;0.041;0.152;0.67;0.306;0.928;0.993;0.678;0.153;0.234;0.057;0.107;0.105;0.106;0.094;0.119;0.108;0.108;0.6;0.599;0.578;0.559;0.576;0.578;0.061;0.352;0.443;0.147;0.11;0.14;0.146;0.0;0.012;0.095;0.026;0.14
ENST00000392380_90_90;0.207;0.197;0.057;0.059;0.259;0.218;1.0;0.326;0.223;0.456;0.375;0.267;0.696;0.194;0.152;0.557;0.026;0.054;0.267;0.216;0.027;0.196;0.815;0.116;0.14;0.136;0.138;0.131;0.172;0.141;0.142;0.028;0.066;0.068;0.065;0.068;0.068;0.0;0.0;0.036;0.209;0.079;0.196;0.206;0.0;0.031;0.15;0.138;0.197
ENST00000392381_90_90;0.454;0.41;0.236;0.232;0.788;0.75;0.326;1.0;0.768;0.149;0.537;0.811;0.227;0.731;0.05;0.182;0.5;0.365;0.811;0.745;0.506;0.183;0.281;0.065;0.15;0.146;0.148;0.148;0.172;0.15;0.151;0.438;0.463;0.475;0.459;0.474;0.475;0.073;0.391;0.52;0.197;0.13;0.189;0.196;0.0;0.014;0.161;0.07;0.189
ENST00000392382_90_90;0.373;0.341;0.283;0.265;0.922;0.969;0.223;0.768;1.0;0.127;0.459;0.956;0.194;0.961;0.042;0.155;0.689;0.314;0.956;0.962;0.698;0.157;0.24;0.058;0.109;0.107;0.108;0.096;0.121;0.109;0.11;0.617;0.575;0.594;0.574;0.592;0.594;0.063;0.36;0.453;0.149;0.112;0.142;0.148;0.0;0.012;0.097;0.026;0.142
ENST00000412364_90_90;0.103;0.098;0.01;0.011;0.118;0.124;0.456;0.149;0.127;1.0;0.277;0.122;0.655;0.132;0.333;0.818;0.0;0.0;0.122;0.123;0.0;0.0;0.529;0.099;0.056;0.054;0.054;0.0;0.061;0.056;0.056;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.092;0.0;0.093;0.09;0.0;0.045;0.0;0.0;0.093
