;ENSCAFT00000001418_90_90;ENSCAFT00000021179_90_90;ENST00000359842_90_90;ENST00000619224_90_90;ENST00000374680_90_90;ENST00000374685_90_90;ENST00000483281_90_90;ENSMUST00000015987_90_90;ENSMUST00000111380_90_90;ENSMUST00000111384_90_90;ENSMUST00000111386_90_90;ENSMUST00000044858_90_90;ENSMUST00000116612_90_90;ENSMUST00000173354_90_90;ENSMUST00000173554_90_90;ENSMUST00000174299_90_90
ENSCAFT00000001418_90_90;1.0;0.924;0.923;0.524;0.972;1.0;0.157;0.943;0.538;0.943;0.943;0.986;0.694;0.724;0.341;0.857
ENSCAFT00000021179_90_90;0.924;1.0;1.0;0.562;0.906;0.924;0.036;1.0;0.562;1.0;1.0;0.894;0.74;0.758;0.363;0.931
ENST00000359842_90_90;0.923;1.0;1.0;0.562;0.905;0.923;0.036;1.0;0.562;1.0;1.0;0.893;0.74;0.758;0.363;0.931
ENST00000619224_90_90;0.524;0.562;0.562;1.0;0.506;0.524;0.0;0.562;1.0;0.562;0.562;0.518;0.675;0.704;0.217;0.545
ENST00000374680_90_90;0.972;0.906;0.905;0.506;1.0;0.973;0.171;0.924;0.52;0.924;0.924;0.956;0.714;0.694;0.353;0.884
ENST00000374685_90_90;1.0;0.924;0.923;0.524;0.973;1.0;0.166;0.943;0.538;0.943;0.943;0.986;0.694;0.724;0.341;0.857
ENST00000483281_90_90;0.157;0.036;0.036;0.0;0.171;0.166;1.0;0.036;0.0;0.036;0.036;0.153;0.0;0.0;0.0;0.057
ENSMUST00000015987_90_90;0.943;1.0;1.0;0.562;0.924;0.943;0.036;1.0;0.562;1.0;1.0;0.912;0.74;0.758;0.363;0.931
ENSMUST00000111380_90_90;0.538;0.562;0.562;1.0;0.52;0.538;0.0;0.562;1.0;0.562;0.562;0.532;0.675;0.704;0.217;0.545
ENSMUST00000111384_90_90;0.943;1.0;1.0;0.562;0.924;0.943;0.036;1.0;0.562;1.0;1.0;0.912;0.74;0.758;0.363;0.931
ENSMUST00000111386_90_90;0.943;1.0;1.0;0.562;0.924;0.943;0.036;1.0;0.562;1.0;1.0;0.912;0.74;0.758;0.363;0.931
ENSMUST00000044858_90_90;0.986;0.894;0.893;0.518;0.956;0.986;0.153;0.912;0.532;0.912;0.912;1.0;0.691;0.72;0.327;0.875
ENSMUST00000116612_90_90;0.694;0.74;0.74;0.675;0.714;0.694;0.0;0.74;0.675;0.74;0.74;0.691;1.0;0.957;0.483;0.79
ENSMUST00000173354_90_90;0.724;0.758;0.758;0.704;0.694;0.724;0.0;0.758;0.704;0.758;0.758;0.72;0.957;1.0;0.46;0.768
ENSMUST00000173554_90_90;0.341;0.363;0.363;0.217;0.353;0.341;0.0;0.363;0.217;0.363;0.363;0.327;0.483;0.46;1.0;0.372
ENSMUST00000174299_90_90;0.857;0.931;0.931;0.545;0.884;0.857;0.057;0.931;0.545;0.931;0.931;0.875;0.79;0.768;0.372;1.0
