;ENSCAFT00000026690_90_90;ENST00000311089_90_90;ENST00000553645_90_90;ENST00000554113_90_90;ENST00000554159_90_90;ENST00000554339_90_90;ENST00000554871_90_90;ENST00000555631_90_90;ENST00000555919_90_90;ENST00000559993_90_90;ENSMUST00000046340_90_90;ENSMUST00000123491_90_90;ENSMUST00000136159_90_90;ENSMUST00000140812_90_90;ENSMUST00000156138_90_90
ENSCAFT00000026690_90_90;1.0;0.222;0.737;0.125;0.438;0.368;0.667;0.688;0.375;0.25;0.611;0.684;0.316;0.167;0.263
ENST00000311089_90_90;0.222;1.0;0.353;0.333;0.0;0.6;0.429;0.214;0.0;0.429;0.267;0.222;0.0;0.375;0.0
ENST00000553645_90_90;0.737;0.353;1.0;0.118;0.412;0.588;0.824;0.647;0.353;0.167;0.579;0.65;0.3;0.158;0.25
ENST00000554113_90_90;0.125;0.333;0.118;1.0;0.0;0.2;0.143;0.182;0.0;0.5;0.154;0.125;0.0;0.167;0.0
ENST00000554159_90_90;0.438;0.0;0.412;0.0;1.0;0.133;0.4;0.5;0.625;0.0;0.333;0.353;0.333;0.0;0.364
ENST00000554339_90_90;0.368;0.6;0.588;0.2;0.133;1.0;0.6;0.4;0.067;0.273;0.438;0.368;0.0;0.25;0.0
ENST00000554871_90_90;0.667;0.429;0.824;0.143;0.4;0.6;1.0;0.786;0.429;0.2;0.688;0.579;0.211;0.188;0.158
ENST00000555631_90_90;0.688;0.214;0.647;0.182;0.5;0.4;0.786;1.0;0.545;0.25;0.714;0.588;0.25;0.143;0.188
ENST00000555919_90_90;0.375;0.0;0.353;0.0;0.625;0.067;0.429;0.545;1.0;0.0;0.357;0.294;0.364;0.0;0.273
ENST00000559993_90_90;0.25;0.429;0.167;0.5;0.0;0.273;0.2;0.25;0.0;1.0;0.214;0.176;0.0;0.5;0.0
ENSMUST00000046340_90_90;0.611;0.267;0.579;0.154;0.333;0.438;0.688;0.714;0.357;0.214;1.0;0.812;0.294;0.125;0.167
ENSMUST00000123491_90_90;0.684;0.222;0.65;0.125;0.353;0.368;0.579;0.588;0.294;0.176;0.812;1.0;0.471;0.105;0.333
ENSMUST00000136159_90_90;0.316;0.0;0.3;0.0;0.333;0.0;0.211;0.25;0.364;0.0;0.294;0.471;1.0;0.0;0.545
ENSMUST00000140812_90_90;0.167;0.375;0.158;0.167;0.0;0.25;0.188;0.143;0.0;0.5;0.125;0.105;0.0;1.0;0.0
ENSMUST00000156138_90_90;0.263;0.0;0.25;0.0;0.364;0.0;0.158;0.188;0.273;0.0;0.167;0.333;0.545;0.0;1.0
