;ENSCAFT00000027249_90_90;ENSCAFT00000027252_90_90;ENST00000327028_90_90;ENST00000343765_90_90;ENST00000448935_90_90;ENST00000553888_90_90;ENST00000556412_90_90;ENST00000557466_90_90;ENST00000557658_90_90;ENSMUST00000021426_90_90;ENSMUST00000072744_90_90;ENSMUST00000179379_90_90
ENSCAFT00000027249_90_90;1.0;0.913;0.784;1.0;0.784;1.0;1.0;0.102;1.0;0.918;1.0;0.918
ENSCAFT00000027252_90_90;0.913;1.0;0.697;0.913;0.697;0.913;0.913;0.112;0.913;0.824;0.906;0.824
ENST00000327028_90_90;0.784;0.697;1.0;0.784;1.0;0.784;0.728;0.135;0.784;0.746;0.827;0.746
ENST00000343765_90_90;1.0;0.913;0.784;1.0;0.784;1.0;0.925;0.102;1.0;0.918;1.0;0.918
ENST00000448935_90_90;0.784;0.697;1.0;0.784;1.0;0.784;0.728;0.135;0.784;0.746;0.827;0.746
ENST00000553888_90_90;1.0;0.913;0.784;1.0;0.784;1.0;0.925;0.102;1.0;0.918;1.0;0.918
ENST00000556412_90_90;1.0;0.913;0.728;0.925;0.728;0.925;1.0;0.093;0.925;0.913;0.994;0.913
ENST00000557466_90_90;0.102;0.112;0.135;0.102;0.135;0.102;0.093;1.0;0.102;0.119;0.108;0.119
ENST00000557658_90_90;1.0;0.913;0.784;1.0;0.784;1.0;0.925;0.102;1.0;0.918;1.0;0.918
ENSMUST00000021426_90_90;0.918;0.824;0.746;0.918;0.746;0.918;0.913;0.119;0.918;1.0;0.918;1.0
ENSMUST00000072744_90_90;1.0;0.906;0.827;1.0;0.827;1.0;0.994;0.108;1.0;0.918;1.0;0.918
ENSMUST00000179379_90_90;0.918;0.824;0.746;0.918;0.746;0.918;0.913;0.119;0.918;1.0;0.918;1.0
