;transcript6_ENSMPUG00000020072;transcript6_ENSECAG00000007947;transcript8_ENSMPUG00000020072;transcript8_ENSECAG00000007947;transcript10_ENSMPUG00000020072;transcript13_ENSMPUG00000020072;transcript4_ENSECAG00000007947;transcript7_ENSECAG00000007947;transcript14_ENSECAG00000007947;transcript15_ENSECAG00000007947;transcript16_ENSECAG00000007947;transcript17_ENSECAG00000007947;transcript18_ENSECAG00000007947;transcript19_ENSECAG00000007947;transcript20_ENSECAG00000007947;transcript21_ENSECAG00000007947
transcript6_ENSMPUG00000020072;1.0;0.653;0.582;0.496;0.844;0.991;0.668;0.656;0.441;0.564;0.575;0.666;0.441;0.441;0.642;0.656
transcript6_ENSECAG00000007947;0.653;1.0;0.373;0.609;0.557;0.647;0.969;0.952;0.584;0.818;0.852;0.976;0.584;0.584;0.891;0.952
transcript8_ENSMPUG00000020072;0.582;0.373;1.0;0.524;0.573;0.587;0.404;0.397;0.243;0.298;0.374;0.395;0.243;0.243;0.378;0.397
transcript8_ENSECAG00000007947;0.496;0.609;0.524;1.0;0.485;0.492;0.641;0.63;0.371;0.495;0.623;0.632;0.371;0.371;0.671;0.63
transcript10_ENSMPUG00000020072;0.844;0.557;0.573;0.485;1.0;0.851;0.588;0.593;0.431;0.532;0.591;0.576;0.431;0.431;0.577;0.593
transcript13_ENSMPUG00000020072;0.991;0.647;0.587;0.492;0.851;1.0;0.662;0.651;0.437;0.558;0.572;0.66;0.437;0.437;0.636;0.651
transcript4_ENSECAG00000007947;0.668;0.969;0.404;0.641;0.588;0.662;1.0;0.983;0.615;0.848;0.883;0.988;0.615;0.615;0.921;0.983
transcript7_ENSECAG00000007947;0.656;0.952;0.397;0.63;0.593;0.651;0.983;1.0;0.605;0.866;0.9;0.971;0.605;0.605;0.939;1.0
transcript14_ENSECAG00000007947;0.441;0.584;0.243;0.371;0.431;0.437;0.615;0.605;1.0;0.698;0.607;0.604;1.0;1.0;0.543;0.605
transcript15_ENSECAG00000007947;0.564;0.818;0.298;0.495;0.532;0.558;0.848;0.866;0.698;1.0;0.829;0.837;0.698;0.698;0.804;0.866
transcript16_ENSECAG00000007947;0.575;0.852;0.374;0.623;0.591;0.572;0.883;0.9;0.607;0.829;1.0;0.871;0.607;0.607;0.839;0.9
transcript17_ENSECAG00000007947;0.666;0.976;0.395;0.632;0.576;0.66;0.988;0.971;0.604;0.837;0.871;1.0;0.604;0.604;0.91;0.971
transcript18_ENSECAG00000007947;0.441;0.584;0.243;0.371;0.431;0.437;0.615;0.605;1.0;0.698;0.607;0.604;1.0;1.0;0.543;0.605
transcript19_ENSECAG00000007947;0.441;0.584;0.243;0.371;0.431;0.437;0.615;0.605;1.0;0.698;0.607;0.604;1.0;1.0;0.543;0.605
transcript20_ENSECAG00000007947;0.642;0.891;0.378;0.671;0.577;0.636;0.921;0.939;0.543;0.804;0.839;0.91;0.543;0.543;1.0;0.939
transcript21_ENSECAG00000007947;0.656;0.952;0.397;0.63;0.593;0.651;0.983;1.0;0.605;0.866;0.9;0.971;0.605;0.605;0.939;1.0
