;transcript10_ENSHGLG00100003156;transcript17_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript13_ENSHGLG00000019563;transcript17_ENSHGLG00000019563;transcript25_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript0_ENSHGLG00100006079;transcript13_ENSHGLG00100006079;transcript20_ENSHGLG00100006079;transcript21_ENSHGLG00100006079;transcript22_ENSHGLG00100006079;transcript0_ENSMUNG00000002391;transcript21_ENSMUNG00000002391;transcript22_ENSMUNG00000002391;transcript8_ENSAPOG00000016134;transcript10_ENSAPOG00000016134;transcript12_ENSAPOG00000016134;transcript17_ENSAPOG00000016134;transcript20_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript12_ENSAPOG00000023408;transcript22_ENSAPOG00000023408;transcript23_ENSAPOG00000023408;transcript24_ENSAPOG00000023408;transcript0_ENSPNYG00000024266;transcript0_ENSXMAG00000026005
transcript10_ENSHGLG00100003156;1.0;1.0;0.933;0.933;1.0;0.933;0.51;0.826;0.87;0.927;0.927;0.927;0.774;0.891;0.946;0.785;0.757;0.859;0.818;0.853;0.825;0.875;0.822;0.716;0.857;0.89;0.782;0.782
transcript17_ENSHGLG00100003156;1.0;1.0;0.933;0.933;1.0;0.933;0.51;0.826;0.87;0.927;0.927;0.927;0.774;0.891;0.946;0.785;0.757;0.859;0.818;0.853;0.825;0.875;0.822;0.716;0.857;0.89;0.782;0.782
transcript20_ENSHGLG00100003156;0.933;0.933;1.0;1.0;0.938;1.0;0.58;0.892;0.937;0.997;0.997;0.997;0.72;0.943;0.997;0.74;0.814;0.878;0.877;0.872;0.883;0.935;0.88;0.701;0.917;0.897;0.843;0.843
transcript13_ENSHGLG00000019563;0.933;0.933;1.0;1.0;0.938;1.0;0.58;0.892;0.95;0.997;0.997;0.997;0.72;0.954;0.997;0.74;0.842;0.879;0.895;0.873;0.901;0.942;0.899;0.701;0.922;0.904;0.872;0.872
transcript17_ENSHGLG00000019563;1.0;1.0;0.938;0.938;1.0;0.938;0.513;0.83;0.885;0.931;0.931;0.931;0.774;0.906;0.949;0.785;0.786;0.861;0.839;0.855;0.844;0.885;0.843;0.716;0.866;0.898;0.812;0.812
transcript25_ENSHGLG00000019563;0.933;0.933;1.0;1.0;0.938;1.0;0.58;0.892;0.95;0.997;0.997;0.997;0.72;0.954;0.997;0.74;0.842;0.879;0.895;0.873;0.901;0.942;0.899;0.701;0.922;0.904;0.872;0.872
transcript26_ENSHGLG00000019563;0.51;0.51;0.58;0.58;0.513;0.58;1.0;0.471;0.535;0.565;0.565;0.565;0.268;0.545;0.573;0.295;0.512;0.528;0.544;0.522;0.547;0.573;0.547;0.324;0.551;0.532;0.514;0.514
transcript27_ENSHGLG00000019563;0.826;0.826;0.892;0.892;0.83;0.892;0.471;1.0;0.875;0.92;0.92;0.92;0.641;0.846;0.888;0.628;0.74;0.802;0.791;0.796;0.796;0.835;0.795;0.619;0.816;0.797;0.764;0.764
transcript0_ENSHGLG00100006079;0.87;0.87;0.937;0.95;0.885;0.95;0.535;0.875;1.0;0.832;0.832;0.832;0.599;0.989;0.84;0.614;0.798;0.803;0.854;0.798;0.859;0.904;0.859;0.639;0.871;0.867;0.856;0.856
transcript13_ENSHGLG00100006079;0.927;0.927;0.997;0.997;0.931;0.997;0.565;0.92;0.832;1.0;1.0;1.0;0.722;0.843;0.994;0.728;0.791;0.873;0.853;0.866;0.86;0.911;0.857;0.691;0.898;0.874;0.819;0.819
transcript20_ENSHGLG00100006079;0.927;0.927;0.997;0.997;0.931;0.997;0.565;0.92;0.832;1.0;1.0;1.0;0.722;0.843;0.994;0.728;0.791;0.873;0.853;0.866;0.86;0.911;0.857;0.691;0.898;0.874;0.819;0.819
