;ENSCAFT00000011051_90_90;ENSCAFT00000039005_90_90;ENST00000319836_90_90;ENST00000395769_90_90;ENST00000453424_90_90;ENST00000453980_90_90;ENSMUST00000079012_90_90;ENSMUST00000101032_90_90;ENSMUST00000123405_90_90;ENSMUST00000126376_90_90;ENSMUST00000129170_90_90;ENSMUST00000135901_90_90;ENSMUST00000140884_90_90;ENSMUST00000203116_90_90;ENSMUST00000203193_90_90;ENSMUST00000204657_90_90
ENSCAFT00000011051_90_90;1.0;0.524;1.0;1.0;0.81;0.588;0.933;0.933;0.778;0.067;0.133;0.733;0.467;0.067;0.733;0.733
ENSCAFT00000039005_90_90;0.524;1.0;0.524;0.524;0.714;0.19;0.588;0.588;0.765;0.0;0.0;0.5;0.176;0.077;0.714;0.412
ENST00000319836_90_90;1.0;0.524;1.0;1.0;0.75;0.611;0.933;0.933;0.7;0.067;0.133;0.733;0.467;0.067;0.733;0.733
ENST00000395769_90_90;1.0;0.524;1.0;1.0;0.75;0.611;0.933;0.933;0.7;0.067;0.133;0.733;0.467;0.067;0.733;0.733
ENST00000453424_90_90;0.81;0.714;0.75;0.75;1.0;0.458;0.7;0.7;0.95;0.05;0.1;0.55;0.35;0.05;0.55;0.55
ENST00000453980_90_90;0.588;0.19;0.611;0.611;0.458;1.0;0.533;0.533;0.4;0.111;0.222;0.538;0.778;0.0;0.333;0.667
ENSMUST00000079012_90_90;0.933;0.588;0.933;0.933;0.7;0.533;1.0;1.0;0.714;0.067;0.133;0.647;0.533;0.067;0.8;0.8
ENSMUST00000101032_90_90;0.933;0.588;0.933;0.933;0.7;0.533;1.0;1.0;0.714;0.067;0.133;0.647;0.533;0.067;0.8;0.8
ENSMUST00000123405_90_90;0.778;0.765;0.7;0.7;0.95;0.4;0.714;0.714;1.0;0.048;0.095;0.478;0.381;0.048;0.571;0.571
ENSMUST00000126376_90_90;0.067;0.0;0.067;0.067;0.05;0.111;0.067;0.067;0.048;1.0;0.5;0.0;0.125;0.0;0.0;0.083
ENSMUST00000129170_90_90;0.133;0.0;0.133;0.133;0.1;0.222;0.133;0.133;0.095;0.5;1.0;0.0;0.25;0.0;0.0;0.167
ENSMUST00000135901_90_90;0.733;0.5;0.733;0.733;0.55;0.538;0.647;0.647;0.478;0.0;0.0;1.0;0.4;0.077;0.667;0.667
ENSMUST00000140884_90_90;0.467;0.176;0.467;0.467;0.35;0.778;0.533;0.533;0.381;0.125;0.25;0.4;1.0;0.0;0.333;0.667
ENSMUST00000203116_90_90;0.067;0.077;0.067;0.067;0.05;0.0;0.067;0.067;0.048;0.0;0.0;0.077;0.0;1.0;0.083;0.083
ENSMUST00000203193_90_90;0.733;0.714;0.733;0.733;0.55;0.333;0.8;0.8;0.571;0.0;0.0;0.667;0.333;0.083;1.0;0.6
ENSMUST00000204657_90_90;0.733;0.412;0.733;0.733;0.55;0.667;0.8;0.8;0.571;0.083;0.167;0.667;0.667;0.083;0.6;1.0
