;ENSCAFT00000000625_90_90;ENST00000367378_90_90;ENST00000367380_90_90;ENST00000367384_90_90;ENST00000460828_90_90;ENST00000464889_90_90;ENST00000484601_90_90;ENST00000486585_90_90;ENST00000494411_90_90;ENST00000495487_90_90;ENST00000544496_90_90;ENSMUST00000159917_90_90;ENSMUST00000159977_90_90;ENSMUST00000161123_90_90;ENSMUST00000161428_90_90;ENSMUST00000162606_90_90;ENSMUST00000162682_90_90;ENSMUST00000163085_90_90
ENSCAFT00000000625_90_90;1.0;0.258;0.209;0.258;0.332;0.258;0.325;0.268;0.333;0.015;0.273;0.068;0.0;0.035;0.0;0.068;0.0;0.02
ENST00000367378_90_90;0.258;1.0;0.761;0.959;0.538;1.0;0.525;0.206;0.543;0.346;0.906;0.457;0.0;0.107;0.236;0.437;0.101;0.415
ENST00000367380_90_90;0.209;0.761;1.0;0.726;0.312;0.761;0.304;0.274;0.313;0.21;0.667;0.318;0.0;0.0;0.287;0.299;0.127;0.337
ENST00000367384_90_90;0.258;0.959;0.726;1.0;0.537;0.959;0.524;0.206;0.542;0.346;0.867;0.437;0.0;0.106;0.235;0.457;0.101;0.396
ENST00000460828_90_90;0.332;0.538;0.312;0.537;1.0;0.538;0.83;0.324;0.844;0.178;0.586;0.179;0.0;0.198;0.0;0.178;0.0;0.134
ENST00000464889_90_90;0.258;1.0;0.761;0.959;0.538;1.0;0.525;0.206;0.543;0.346;0.906;0.457;0.0;0.107;0.236;0.437;0.101;0.415
ENST00000484601_90_90;0.325;0.525;0.304;0.524;0.83;0.525;1.0;0.314;0.816;0.173;0.572;0.196;0.0;0.221;0.0;0.195;0.0;0.15
ENST00000486585_90_90;0.268;0.206;0.274;0.206;0.324;0.206;0.314;1.0;0.318;0.0;0.224;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000494411_90_90;0.333;0.543;0.313;0.542;0.844;0.543;0.816;0.318;1.0;0.18;0.591;0.141;0.0;0.142;0.0;0.141;0.0;0.096
ENST00000495487_90_90;0.015;0.346;0.21;0.346;0.178;0.346;0.173;0.0;0.18;1.0;0.252;0.299;0.0;0.148;0.31;0.299;0.267;0.331
ENST00000544496_90_90;0.273;0.906;0.667;0.867;0.586;0.906;0.572;0.224;0.591;0.252;1.0;0.387;0.0;0.114;0.157;0.369;0.034;0.345
ENSMUST00000159917_90_90;0.068;0.457;0.318;0.437;0.179;0.457;0.196;0.0;0.141;0.299;0.387;1.0;0.054;0.459;0.361;0.96;0.162;0.897
ENSMUST00000159977_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.054;1.0;0.15;0.113;0.054;0.292;0.059
ENSMUST00000161123_90_90;0.035;0.107;0.0;0.106;0.198;0.107;0.221;0.0;0.142;0.148;0.114;0.459;0.15;1.0;0.104;0.459;0.093;0.488
ENSMUST00000161428_90_90;0.0;0.236;0.287;0.235;0.0;0.236;0.0;0.0;0.0;0.31;0.157;0.361;0.113;0.104;1.0;0.36;0.353;0.394
ENSMUST00000162606_90_90;0.068;0.437;0.299;0.457;0.178;0.437;0.195;0.0;0.141;0.299;0.369;0.96;0.054;0.459;0.36;1.0;0.162;0.86
ENSMUST00000162682_90_90;0.0;0.101;0.127;0.101;0.0;0.101;0.0;0.0;0.0;0.267;0.034;0.162;0.292;0.093;0.353;0.162;1.0;0.176
ENSMUST00000163085_90_90;0.02;0.415;0.337;0.396;0.134;0.415;0.15;0.0;0.096;0.331;0.345;0.897;0.059;0.488;0.394;0.86;0.176;1.0
