;ENSCAFT00000016185_90_90;ENST00000617070_90_90;ENST00000617991_90_90;ENST00000622969_90_90;ENST00000623597_90_90;ENST00000623893_90_90;ENSMUST00000064664_90_90;ENSMUST00000064679_90_90;ENSMUST00000129905_90_90;ENSMUST00000136247_90_90
ENSCAFT00000016185_90_90;1.0;1.0;1.0;0.167;1.0;0.917;0.667;0.833;0.667;0.333
ENST00000617070_90_90;1.0;1.0;1.0;0.176;1.0;0.875;0.571;0.857;0.571;0.429
ENST00000617991_90_90;1.0;1.0;1.0;0.176;1.0;0.875;0.571;0.857;0.571;0.429
ENST00000622969_90_90;0.167;0.176;0.176;1.0;0.176;0.059;0.0;0.0;0.0;0.0
ENST00000623597_90_90;1.0;1.0;1.0;0.176;1.0;0.875;0.571;0.857;0.571;0.429
ENST00000623893_90_90;0.917;0.875;0.875;0.059;0.875;1.0;0.571;0.857;0.571;0.429
ENSMUST00000064664_90_90;0.667;0.571;0.571;0.0;0.571;0.571;1.0;0.692;0.889;0.071
ENSMUST00000064679_90_90;0.833;0.857;0.857;0.0;0.857;0.857;0.692;1.0;0.615;0.357
ENSMUST00000129905_90_90;0.667;0.571;0.571;0.0;0.571;0.571;0.889;0.615;1.0;0.077
ENSMUST00000136247_90_90;0.333;0.429;0.429;0.0;0.429;0.429;0.071;0.357;0.077;1.0
