;ENSCAFT00000044457_90_90;ENST00000295894_90_90;ENST00000450542_90_90;ENST00000460711_90_90;ENST00000465156_90_90;ENST00000468110_90_90;ENST00000472899_90_90;ENST00000478300_90_90;ENST00000479198_90_90;ENST00000498449_90_90;ENSMUST00000070323_90_90;ENSMUST00000112656_90_90;ENSMUST00000153954_90_90;ENSMUST00000223583_90_90
ENSCAFT00000044457_90_90;1.0;0.782;0.076;0.833;0.605;0.175;0.278;0.714;0.602;0.22;0.849;0.94;0.464;0.911
ENST00000295894_90_90;0.782;1.0;0.093;0.903;0.788;0.205;0.16;0.814;0.73;0.332;0.772;0.954;0.492;0.894
ENST00000450542_90_90;0.076;0.093;1.0;0.081;0.113;0.257;0.0;0.209;0.097;0.0;0.159;0.051;0.15;0.111
ENST00000460711_90_90;0.833;0.903;0.081;1.0;0.71;0.184;0.147;0.744;0.659;0.292;0.772;0.954;0.492;0.894
ENST00000465156_90_90;0.605;0.788;0.113;0.71;1.0;0.18;0.192;0.621;0.536;0.321;0.579;0.742;0.619;0.682
ENST00000468110_90_90;0.175;0.205;0.257;0.184;0.18;1.0;0.193;0.332;0.227;0.533;0.354;0.217;0.277;0.232
ENST00000472899_90_90;0.278;0.16;0.0;0.147;0.192;0.193;1.0;0.076;0.178;0.414;0.095;0.22;0.413;0.1
ENST00000478300_90_90;0.714;0.814;0.209;0.744;0.621;0.332;0.076;1.0;0.581;0.205;0.95;0.772;0.352;0.901
ENST00000479198_90_90;0.602;0.73;0.097;0.659;0.536;0.227;0.178;0.581;1.0;0.364;0.585;0.748;0.607;0.688
ENST00000498449_90_90;0.22;0.332;0.0;0.292;0.321;0.533;0.414;0.205;0.364;1.0;0.217;0.354;0.504;0.225
ENSMUST00000070323_90_90;0.849;0.772;0.159;0.772;0.579;0.354;0.095;0.95;0.585;0.217;1.0;0.814;0.308;0.71
ENSMUST00000112656_90_90;0.94;0.954;0.051;0.954;0.742;0.217;0.22;0.772;0.748;0.354;0.814;1.0;0.424;0.708
ENSMUST00000153954_90_90;0.464;0.492;0.15;0.492;0.619;0.277;0.413;0.352;0.607;0.504;0.308;0.424;1.0;0.426
ENSMUST00000223583_90_90;0.911;0.894;0.111;0.894;0.682;0.232;0.1;0.901;0.688;0.225;0.71;0.708;0.426;1.0
