;transcript27_ENSRNOG00000031503;transcript37_ENSMUGG00000013649;transcript34_ENSRNOG00000031503;transcript33_ENSMUSG00000054036;transcript33_MGP-PahariEiJ-G0020237;transcript27_ENSMUGG00000013649;transcript40_ENSMUGG00000013649;transcript39_ENSMUGG00000013592;transcript49_ENSMUGG00000013649;transcript38_ENSMUGG00000013649;transcript45_ENSMUGG00000013649;transcript46_ENSMUGG00000013649
transcript27_ENSRNOG00000031503;1.0;0.295;1.0;0.756;0.712;0.827;0.827;0.827;0.756;0.77;0.77;0.736
transcript37_ENSMUGG00000013649;0.295;1.0;0.295;0.221;0.228;0.26;0.26;0.26;0.204;0.218;0.218;0.184
transcript34_ENSRNOG00000031503;1.0;0.295;1.0;0.756;0.712;0.827;0.827;0.827;0.756;0.77;0.77;0.736
transcript33_ENSMUSG00000054036;0.756;0.221;0.756;1.0;0.923;0.905;0.905;0.905;0.97;0.984;0.984;0.949
transcript33_MGP-PahariEiJ-G0020237;0.712;0.228;0.712;0.923;1.0;0.863;0.863;0.863;0.923;0.939;0.939;0.903
transcript27_ENSMUGG00000013649;0.827;0.26;0.827;0.905;0.863;1.0;1.0;1.0;0.905;0.919;0.919;0.886
transcript40_ENSMUGG00000013649;0.827;0.26;0.827;0.905;0.863;1.0;1.0;1.0;0.905;0.919;0.919;0.886
transcript39_ENSMUGG00000013592;0.827;0.26;0.827;0.905;0.863;1.0;1.0;1.0;0.905;0.919;0.919;0.886
transcript49_ENSMUGG00000013649;0.756;0.204;0.756;0.97;0.923;0.905;0.905;0.905;1.0;0.984;0.984;0.979
transcript38_ENSMUGG00000013649;0.77;0.218;0.77;0.984;0.939;0.919;0.919;0.919;0.984;1.0;1.0;0.964
transcript45_ENSMUGG00000013649;0.77;0.218;0.77;0.984;0.939;0.919;0.919;0.919;0.984;1.0;1.0;0.964
transcript46_ENSMUGG00000013649;0.736;0.184;0.736;0.949;0.903;0.886;0.886;0.886;0.979;0.964;0.964;1.0
