;ENSCAFT00000014468_90_90;ENST00000312055_90_90;ENST00000354558_90_90;ENST00000525896_90_90;ENST00000526496_90_90;ENST00000526876_90_90;ENST00000527333_90_90;ENST00000529230_90_90;ENSMUST00000046769_90_90;ENSMUST00000099716_90_90;ENSMUST00000111337_90_90;ENSMUST00000111338_90_90
ENSCAFT00000014468_90_90;1.0;0.722;0.722;0.158;0.059;0.333;0.278;0.833;0.882;0.941;0.824;0.941
ENST00000312055_90_90;0.722;1.0;1.0;0.267;0.071;0.235;0.25;0.875;0.706;0.765;0.867;0.765
ENST00000354558_90_90;0.722;1.0;1.0;0.267;0.071;0.235;0.25;0.875;0.706;0.765;0.867;0.765
ENST00000525896_90_90;0.158;0.267;0.267;1.0;0.0;0.0;0.0;0.235;0.111;0.167;0.188;0.167
ENST00000526496_90_90;0.059;0.071;0.071;0.0;1.0;0.0;0.0;0.062;0.067;0.062;0.071;0.062
ENST00000526876_90_90;0.333;0.235;0.235;0.0;0.0;1.0;0.625;0.353;0.375;0.353;0.235;0.353
ENST00000527333_90_90;0.278;0.25;0.25;0.0;0.0;0.625;1.0;0.294;0.312;0.294;0.25;0.294
ENST00000529230_90_90;0.833;0.875;0.875;0.235;0.062;0.353;0.294;1.0;0.824;0.882;0.765;0.882
ENSMUST00000046769_90_90;0.882;0.706;0.706;0.111;0.067;0.375;0.312;0.824;1.0;0.938;0.812;0.938
ENSMUST00000099716_90_90;0.941;0.765;0.765;0.167;0.062;0.353;0.294;0.882;0.938;1.0;0.875;1.0
ENSMUST00000111337_90_90;0.824;0.867;0.867;0.188;0.071;0.235;0.25;0.765;0.812;0.875;1.0;0.875
ENSMUST00000111338_90_90;0.941;0.765;0.765;0.167;0.062;0.353;0.294;0.882;0.938;1.0;0.875;1.0
