;transcript40_ENSRNOG00000031503;transcript47_ENSRNOG00000031503;transcript32_ENSSTOG00000019743;transcript7_ENSSTOG00000019743;transcript25_ENSSTOG00000019743;transcript24_ENSSTOG00000019743;transcript47_ENSMUGG00000013649;transcript20_ENSMUGG00000013649;transcript20_ENSMUGG00000013592;transcript47_ENSPEMG00000024651;transcript19_ENSPEMG00000024651;transcript38_ENSPEMG00000024651;transcript27_ENSNGAG00000018584
transcript40_ENSRNOG00000031503;1.0;0.836;0.98;0.98;0.98;0.874;0.951;0.979;0.979;0.888;0.959;0.959;0.988
transcript47_ENSRNOG00000031503;0.836;1.0;0.817;0.817;0.817;0.889;0.97;0.87;0.867;0.934;0.791;0.791;0.886
transcript32_ENSSTOG00000019743;0.98;0.817;1.0;1.0;1.0;0.889;0.984;1.0;1.0;0.924;0.976;0.976;1.0
transcript7_ENSSTOG00000019743;0.98;0.817;1.0;1.0;1.0;0.889;0.984;1.0;1.0;0.924;0.976;0.976;1.0
transcript25_ENSSTOG00000019743;0.98;0.817;1.0;1.0;1.0;0.889;0.984;1.0;1.0;0.924;0.976;0.976;1.0
transcript24_ENSSTOG00000019743;0.874;0.889;0.889;0.889;0.889;1.0;0.992;0.971;0.97;0.953;0.879;0.879;1.0
transcript47_ENSMUGG00000013649;0.951;0.97;0.984;0.984;0.984;0.992;1.0;0.984;0.983;0.963;0.943;0.943;0.988
transcript20_ENSMUGG00000013649;0.979;0.87;1.0;1.0;1.0;0.971;0.984;1.0;1.0;0.943;0.974;0.974;1.0
transcript20_ENSMUGG00000013592;0.979;0.867;1.0;1.0;1.0;0.97;0.983;1.0;1.0;0.941;0.974;0.974;1.0
transcript47_ENSPEMG00000024651;0.888;0.934;0.924;0.924;0.924;0.953;0.963;0.943;0.941;1.0;0.961;0.961;0.951
transcript19_ENSPEMG00000024651;0.959;0.791;0.976;0.976;0.976;0.879;0.943;0.974;0.974;0.961;1.0;1.0;0.976
transcript38_ENSPEMG00000024651;0.959;0.791;0.976;0.976;0.976;0.879;0.943;0.974;0.974;0.961;1.0;1.0;0.976
transcript27_ENSNGAG00000018584;0.988;0.886;1.0;1.0;1.0;1.0;0.988;1.0;1.0;0.951;0.976;0.976;1.0
