;ENSCAFT00000023590_90_90;ENST00000299259_90_90;ENST00000388901_90_90;ENST00000542928_90_90;ENST00000558843_90_90;ENST00000560240_90_90;ENST00000561248_90_90;ENSMUST00000028635_90_90;ENSMUST00000110462_90_90;ENSMUST00000110463_90_90
ENSCAFT00000023590_90_90;1.0;1.0;1.0;0.877;0.647;0.102;0.456;1.0;0.895;1.0
ENST00000299259_90_90;1.0;1.0;0.951;0.837;0.627;0.088;0.454;0.951;0.905;1.0
ENST00000388901_90_90;1.0;0.951;1.0;0.883;0.661;0.092;0.479;1.0;0.855;0.951
ENST00000542928_90_90;0.877;0.837;0.883;1.0;0.543;0.105;0.541;0.883;0.743;0.837
ENST00000558843_90_90;0.647;0.627;0.661;0.543;1.0;0.0;0.722;0.661;0.531;0.627
ENST00000560240_90_90;0.102;0.088;0.092;0.105;0.0;1.0;0.0;0.098;0.103;0.092
ENST00000561248_90_90;0.456;0.454;0.479;0.541;0.722;0.0;1.0;0.479;0.358;0.454
ENSMUST00000028635_90_90;1.0;0.951;1.0;0.883;0.661;0.098;0.479;1.0;0.855;0.951
ENSMUST00000110462_90_90;0.895;0.905;0.855;0.743;0.531;0.103;0.358;0.855;1.0;0.905
ENSMUST00000110463_90_90;1.0;1.0;0.951;0.837;0.627;0.092;0.454;0.951;0.905;1.0
