;ENSCAFT00000011051_90_90;ENSCAFT00000039005_90_90;ENST00000319836_90_90;ENST00000395769_90_90;ENST00000453424_90_90;ENST00000453980_90_90;ENSMUST00000079012_90_90;ENSMUST00000101032_90_90;ENSMUST00000123405_90_90;ENSMUST00000126376_90_90;ENSMUST00000129170_90_90;ENSMUST00000135901_90_90;ENSMUST00000140884_90_90;ENSMUST00000203116_90_90;ENSMUST00000203193_90_90;ENSMUST00000204657_90_90
ENSCAFT00000011051_90_90;1.0;0.451;1.0;1.0;0.555;0.301;0.818;0.818;0.468;0.0;0.0;0.824;0.154;0.163;0.878;0.466
ENSCAFT00000039005_90_90;0.451;1.0;0.451;0.451;0.896;0.063;0.453;0.453;0.903;0.0;0.0;0.405;0.054;0.098;0.49;0.242
ENST00000319836_90_90;1.0;0.451;1.0;1.0;0.508;0.306;0.816;0.816;0.429;0.0;0.0;0.825;0.156;0.162;0.878;0.466
ENST00000395769_90_90;1.0;0.451;1.0;1.0;0.508;0.306;0.816;0.816;0.429;0.0;0.0;0.825;0.156;0.162;0.878;0.466
ENST00000453424_90_90;0.555;0.896;0.508;0.508;1.0;0.155;0.429;0.429;0.904;0.0;0.0;0.412;0.082;0.081;0.438;0.245
ENST00000453980_90_90;0.301;0.063;0.306;0.306;0.155;1.0;0.173;0.173;0.091;0.0;0.0;0.258;0.437;0.0;0.164;0.266
ENSMUST00000079012_90_90;0.818;0.453;0.816;0.816;0.429;0.173;1.0;1.0;0.504;0.037;0.108;0.75;0.279;0.16;0.864;0.618
ENSMUST00000101032_90_90;0.818;0.453;0.816;0.816;0.429;0.173;1.0;1.0;0.504;0.037;0.108;0.75;0.279;0.16;0.864;0.618
ENSMUST00000123405_90_90;0.468;0.903;0.429;0.429;0.904;0.091;0.504;0.504;1.0;0.019;0.055;0.384;0.14;0.08;0.435;0.311
ENSMUST00000126376_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.037;0.037;0.019;1.0;0.344;0.0;0.134;0.0;0.0;0.06
ENSMUST00000129170_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.108;0.108;0.055;0.344;1.0;0.0;0.389;0.0;0.0;0.175
ENSMUST00000135901_90_90;0.824;0.405;0.825;0.825;0.412;0.258;0.75;0.75;0.384;0.0;0.0;1.0;0.185;0.197;0.808;0.554
ENSMUST00000140884_90_90;0.154;0.054;0.156;0.156;0.082;0.437;0.279;0.279;0.14;0.134;0.389;0.185;1.0;0.0;0.142;0.451
ENSMUST00000203116_90_90;0.163;0.098;0.162;0.162;0.081;0.0;0.16;0.16;0.08;0.0;0.0;0.197;0.0;1.0;0.185;0.258
ENSMUST00000203193_90_90;0.878;0.49;0.878;0.878;0.438;0.164;0.864;0.864;0.435;0.0;0.0;0.808;0.142;0.185;1.0;0.481
ENSMUST00000204657_90_90;0.466;0.242;0.466;0.466;0.245;0.266;0.618;0.618;0.311;0.06;0.175;0.554;0.451;0.258;0.481;1.0
