;ENSCAFT00000031036_90_90;ENSCAFT00000043222_90_90;ENST00000164247_90_90;ENST00000341524_90_90;ENST00000352527_90_90;ENST00000378083_90_90;ENST00000378092_90_90;ENST00000378097_90_90;ENST00000378111_90_90;ENST00000389632_90_90;ENST00000428161_90_90;ENST00000445501_90_90;ENST00000458166_90_90;ENST00000462676_90_90;ENST00000472700_90_90;ENST00000602612_90_90;ENSMUST00000030768_90_90;ENSMUST00000105648_90_90;ENSMUST00000159186_90_90;ENSMUST00000159840_90_90;ENSMUST00000160884_90_90;ENSMUST00000161236_90_90;ENSMUST00000162017_90_90
ENSCAFT00000031036_90_90;1.0;0.731;0.655;0.655;0.688;0.567;0.688;0.655;0.238;0.469;0.551;0.13;0.559;0.066;0.218;0.58;0.787;0.744;0.74;0.787;0.744;0.327;0.1
ENSCAFT00000043222_90_90;0.731;1.0;0.587;0.587;0.615;0.631;0.615;0.587;0.15;0.39;0.468;0.035;0.628;0.077;0.184;0.508;0.705;0.669;0.666;0.705;0.669;0.236;0.0
ENST00000164247_90_90;0.655;0.587;1.0;1.0;0.94;0.638;0.94;1.0;0.386;0.72;0.685;0.279;0.679;0.04;0.273;0.822;0.831;0.887;0.84;0.831;0.887;0.462;0.218
ENST00000341524_90_90;0.655;0.587;1.0;1.0;0.94;0.638;0.94;1.0;0.386;0.72;0.685;0.279;0.679;0.04;0.273;0.822;0.831;0.887;0.84;0.831;0.887;0.462;0.218
ENST00000352527_90_90;0.688;0.615;0.94;0.94;1.0;0.671;1.0;0.94;0.33;0.66;0.729;0.218;0.72;0.041;0.22;0.766;0.877;0.831;0.787;0.877;0.831;0.403;0.187
ENST00000378083_90_90;0.567;0.631;0.638;0.638;0.671;1.0;0.671;0.638;0.138;0.402;0.452;0.032;0.722;0.043;0.145;0.515;0.584;0.558;0.608;0.584;0.558;0.193;0.0
ENST00000378092_90_90;0.688;0.615;0.94;0.94;1.0;0.671;1.0;0.94;0.33;0.66;0.729;0.218;0.72;0.041;0.22;0.766;0.877;0.831;0.787;0.877;0.831;0.403;0.187
ENST00000378097_90_90;0.655;0.587;1.0;1.0;0.94;0.638;0.94;1.0;0.386;0.72;0.685;0.279;0.679;0.04;0.273;0.822;0.831;0.887;0.84;0.831;0.887;0.462;0.218
ENST00000378111_90_90;0.238;0.15;0.386;0.386;0.33;0.138;0.33;0.386;1.0;0.513;0.404;0.506;0.088;0.065;0.455;0.379;0.33;0.386;0.362;0.33;0.386;0.68;0.395
ENST00000389632_90_90;0.469;0.39;0.72;0.72;0.66;0.402;0.66;0.72;0.513;1.0;0.847;0.38;0.4;0.052;0.357;0.696;0.626;0.685;0.647;0.626;0.685;0.631;0.297
ENST00000428161_90_90;0.551;0.468;0.685;0.685;0.729;0.452;0.729;0.685;0.404;0.847;1.0;0.27;0.458;0.052;0.268;0.661;0.729;0.685;0.647;0.729;0.685;0.508;0.232
ENST00000445501_90_90;0.13;0.035;0.279;0.279;0.218;0.032;0.218;0.279;0.506;0.38;0.27;1.0;0.0;0.0;0.287;0.274;0.218;0.279;0.26;0.218;0.279;0.526;0.768
ENST00000458166_90_90;0.559;0.628;0.679;0.679;0.72;0.722;0.72;0.679;0.088;0.4;0.458;0.0;1.0;0.056;0.093;0.531;0.623;0.591;0.563;0.623;0.591;0.15;0.0
ENST00000462676_90_90;0.066;0.077;0.04;0.04;0.041;0.043;0.041;0.04;0.065;0.052;0.052;0.0;0.056;1.0;0.192;0.038;0.064;0.06;0.056;0.064;0.06;0.102;0.0
ENST00000472700_90_90;0.218;0.184;0.273;0.273;0.22;0.145;0.22;0.273;0.455;0.357;0.268;0.287;0.093;0.192;1.0;0.266;0.244;0.299;0.281;0.244;0.299;0.522;0.186
ENST00000602612_90_90;0.58;0.508;0.822;0.822;0.766;0.515;0.766;0.822;0.379;0.696;0.661;0.274;0.531;0.038;0.266;1.0;0.734;0.787;0.746;0.734;0.787;0.449;0.215
ENSMUST00000030768_90_90;0.787;0.705;0.831;0.831;0.877;0.584;0.877;0.831;0.33;0.626;0.729;0.218;0.623;0.064;0.244;0.734;1.0;0.94;0.885;1.0;0.94;0.434;0.187
ENSMUST00000105648_90_90;0.744;0.669;0.887;0.887;0.831;0.558;0.831;0.887;0.386;0.685;0.685;0.279;0.591;0.06;0.299;0.787;0.94;1.0;0.942;0.94;1.0;0.495;0.218
ENSMUST00000159186_90_90;0.74;0.666;0.84;0.84;0.787;0.608;0.787;0.84;0.362;0.647;0.647;0.26;0.563;0.056;0.281;0.746;0.885;0.942;1.0;0.885;0.942;0.464;0.204
ENSMUST00000159840_90_90;0.787;0.705;0.831;0.831;0.877;0.584;0.877;0.831;0.33;0.626;0.729;0.218;0.623;0.064;0.244;0.734;1.0;0.94;0.885;1.0;0.94;0.434;0.187
ENSMUST00000160884_90_90;0.744;0.669;0.887;0.887;0.831;0.558;0.831;0.887;0.386;0.685;0.685;0.279;0.591;0.06;0.299;0.787;0.94;1.0;0.942;0.94;1.0;0.495;0.218
ENSMUST00000161236_90_90;0.327;0.236;0.462;0.462;0.403;0.193;0.403;0.462;0.68;0.631;0.508;0.526;0.15;0.102;0.522;0.449;0.434;0.495;0.464;0.434;0.495;1.0;0.408
ENSMUST00000162017_90_90;0.1;0.0;0.218;0.218;0.187;0.0;0.187;0.218;0.395;0.297;0.232;0.768;0.0;0.0;0.186;0.215;0.187;0.218;0.204;0.187;0.218;0.408;1.0
