;ENSCAFT00000028257_90_90;ENST00000422393_90_90;ENST00000433491_90_90;ENST00000434483_90_90;ENST00000443502_90_90;ENST00000455268_90_90;ENST00000494475_90_90;ENST00000612423_90_90;ENST00000619236_90_90;ENST00000621218_90_90;ENSMUST00000033800_90_90;ENSMUST00000113085_90_90
ENSCAFT00000028257_90_90;;0.374;0.275;0.395;0.369;0.353;0.342;0.625;0.743;0.625;0.625;0.743
ENST00000422393_90_90;0.374;;;;;;;;;;0.458;0.447
ENST00000433491_90_90;0.275;;;;;;;;;;0.217;0.275
ENST00000434483_90_90;0.395;;;;;;;;;;0.41;0.48
ENST00000443502_90_90;0.369;;;;;;;;;;0.275;0.369
ENST00000455268_90_90;0.353;;;;;;;;;;0.512;0.417
ENST00000494475_90_90;0.342;;;;;;;;;;0.55;0.399
ENST00000612423_90_90;0.625;;;;;;;;;;0.918;0.625
ENST00000619236_90_90;0.743;;;;;;;;;;0.625;0.851
ENST00000621218_90_90;0.625;;;;;;;;;;0.918;0.625
ENSMUST00000033800_90_90;0.625;0.458;0.217;0.41;0.275;0.512;0.55;0.918;0.625;0.918;;
ENSMUST00000113085_90_90;0.743;0.447;0.275;0.48;0.369;0.417;0.399;0.625;0.851;0.625;;
