;ENSCAFT00000006410_90_90;ENSCAFT00000006413_90_90;ENSCAFT00000011282_90_90;ENST00000229471_90_90;ENST00000354650_90_90;ENST00000368667_90_90;ENST00000368678_90_90;ENST00000368682_90_90;ENST00000462598_90_90;ENST00000462856_90_90;ENST00000484067_90_90;ENST00000487824_90_90;ENST00000517419_90_90;ENST00000518295_90_90;ENST00000518630_90_90;ENST00000520518_90_90;ENST00000521062_90_90;ENST00000523238_90_90;ENST00000523570_90_90;ENST00000523574_90_90;ENST00000524310_90_90;ENST00000538466_90_90;ENST00000519728_90_90;ENST00000520050_90_90;ENST00000520220_90_90;ENSMUST00000063091_90_90;ENSMUST00000099967_90_90;ENSMUST00000126486_90_90;ENSMUST00000135242_90_90;ENSMUST00000136659_90_90;ENSMUST00000146287_90_90;ENSMUST00000148152_90_90;ENSMUST00000157009_90_90;ENSMUST00000041377_90_90;ENSMUST00000103010_90_90
ENSCAFT00000006410_90_90;1.0;0.673;0.995;0.897;0.999;0.999;0.897;0.897;0.13;0.432;0.198;0.12;0.326;0.284;0.219;0.346;0.191;0.284;0.215;0.259;0.269;0.897;0.0;0.0;0.0;0.897;0.999;0.897;0.897;0.897;0.897;0.212;0.068;0.995;0.954
ENSCAFT00000006413_90_90;0.673;1.0;0.711;0.758;0.681;0.681;0.758;0.758;0.0;0.245;0.0;0.0;0.126;0.08;0.007;0.149;0.0;0.079;0.003;0.052;0.063;0.758;0.0;0.0;0.0;0.758;0.681;0.758;0.758;0.758;0.758;0.0;0.0;0.715;0.746
ENSCAFT00000011282_90_90;0.995;0.711;1.0;0.896;0.995;0.995;0.896;0.896;0.111;0.414;0.171;0.101;0.304;0.26;0.191;0.325;0.164;0.259;0.187;0.234;0.244;0.896;0.0;0.0;0.0;0.896;0.995;0.896;0.896;0.896;0.896;0.185;0.061;0.995;0.954
ENST00000229471_90_90;0.897;0.758;0.896;1.0;0.898;0.898;0.903;0.903;0.145;0.482;0.221;0.134;0.364;0.317;0.245;0.387;0.214;0.317;0.241;0.29;0.301;0.903;0.0;0.0;0.0;0.903;0.898;0.903;0.903;1.0;0.903;0.237;0.076;0.897;0.856
ENST00000354650_90_90;0.999;0.681;0.995;0.898;1.0;1.0;0.818;0.818;0.13;0.433;0.199;0.12;0.327;0.285;0.22;0.347;0.192;0.284;0.216;0.26;0.27;0.818;0.0;0.0;0.0;0.818;1.0;0.818;0.818;0.898;0.818;0.213;0.068;0.996;0.955
ENST00000368667_90_90;0.999;0.681;0.995;0.898;1.0;1.0;0.818;0.818;0.13;0.433;0.199;0.12;0.327;0.285;0.22;0.347;0.192;0.284;0.216;0.26;0.27;0.818;0.0;0.0;0.0;0.818;1.0;0.818;0.818;0.898;0.818;0.213;0.068;0.996;0.955
ENST00000368678_90_90;0.897;0.758;0.896;0.903;0.818;0.818;1.0;1.0;0.131;0.435;0.2;0.121;0.328;0.287;0.221;0.349;0.193;0.286;0.217;0.262;0.272;1.0;0.0;0.0;0.0;1.0;0.818;1.0;1.0;0.903;1.0;0.214;0.069;0.897;0.856
ENST00000368682_90_90;0.897;0.758;0.896;0.903;0.818;0.818;1.0;1.0;0.131;0.435;0.2;0.121;0.328;0.287;0.221;0.349;0.193;0.286;0.217;0.262;0.272;1.0;0.0;0.0;0.0;1.0;0.818;1.0;1.0;0.903;1.0;0.214;0.069;0.897;0.856
ENST00000462598_90_90;0.13;0.0;0.111;0.145;0.13;0.13;0.131;0.131;1.0;0.301;0.656;0.924;0.399;0.458;0.593;0.376;0.68;0.459;0.603;0.501;0.483;0.131;0.0;0.0;0.0;0.131;0.13;0.131;0.131;0.145;0.131;0.612;0.524;0.112;0.07
ENST00000462856_90_90;0.432;0.245;0.414;0.482;0.433;0.433;0.435;0.435;0.301;1.0;0.459;0.278;0.755;0.659;0.508;0.802;0.443;0.657;0.499;0.601;0.624;0.435;0.0;0.0;0.0;0.435;0.433;0.435;0.435;0.482;0.435;0.492;0.158;0.415;0.374
ENST00000484067_90_90;0.198;0.0;0.171;0.221;0.199;0.199;0.2;0.2;0.656;0.459;1.0;0.606;0.608;0.697;0.904;0.572;0.966;0.699;0.92;0.764;0.736;0.2;0.0;0.0;0.0;0.2;0.199;0.2;0.2;0.221;0.2;0.933;0.344;0.172;0.131
ENST00000487824_90_90;0.12;0.0;0.101;0.134;0.12;0.12;0.121;0.121;0.924;0.278;0.606;1.0;0.369;0.423;0.548;0.347;0.628;0.424;0.557;0.463;0.446;0.121;0.0;0.0;0.0;0.121;0.12;0.121;0.121;0.134;0.121;0.566;0.567;0.102;0.061
ENST00000517419_90_90;0.326;0.126;0.304;0.364;0.327;0.327;0.328;0.328;0.399;0.755;0.608;0.369;1.0;0.873;0.673;0.941;0.587;0.871;0.662;0.797;0.827;0.328;0.0;0.0;0.0;0.328;0.327;0.328;0.328;0.364;0.328;0.652;0.209;0.304;0.263
ENST00000518295_90_90;0.284;0.08;0.26;0.317;0.285;0.285;0.287;0.287;0.458;0.659;0.697;0.423;0.873;1.0;0.771;0.821;0.673;0.998;0.758;0.913;0.948;0.287;0.0;0.0;0.0;0.287;0.285;0.287;0.287;0.317;0.287;0.747;0.24;0.26;0.219
ENST00000518630_90_90;0.219;0.007;0.191;0.245;0.22;0.22;0.221;0.221;0.593;0.508;0.904;0.548;0.673;0.771;1.0;0.633;0.873;0.773;0.983;0.845;0.814;0.221;0.0;0.0;0.0;0.221;0.22;0.221;0.221;0.245;0.221;0.969;0.311;0.192;0.151
ENST00000520518_90_90;0.346;0.149;0.325;0.387;0.347;0.347;0.349;0.349;0.376;0.802;0.572;0.347;0.941;0.821;0.633;1.0;0.553;0.819;0.623;0.75;0.778;0.349;0.0;0.0;0.0;0.349;0.347;0.349;0.349;0.387;0.349;0.614;0.197;0.326;0.285
ENST00000521062_90_90;0.191;0.0;0.164;0.214;0.192;0.192;0.193;0.193;0.68;0.443;0.966;0.628;0.587;0.673;0.873;0.553;1.0;0.675;0.888;0.737;0.71;0.193;0.0;0.0;0.0;0.193;0.192;0.193;0.193;0.214;0.193;0.901;0.356;0.164;0.123
ENST00000523238_90_90;0.284;0.079;0.259;0.317;0.284;0.284;0.286;0.286;0.459;0.657;0.699;0.424;0.871;0.998;0.773;0.819;0.675;1.0;0.76;0.915;0.95;0.286;0.0;0.0;0.0;0.286;0.284;0.286;0.286;0.317;0.286;0.749;0.24;0.26;0.219
ENST00000523570_90_90;0.215;0.003;0.187;0.241;0.216;0.216;0.217;0.217;0.603;0.499;0.92;0.557;0.662;0.758;0.983;0.623;0.888;0.76;1.0;0.831;0.8;0.217;0.0;0.0;0.0;0.217;0.216;0.217;0.217;0.241;0.217;0.986;0.316;0.188;0.147
ENST00000523574_90_90;0.259;0.052;0.234;0.29;0.26;0.26;0.262;0.262;0.501;0.601;0.764;0.463;0.797;0.913;0.845;0.75;0.737;0.915;0.831;1.0;0.963;0.262;0.0;0.0;0.0;0.262;0.26;0.262;0.262;0.29;0.262;0.819;0.263;0.234;0.193
ENST00000524310_90_90;0.269;0.063;0.244;0.301;0.27;0.27;0.272;0.272;0.483;0.624;0.736;0.446;0.827;0.948;0.814;0.778;0.71;0.95;0.8;0.963;1.0;0.272;0.0;0.0;0.0;0.272;0.27;0.272;0.272;0.301;0.272;0.789;0.253;0.245;0.204
ENST00000538466_90_90;0.897;0.758;0.896;0.903;0.818;0.818;1.0;1.0;0.131;0.435;0.2;0.121;0.328;0.287;0.221;0.349;0.193;0.286;0.217;0.262;0.272;1.0;0.0;0.0;0.0;1.0;0.818;1.0;1.0;0.903;1.0;0.214;0.069;0.897;0.856
ENST00000519728_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.294;0.959;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000520050_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.294;1.0;0.253;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000520220_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.959;0.253;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENSMUST00000063091_90_90;0.897;0.758;0.896;0.903;0.818;0.818;1.0;1.0;0.131;0.435;0.2;0.121;0.328;0.287;0.221;0.349;0.193;0.286;0.217;0.262;0.272;1.0;0.0;0.0;0.0;1.0;0.818;1.0;1.0;0.903;1.0;0.214;0.069;0.897;0.856
ENSMUST00000099967_90_90;0.999;0.681;0.995;0.898;1.0;1.0;0.818;0.818;0.13;0.433;0.199;0.12;0.327;0.285;0.22;0.347;0.192;0.284;0.216;0.26;0.27;0.818;0.0;0.0;0.0;0.818;1.0;0.818;0.818;0.898;0.818;0.213;0.068;0.996;0.955
ENSMUST00000126486_90_90;0.897;0.758;0.896;0.903;0.818;0.818;1.0;1.0;0.131;0.435;0.2;0.121;0.328;0.287;0.221;0.349;0.193;0.286;0.217;0.262;0.272;1.0;0.0;0.0;0.0;1.0;0.818;1.0;1.0;0.903;1.0;0.214;0.069;0.897;0.856
ENSMUST00000135242_90_90;0.897;0.758;0.896;0.903;0.818;0.818;1.0;1.0;0.131;0.435;0.2;0.121;0.328;0.287;0.221;0.349;0.193;0.286;0.217;0.262;0.272;1.0;0.0;0.0;0.0;1.0;0.818;1.0;1.0;0.903;1.0;0.214;0.069;0.897;0.856
ENSMUST00000136659_90_90;0.897;0.758;0.896;1.0;0.898;0.898;0.903;0.903;0.145;0.482;0.221;0.134;0.364;0.317;0.245;0.387;0.214;0.317;0.241;0.29;0.301;0.903;0.0;0.0;0.0;0.903;0.898;0.903;0.903;1.0;0.903;0.237;0.076;0.897;0.856
ENSMUST00000146287_90_90;0.897;0.758;0.896;0.903;0.818;0.818;1.0;1.0;0.131;0.435;0.2;0.121;0.328;0.287;0.221;0.349;0.193;0.286;0.217;0.262;0.272;1.0;0.0;0.0;0.0;1.0;0.818;1.0;1.0;0.903;1.0;0.214;0.069;0.897;0.856
ENSMUST00000148152_90_90;0.212;0.0;0.185;0.237;0.213;0.213;0.214;0.214;0.612;0.492;0.933;0.566;0.652;0.747;0.969;0.614;0.901;0.749;0.986;0.819;0.789;0.214;0.0;0.0;0.0;0.214;0.213;0.214;0.214;0.237;0.214;1.0;0.321;0.185;0.144
ENSMUST00000157009_90_90;0.068;0.0;0.061;0.076;0.068;0.068;0.069;0.069;0.524;0.158;0.344;0.567;0.209;0.24;0.311;0.197;0.356;0.24;0.316;0.263;0.253;0.069;0.0;0.0;0.0;0.069;0.068;0.069;0.069;0.076;0.069;0.321;1.0;0.062;0.046
ENSMUST00000041377_90_90;0.995;0.715;0.995;0.897;0.996;0.996;0.897;0.897;0.112;0.415;0.172;0.102;0.304;0.26;0.192;0.326;0.164;0.26;0.188;0.234;0.245;0.897;0.0;0.0;0.0;0.897;0.996;0.897;0.897;0.897;0.897;0.185;0.062;1.0;0.959
ENSMUST00000103010_90_90;0.954;0.746;0.954;0.856;0.955;0.955;0.856;0.856;0.07;0.374;0.131;0.061;0.263;0.219;0.151;0.285;0.123;0.219;0.147;0.193;0.204;0.856;0.0;0.0;0.0;0.856;0.955;0.856;0.856;0.856;0.856;0.144;0.046;0.959;1.0
