;ENSCAFT00000027396_90_90;ENST00000308664_90_90;ENST00000377685_90_90;ENST00000539276_90_90;ENST00000548169_90_90;ENST00000552636_90_90;ENST00000553144_90_90;ENSMUST00000031423_90_90;ENSMUST00000177974_90_90;ENSMUST00000179939_90_90
ENSCAFT00000027396_90_90;1.0;0.846;0.154;0.667;0.333;0.083;0.071;0.588;0.786;0.588
ENST00000308664_90_90;0.846;1.0;0.154;0.786;0.429;0.083;0.154;0.688;0.923;0.688
ENST00000377685_90_90;0.154;0.154;1.0;0.143;0.0;0.0;0.0;0.125;0.143;0.125
ENST00000539276_90_90;0.667;0.786;0.143;1.0;0.615;0.077;0.143;0.867;0.733;0.867
ENST00000548169_90_90;0.333;0.429;0.0;0.615;1.0;0.125;0.222;0.533;0.4;0.533
ENST00000552636_90_90;0.083;0.083;0.0;0.077;0.125;1.0;0.0;0.067;0.077;0.067
ENST00000553144_90_90;0.071;0.154;0.0;0.143;0.222;0.0;1.0;0.125;0.143;0.125
ENSMUST00000031423_90_90;0.588;0.688;0.125;0.867;0.533;0.067;0.125;1.0;0.75;1.0
ENSMUST00000177974_90_90;0.786;0.923;0.143;0.733;0.4;0.077;0.143;0.75;1.0;0.75
ENSMUST00000179939_90_90;0.588;0.688;0.125;0.867;0.533;0.067;0.125;1.0;0.75;1.0
