;ENSCAFT00000022682_90_90;ENST00000389384_90_90;ENST00000454077_90_90;ENST00000587097_90_90;ENST00000589805_90_90;ENST00000590169_90_90;ENST00000590537_90_90;ENST00000591295_90_90;ENSMUST00000073234_90_90;ENSMUST00000107132_90_90;ENSMUST00000107134_90_90;ENSMUST00000137387_90_90;ENSMUST00000141516_90_90
ENSCAFT00000022682_90_90;1.0;0.945;0.929;0.838;0.382;0.403;0.199;0.482;0.946;0.93;0.946;0.92;0.702
ENST00000389384_90_90;0.945;1.0;0.98;0.888;0.402;0.425;0.209;0.508;0.996;0.977;0.996;0.965;0.648
ENST00000454077_90_90;0.929;0.98;1.0;0.87;0.395;0.416;0.205;0.498;0.977;0.996;0.977;0.985;0.636
ENST00000587097_90_90;0.838;0.888;0.87;1.0;0.453;0.478;0.236;0.398;0.884;0.867;0.884;0.855;0.542
ENST00000589805_90_90;0.382;0.402;0.395;0.453;1.0;0.948;0.0;0.0;0.402;0.395;0.402;0.383;0.085
ENST00000590169_90_90;0.403;0.425;0.416;0.478;0.948;1.0;0.0;0.0;0.425;0.416;0.425;0.405;0.106
ENST00000590537_90_90;0.199;0.209;0.205;0.236;0.0;0.0;1.0;0.392;0.209;0.205;0.209;0.208;0.282
ENST00000591295_90_90;0.482;0.508;0.498;0.398;0.0;0.0;0.392;1.0;0.508;0.498;0.508;0.504;0.681
ENSMUST00000073234_90_90;0.946;0.996;0.977;0.884;0.402;0.425;0.209;0.508;1.0;0.98;1.0;0.969;0.651
ENSMUST00000107132_90_90;0.93;0.977;0.996;0.867;0.395;0.416;0.205;0.498;0.98;1.0;0.98;0.989;0.639
ENSMUST00000107134_90_90;0.946;0.996;0.977;0.884;0.402;0.425;0.209;0.508;1.0;0.98;1.0;0.969;0.651
ENSMUST00000137387_90_90;0.92;0.965;0.985;0.855;0.383;0.405;0.208;0.504;0.969;0.989;0.969;1.0;0.646
ENSMUST00000141516_90_90;0.702;0.648;0.636;0.542;0.085;0.106;0.282;0.681;0.651;0.639;0.651;0.646;1.0
